stop_period,purpose,freq,stop_skim_period
4.75,1: Work,7755,1: EA
4.75,2: University,37,1: EA
4.75,3: School,1121,1: EA
4.75,4: Escort,315,1: EA
4.75,5: Individual Maintenance,216,1: EA
4.75,6: Individual Discretionary,948,1: EA
4.75,7: Joint Maintenance,79,1: EA
4.75,8: Joint Discretionary,215,1: EA
4.75,9: Work-based,12,1: EA
5.25,1: Work,9235,1: EA
5.25,2: University,45,1: EA
5.25,3: School,1508,1: EA
5.25,4: Escort,1012,1: EA
5.25,5: Individual Maintenance,343,1: EA
5.25,6: Individual Discretionary,1246,1: EA
5.25,7: Joint Maintenance,113,1: EA
5.25,8: Joint Discretionary,279,1: EA
5.25,9: Work-based,24,1: EA
5.75,1: Work,21148,1: EA
5.75,2: University,49,1: EA
5.75,3: School,1745,1: EA
5.75,4: Escort,2665,1: EA
5.75,5: Individual Maintenance,667,1: EA
5.75,6: Individual Discretionary,1718,1: EA
5.75,7: Joint Maintenance,194,1: EA
5.75,8: Joint Discretionary,305,1: EA
5.75,9: Work-based,59,1: EA
6.25,1: Work,19759,2: AM
6.25,2: University,303,2: AM
6.25,3: School,1192,2: AM
6.25,4: Escort,6474,2: AM
6.25,5: Individual Maintenance,1076,2: AM
6.25,6: Individual Discretionary,2703,2: AM
6.25,7: Joint Maintenance,306,2: AM
6.25,8: Joint Discretionary,406,2: AM
6.25,9: Work-based,70,2: AM
6.75,1: Work,27729,2: AM
6.75,2: University,531,2: AM
6.75,3: School,11400,2: AM
6.75,4: Escort,13503,2: AM
6.75,5: Individual Maintenance,1878,2: AM
6.75,6: Individual Discretionary,3860,2: AM
6.75,7: Joint Maintenance,431,2: AM
6.75,8: Joint Discretionary,572,2: AM
6.75,9: Work-based,136,2: AM
7.25,1: Work,45029,2: AM
7.25,2: University,2551,2: AM
7.25,3: School,43019,2: AM
7.25,4: Escort,40729,2: AM
7.25,5: Individual Maintenance,2879,2: AM
7.25,6: Individual Discretionary,5684,2: AM
7.25,7: Joint Maintenance,478,2: AM
7.25,8: Joint Discretionary,659,2: AM
7.25,9: Work-based,145,2: AM
7.75,1: Work,61317,2: AM
7.75,2: University,3876,2: AM
7.75,3: School,62622,2: AM
7.75,4: Escort,76893,2: AM
7.75,5: Individual Maintenance,5026,2: AM
7.75,6: Individual Discretionary,10400,2: AM
7.75,7: Joint Maintenance,685,2: AM
7.75,8: Joint Discretionary,866,2: AM
7.75,9: Work-based,194,2: AM
8.25,1: Work,43397,2: AM
8.25,2: University,2510,2: AM
8.25,3: School,41262,2: AM
8.25,4: Escort,70723,2: AM
8.25,5: Individual Maintenance,8112,2: AM
8.25,6: Individual Discretionary,11240,2: AM
8.25,7: Joint Maintenance,1054,2: AM
8.25,8: Joint Discretionary,920,2: AM
8.25,9: Work-based,263,2: AM
8.75,1: Work,26605,2: AM
8.75,2: University,2845,2: AM
8.75,3: School,18215,2: AM
8.75,4: Escort,42694,2: AM
8.75,5: Individual Maintenance,11530,2: AM
8.75,6: Individual Discretionary,12637,2: AM
8.75,7: Joint Maintenance,1435,2: AM
8.75,8: Joint Discretionary,1014,2: AM
8.75,9: Work-based,292,2: AM
9.25,1: Work,19360,3: MD
9.25,2: University,2352,3: MD
9.25,3: School,5006,3: MD
9.25,4: Escort,15871,3: MD
9.25,5: Individual Maintenance,16303,3: MD
9.25,6: Individual Discretionary,14777,3: MD
9.25,7: Joint Maintenance,2078,3: MD
9.25,8: Joint Discretionary,1136,3: MD
9.25,9: Work-based,444,3: MD
9.75,1: Work,15973,3: MD
9.75,2: University,2022,3: MD
9.75,3: School,3153,3: MD
9.75,4: Escort,12465,3: MD
9.75,5: Individual Maintenance,26228,3: MD
9.75,6: Individual Discretionary,17919,3: MD
9.75,7: Joint Maintenance,3492,3: MD
9.75,8: Joint Discretionary,2206,3: MD
9.75,9: Work-based,543,3: MD
10.25,1: Work,10528,3: MD
10.25,2: University,1743,3: MD
10.25,3: School,2254,3: MD
10.25,4: Escort,9972,3: MD
10.25,5: Individual Maintenance,43591,3: MD
10.25,6: Individual Discretionary,20288,3: MD
10.25,7: Joint Maintenance,5802,3: MD
10.25,8: Joint Discretionary,2499,3: MD
10.25,9: Work-based,653,3: MD
10.75,1: Work,10389,3: MD
10.75,2: University,2180,3: MD
10.75,3: School,2792,3: MD
10.75,4: Escort,11377,3: MD
10.75,5: Individual Maintenance,45447,3: MD
10.75,6: Individual Discretionary,16266,3: MD
10.75,7: Joint Maintenance,6084,3: MD
10.75,8: Joint Discretionary,2208,3: MD
10.75,9: Work-based,816,3: MD
11.25,1: Work,11479,3: MD
11.25,2: University,2066,3: MD
11.25,3: School,2376,3: MD
11.25,4: Escort,10299,3: MD
11.25,5: Individual Maintenance,43722,3: MD
