OwnershipCategory,tour_mode,purpose,freq
0: No Vehicles,01: SOV,1: Work,6339
0: No Vehicles,01: SOV,2: University,3
0: No Vehicles,01: SOV,4: Escort,4379
0: No Vehicles,01: SOV,5: Individual Maintenance,8249
0: No Vehicles,01: SOV,6: Individual Discretionary,737
0: No Vehicles,02: Shared Ride 2,1: Work,9256
0: No Vehicles,02: Shared Ride 2,2: University,1621
0: No Vehicles,02: Shared Ride 2,3: School,5222
0: No Vehicles,02: Shared Ride 2,4: Escort,7156
0: No Vehicles,02: Shared Ride 2,5: Individual Maintenance,5464
0: No Vehicles,02: Shared Ride 2,6: Individual Discretionary,5814
0: No Vehicles,02: Shared Ride 2,9: Work-based,545
0: No Vehicles,03: Shared Ride 3+,1: Work,107
0: No Vehicles,03: Shared Ride 3+,2: University,145
0: No Vehicles,03: Shared Ride 3+,3: School,370
0: No Vehicles,03: Shared Ride 3+,4: Escort,2546
0: No Vehicles,03: Shared Ride 3+,5: Individual Maintenance,1231
0: No Vehicles,03: Shared Ride 3+,6: Individual Discretionary,1299
0: No Vehicles,04: Walk,1: Work,7348
0: No Vehicles,04: Walk,3: School,6264
0: No Vehicles,04: Walk,4: Escort,5401
0: No Vehicles,04: Walk,5: Individual Maintenance,17567
0: No Vehicles,04: Walk,6: Individual Discretionary,10046
0: No Vehicles,04: Walk,9: Work-based,1373
0: No Vehicles,05: Bike,1: Work,1285
0: No Vehicles,05: Bike,2: University,316
0: No Vehicles,05: Bike,3: School,470
0: No Vehicles,05: Bike,4: Escort,597
0: No Vehicles,05: Bike,5: Individual Maintenance,2868
0: No Vehicles,05: Bike,6: Individual Discretionary,2442
0: No Vehicles,05: Bike,9: Work-based,352
0: No Vehicles,06: Walk to Transit,1: Work,7054
0: No Vehicles,06: Walk to Transit,2: University,3047
0: No Vehicles,06: Walk to Transit,3: School,869
0: No Vehicles,06: Walk to Transit,4: Escort,23
0: No Vehicles,06: Walk to Transit,5: Individual Maintenance,5409
0: No Vehicles,06: Walk to Transit,6: Individual Discretionary,4343
0: No Vehicles,06: Walk to Transit,9: Work-based,131
0: No Vehicles,08: KNR to Transit,1: Work,1132
0: No Vehicles,08: KNR to Transit,2: University,333
0: No Vehicles,08: KNR to Transit,4: Escort,2
0: No Vehicles,08: KNR to Transit,5: Individual Maintenance,502
0: No Vehicles,08: KNR to Transit,6: Individual Discretionary,1154
0: No Vehicles,10: Taxi,1: Work,49
0: No Vehicles,10: Taxi,4: Escort,388
0: No Vehicles,10: Taxi,5: Individual Maintenance,872
0: No Vehicles,10: Taxi,6: Individual Discretionary,41
0: No Vehicles,11: TNC Single,1: Work,75
0: No Vehicles,11: TNC Single,4: Escort,363
0: No Vehicles,11: TNC Single,5: Individual Maintenance,759
0: No Vehicles,11: TNC Single,6: Individual Discretionary,38
0: No Vehicles,12: TNC Shared,1: Work,582
0: No Vehicles,12: TNC Shared,4: Escort,2170
0: No Vehicles,12: TNC Shared,5: Individual Maintenance,3938
0: No Vehicles,12: TNC Shared,6: Individual Discretionary,211
0: No Vehicles,13: School Bus,3: School,11728
1: 1+ Veh/Adults > Veh,01: SOV,1: Work,139205
1: 1+ Veh/Adults > Veh,01: SOV,2: University,9050
1: 1+ Veh/Adults > Veh,01: SOV,3: School,1757
1: 1+ Veh/Adults > Veh,01: SOV,4: Escort,59787
1: 1+ Veh/Adults > Veh,01: SOV,5: Individual Maintenance,52138
1: 1+ Veh/Adults > Veh,01: SOV,6: Individual Discretionary,31289
1: 1+ Veh/Adults > Veh,01: SOV,9: Work-based,8882
