trip_mode,tour_mode,purpose,value
01: SOV,01: SOV,1: Work,2041615
01: SOV,01: SOV,2: University,127642
01: SOV,01: SOV,3: School,32369
01: SOV,01: SOV,4: Escort,714599
01: SOV,01: SOV,5: Individual Maintenance,1032720
01: SOV,01: SOV,6: Individual Discretionary,591897
01: SOV,01: SOV,9: Work-based,115058
01: SOV,02: Shared Ride 2,1: Work,249096
01: SOV,02: Shared Ride 2,2: University,16136
01: SOV,02: Shared Ride 2,3: School,369
01: SOV,02: Shared Ride 2,4: Escort,292956
01: SOV,02: Shared Ride 2,5: Individual Maintenance,155077
01: SOV,02: Shared Ride 2,6: Individual Discretionary,74654
01: SOV,02: Shared Ride 2,9: Work-based,4798
01: SOV,03: Shared Ride 3+,1: Work,98312
01: SOV,03: Shared Ride 3+,2: University,4899
01: SOV,03: Shared Ride 3+,3: School,2584
01: SOV,03: Shared Ride 3+,4: Escort,110565
01: SOV,03: Shared Ride 3+,5: Individual Maintenance,71467
01: SOV,03: Shared Ride 3+,6: Individual Discretionary,27978
01: SOV,03: Shared Ride 3+,9: Work-based,696
01: SOV,07: PNR to Transit,1: Work,1434
01: SOV,07: PNR to Transit,2: University,150
01: SOV,07: PNR to Transit,5: Individual Maintenance,83
02: Shared Ride 2,02: Shared Ride 2,1: Work,261787
02: Shared Ride 2,02: Shared Ride 2,2: University,33009
02: Shared Ride 2,02: Shared Ride 2,3: School,551835
02: Shared Ride 2,02: Shared Ride 2,4: Escort,710346
02: Shared Ride 2,02: Shared Ride 2,5: Individual Maintenance,306715
02: Shared Ride 2,02: Shared Ride 2,6: Individual Discretionary,286132
02: Shared Ride 2,02: Shared Ride 2,7: Joint Maintenance,217047
02: Shared Ride 2,02: Shared Ride 2,8: Joint Discretionary,138479
02: Shared Ride 2,02: Shared Ride 2,9: Work-based,31030
02: Shared Ride 2,03: Shared Ride 3+,1: Work,34322
02: Shared Ride 2,03: Shared Ride 3+,2: University,4418
02: Shared Ride 2,03: Shared Ride 3+,3: School,127539
02: Shared Ride 2,03: Shared Ride 3+,4: Escort,225895
02: Shared Ride 2,03: Shared Ride 3+,5: Individual Maintenance,135378
02: Shared Ride 2,03: Shared Ride 3+,6: Individual Discretionary,56931
02: Shared Ride 2,03: Shared Ride 3+,7: Joint Maintenance,6239
02: Shared Ride 2,03: Shared Ride 3+,8: Joint Discretionary,3083
02: Shared Ride 2,03: Shared Ride 3+,9: Work-based,1574
02: Shared Ride 2,06: Walk to Transit,1: Work,3142
02: Shared Ride 2,06: Walk to Transit,2: University,1787
02: Shared Ride 2,06: Walk to Transit,5: Individual Maintenance,329
02: Shared Ride 2,06: Walk to Transit,6: Individual Discretionary,1778
02: Shared Ride 2,06: Walk to Transit,7: Joint Maintenance,140
02: Shared Ride 2,06: Walk to Transit,8: Joint Discretionary,7
02: Shared Ride 2,07: PNR to Transit,1: Work,1381
02: Shared Ride 2,07: PNR to Transit,2: University,743
02: Shared Ride 2,07: PNR to Transit,5: Individual Maintenance,15
