distbin,purpose,freq
1,1: Work,105051
1,2: University,6498
1,3: School,18063
1,4: Escort,37695
1,5: Individual Maintenance,37851
1,6: Individual Discretionary,28781
1,7: Joint Maintenance,5830
1,8: Joint Discretionary,4216
1,9: Work-based,1059
2,1: Work,453112
2,2: University,31823
2,3: School,129890
2,4: Escort,248175
2,5: Individual Maintenance,313640
2,6: Individual Discretionary,213063
2,7: Joint Maintenance,40312
2,8: Joint Discretionary,30279
2,9: Work-based,14747
3,1: Work,207281
3,2: University,11802
3,3: School,50916
3,4: Escort,106738
3,5: Individual Maintenance,100757
3,6: Individual Discretionary,79298
3,7: Joint Maintenance,13420
3,8: Joint Discretionary,11269
3,9: Work-based,3208
4,1: Work,116361
4,2: University,7080
4,3: School,33252
4,4: Escort,70098
4,5: Individual Maintenance,60683
4,6: Individual Discretionary,46899
4,7: Joint Maintenance,8046
4,8: Joint Discretionary,6533
4,9: Work-based,1739
5,1: Work,78331
5,2: University,4814
5,3: School,25311
5,4: Escort,52171
5,5: Individual Maintenance,44022
5,6: Individual Discretionary,33626
5,7: Joint Maintenance,5836
5,8: Joint Discretionary,4639
5,9: Work-based,1186
6,1: Work,57725
6,2: University,3503
6,3: School,22863
6,4: Escort,41772
6,5: Individual Maintenance,34844
6,6: Individual Discretionary,25750
6,7: Joint Maintenance,4771
6,8: Joint Discretionary,3578
6,9: Work-based,1054
7,1: Work,47432
7,2: University,2811
7,3: School,18411
7,4: Escort,33339
7,5: Individual Maintenance,29746
7,6: Individual Discretionary,20587
7,7: Joint Maintenance,3886
7,8: Joint Discretionary,2994
7,9: Work-based,933
8,1: Work,30872
8,2: University,2142
8,3: School,14811
8,4: Escort,27294
8,5: Individual Maintenance,23868
8,6: Individual Discretionary,16495
8,7: Joint Maintenance,3340
8,8: Joint Discretionary,2393
8,9: Work-based,702
9,1: Work,23963
9,2: University,1641
9,3: School,12985
9,4: Escort,22844
9,5: Individual Maintenance,20193
9,6: Individual Discretionary,13710
9,7: Joint Maintenance,2945
9,8: Joint Discretionary,2053
9,9: Work-based,616
10,1: Work,18813
10,2: University,1419
10,3: School,11940
10,4: Escort,18463
10,5: Individual Maintenance,17347
10,6: Individual Discretionary,11505
10,7: Joint Maintenance,2377
10,8: Joint Discretionary,1796
10,9: Work-based,529
11,1: Work,15477
11,2: University,1114
11,3: School,10839
11,4: Escort,15197
11,5: Individual Maintenance,14433
11,6: Individual Discretionary,9329
11,7: Joint Maintenance,2103
11,8: Joint Discretionary,1407
11,9: Work-based,477
12,1: Work,12710
12,2: University,1017
12,3: School,9930
12,4: Escort,12657
12,5: Individual Maintenance,12381
12,6: Individual Discretionary,7621
12,7: Joint Maintenance,1789
12,8: Joint Discretionary,1189
12,9: Work-based,410
13,1: Work,11357
13,2: University,958
13,3: School,9564
13,4: Escort,10733
13,5: Individual Maintenance,10511
13,6: Individual Discretionary,6400
13,7: Joint Maintenance,1540
13,8: Joint Discretionary,998
13,9: Work-based,414
14,1: Work,10368
14,2: University,865
14,3: School,9053
14,4: Escort,8968
14,5: Individual Maintenance,9074
14,6: Individual Discretionary,5331
14,7: Joint Maintenance,1383
14,8: Joint Discretionary,868
14,9: Work-based,354
15,1: Work,9049
15,2: University,703
15,3: School,8262
15,4: Escort,7461
15,5: Individual Maintenance,7855
15,6: Individual Discretionary,4454
15,7: Joint Maintenance,1174
15,8: Joint Discretionary,744
15,9: Work-based,348
16,1: Work,8235
16,2: University,716
16,3: School,7659
16,4: Escort,6264
16,5: Individual Maintenance,6620
16,6: Individual Discretionary,3615
16,7: Joint Maintenance,1038
16,8: Joint Discretionary,649
16,9: Work-based,317
17,1: Work,7376
17,2: University,635
17,3: School,7316
17,4: Escort,5210
17,5: Individual Maintenance,5509
17,6: Individual Discretionary,3123
17,7: Joint Maintenance,905
17,8: Joint Discretionary,504
17,9: Work-based,266
18,1: Work,7463
18,2: University,582
18,3: School,6335
18,4: Escort,4263
18,5: Individual Maintenance,4761
18,6: Individual Discretionary,2491
18,7: Joint Maintenance,780
18,8: Joint Discretionary,438
18,9: Work-based,255
19,1: Work,6299
19,2: University,519
19,3: School,6251
19,4: Escort,3734
19,5: Individual Maintenance,4091
19,6: Individual Discretionary,2185
19,7: Joint Maintenance,662
19,8: Joint Discretionary,399
19,9: Work-based,239
20,1: Work,5685
20,2: University,465
20,3: School,5897
20,4: Escort,3033
20,5: Individual Maintenance,3502
20,6: Individual Discretionary,1882
20,7: Joint Maintenance,568
20,8: Joint Discretionary,338
20,9: Work-based,217
21,1: Work,5238
21,2: University,400
21,3: School,5378
21,4: Escort,2637
21,5: Individual Maintenance,3067
21,6: Individual Discretionary,1632
21,7: Joint Maintenance,522
21,8: Joint Discretionary,286
21,9: Work-based,227
22,1: Work,4572
22,2: University,434
22,3: School,4954
22,4: Escort,2169
22,5: Individual Maintenance,2610
22,6: Individual Discretionary,1308
22,7: Joint Maintenance,423
22,8: Joint Discretionary,237
22,9: Work-based,173
23,1: Work,4091
23,2: University,307
23,3: School,4649
23,4: Escort,1988
