num_stops,purpose,Direction,value
0,1: Work,Inbound,898496.0
0,2: University,Inbound,83783.0
0,3: School,Inbound,487165.0
0,4: Escort,Inbound,812403.0
0,5: Individual Maintenance,Inbound,498411.0
0,6: Individual Discretionary,Inbound,355091.0
0,7: Joint Maintenance,Inbound,58957.0
0,8: Joint Discretionary,Inbound,54975.0
0,9: Work-based,Inbound,106239.0
1,1: Work,Inbound,158616.0
1,2: University,Inbound,20556.0
1,3: School,Inbound,82952.0
1,4: Escort,Inbound,116461.0
1,5: Individual Maintenance,Inbound,133959.0
1,6: Individual Discretionary,Inbound,88692.0
1,7: Joint Maintenance,Inbound,18439.0
1,8: Joint Discretionary,Inbound,14980.0
1,9: Work-based,Inbound,7330.0
2,1: Work,Inbound,52355.0
2,2: University,Inbound,5452.0
2,3: School,Inbound,13274.0
2,4: Escort,Inbound,35935.0
2,5: Individual Maintenance,Inbound,56079.0
2,6: Individual Discretionary,Inbound,33406.0
2,7: Joint Maintenance,Inbound,7688.0
2,8: Joint Discretionary,Inbound,4441.0
2,9: Work-based,Inbound,610.0
3,1: Work,Inbound,67576.0
3,2: University,Inbound,31.0
3,3: School,Inbound,22510.0
3,4: Escort,Inbound,56347.0
3,5: Individual Maintenance,Inbound,40434.0
3,6: Individual Discretionary,Inbound,53726.0
3,7: Joint Maintenance,Inbound,5507.0
3,8: Joint Discretionary,Inbound,7417.0
3,9: Work-based,Inbound,1320.0
4,1: Work,Inbound,
4,2: University,Inbound,
4,3: School,Inbound,
4,4: Escort,Inbound,
4,5: Individual Maintenance,Inbound,
4,6: Individual Discretionary,Inbound,
4,7: Joint Maintenance,Inbound,
4,8: Joint Discretionary,Inbound,
5,1: Work,Inbound,
5,2: University,Inbound,
5,3: School,Inbound,
5,4: Escort,Inbound,
5,5: Individual Maintenance,Inbound,
5,6: Individual Discretionary,Inbound,
5,7: Joint Maintenance,Inbound,
5,8: Joint Discretionary,Inbound,
6,1: Work,Inbound,
6,2: University,Inbound,
