distbin,purpose,freq
1,4: Escort,204987
1,5: Individual Maintenance,121588
1,6: Individual Discretionary,117600
1,7: Joint Maintenance,12318
1,8: Joint Discretionary,15928
1,9: Work-based,46546
2,4: Escort,202645
2,5: Individual Maintenance,154862
2,6: Individual Discretionary,99358
2,7: Joint Maintenance,10716
2,8: Joint Discretionary,13262
2,9: Work-based,18808
3,4: Escort,138852
3,5: Individual Maintenance,123367
3,6: Individual Discretionary,64406
3,7: Joint Maintenance,14161
3,8: Joint Discretionary,10938
3,9: Work-based,12225
4,4: Escort,96196
4,5: Individual Maintenance,72084
4,6: Individual Discretionary,41566
4,7: Joint Maintenance,10777
4,8: Joint Discretionary,6823
4,9: Work-based,7247
5,4: Escort,67350
5,5: Individual Maintenance,52975
5,6: Individual Discretionary,36893
5,7: Joint Maintenance,8209
5,8: Joint Discretionary,6072
5,9: Work-based,5783
6,4: Escort,49384
6,5: Individual Maintenance,37787
6,6: Individual Discretionary,23463
6,7: Joint Maintenance,5868
6,8: Joint Discretionary,3778
6,9: Work-based,3034
7,4: Escort,36968
7,5: Individual Maintenance,26986
7,6: Individual Discretionary,20765
7,7: Joint Maintenance,4477
7,8: Joint Discretionary,3514
7,9: Work-based,2904
8,4: Escort,29433
8,5: Individual Maintenance,20801
8,6: Individual Discretionary,18013
8,7: Joint Maintenance,3470
8,8: Joint Discretionary,3053
8,9: Work-based,3144
9,4: Escort,25481
9,5: Individual Maintenance,17061
9,6: Individual Discretionary,15528
9,7: Joint Maintenance,2977
9,8: Joint Discretionary,2671
9,9: Work-based,1104
10,4: Escort,22792
10,5: Individual Maintenance,15741
10,6: Individual Discretionary,13515
10,7: Joint Maintenance,2835
10,8: Joint Discretionary,2492
10,9: Work-based,1232
11,4: Escort,21865
11,5: Individual Maintenance,13697
11,6: Individual Discretionary,11741
11,7: Joint Maintenance,2380
11,8: Joint Discretionary,2177
11,9: Work-based,1513
12,4: Escort,19742
12,5: Individual Maintenance,10995
12,6: Individual Discretionary,9721
12,7: Joint Maintenance,1952
12,8: Joint Discretionary,1643
12,9: Work-based,1495
13,4: Escort,18929
13,5: Individual Maintenance,9269
13,6: Individual Discretionary,8245
13,7: Joint Maintenance,1653
13,8: Joint Discretionary,1441
13,9: Work-based,1830
14,4: Escort,17985
14,5: Individual Maintenance,7514
14,6: Individual Discretionary,6445
14,7: Joint Maintenance,1348
14,8: Joint Discretionary,1141
14,9: Work-based,1973
15,4: Escort,16354
15,5: Individual Maintenance,5849
15,6: Individual Discretionary,5333
15,7: Joint Maintenance,1068
15,8: Joint Discretionary,895
15,9: Work-based,1740
16,4: Escort,14108
16,5: Individual Maintenance,4549
16,6: Individual Discretionary,4014
16,7: Joint Maintenance,858
16,8: Joint Discretionary,668
16,9: Work-based,1603
17,4: Escort,11831
17,5: Individual Maintenance,3605
17,6: Individual Discretionary,3147
17,7: Joint Maintenance,626
17,8: Joint Discretionary,515
17,9: Work-based,1169
18,4: Escort,9497
18,5: Individual Maintenance,2775
18,6: Individual Discretionary,2514
18,7: Joint Maintenance,479
18,8: Joint Discretionary,390
18,9: Work-based,887
19,4: Escort,6975
19,5: Individual Maintenance,1890
19,6: Individual Discretionary,1995
19,7: Joint Maintenance,359
19,8: Joint Discretionary,294
19,9: Work-based,485
20,4: Escort,4364
20,5: Individual Maintenance,1186
20,6: Individual Discretionary,1509
20,7: Joint Maintenance,220
20,8: Joint Discretionary,235
20,9: Work-based,244
21,4: Escort,897
21,5: Individual Maintenance,1045
21,6: Individual Discretionary,1363
21,7: Joint Maintenance,166
21,8: Joint Discretionary,197
21,9: Work-based,105
22,4: Escort,474
22,5: Individual Maintenance,1006
22,6: Individual Discretionary,1199
22,7: Joint Maintenance,184
22,8: Joint Discretionary,209
22,9: Work-based,77
23,4: Escort,366
23,5: Individual Maintenance,1010
23,6: Individual Discretionary,1180
23,7: Joint Maintenance,179
23,8: Joint Discretionary,176
23,9: Work-based,91
24,4: Escort,262
24,5: Individual Maintenance,880
24,6: Individual Discretionary,1088
24,7: Joint Maintenance,154
24,8: Joint Discretionary,158
24,9: Work-based,44
25,4: Escort,227
25,5: Individual Maintenance,869
25,6: Individual Discretionary,1062
25,7: Joint Maintenance,150
25,8: Joint Discretionary,173
25,9: Work-based,54
26,4: Escort,171
26,5: Individual Maintenance,793
26,6: Individual Discretionary,991
26,7: Joint Maintenance,144
26,8: Joint Discretionary,159
26,9: Work-based,42
27,4: Escort,160
27,5: Individual Maintenance,805
27,6: Individual Discretionary,886
27,7: Joint Maintenance,132
27,8: Joint Discretionary,145
27,9: Work-based,23
28,4: Escort,153
28,5: Individual Maintenance,778
28,6: Individual Discretionary,858
28,7: Joint Maintenance,138
28,8: Joint Discretionary,127
28,9: Work-based,16
29,4: Escort,168
29,5: Individual Maintenance,701
29,6: Individual Discretionary,866
29,7: Joint Maintenance,113
29,8: Joint Discretionary,137
29,9: Work-based,16
30,4: Escort,156
30,5: Individual Maintenance,690
30,6: Individual Discretionary,851
30,7: Joint Maintenance,101
30,8: Joint Discretionary,120
30,9: Work-based,16
31,4: Escort,118
31,5: Individual Maintenance,677
31,6: Individual Discretionary,838
31,7: Joint Maintenance,107
31,8: Joint Discretionary,128
31,9: Work-based,7
32,4: Escort,114
32,5: Individual Maintenance,702
32,6: Individual Discretionary,760
32,7: Joint Maintenance,117
32,8: Joint Discretionary,109
32,9: Work-based,8
33,4: Escort,127
33,5: Individual Maintenance,627
33,6: Individual Discretionary,675
33,7: Joint Maintenance,98
33,8: Joint Discretionary,110
33,9: Work-based,3
34,4: Escort,120
34,5: Individual Maintenance,712
34,6: Individual Discretionary,670
34,7: Joint Maintenance,101
34,8: Joint Discretionary,105
34,9: Work-based,6
35,4: Escort,100
35,5: Individual Maintenance,669
35,6: Individual Discretionary,715
35,7: Joint Maintenance,93
35,8: Joint Discretionary,107
35,9: Work-based,5
36,4: Escort,100
36,5: Individual Maintenance,604
36,6: Individual Discretionary,650
36,7: Joint Maintenance,95
36,8: Joint Discretionary,107
36,9: Work-based,3
37,4: Escort,82
37,5: Individual Maintenance,563
37,6: Individual Discretionary,642
37,7: Joint Maintenance,102
37,8: Joint Discretionary,83
38,4: Escort,89
38,5: Individual Maintenance,582
38,6: Individual Discretionary,630
38,7: Joint Maintenance,89
38,8: Joint Discretionary,87
38,9: Work-based,1
39,4: Escort,86
39,5: Individual Maintenance,591
39,6: Individual Discretionary,588
39,7: Joint Maintenance,100
39,8: Joint Discretionary,100
39,9: Work-based,2
40,4: Escort,75
40,5: Individual Maintenance,584
40,6: Individual Discretionary,598
40,7: Joint Maintenance,99
40,8: Joint Discretionary,97
40,9: Work-based,1
41,4: Escort,89
41,5: Individual Maintenance,592
41,6: Individual Discretionary,520
41,7: Joint Maintenance,98
41,8: Joint Discretionary,93
41,9: Work-based,1
99999,4: Escort,1274
99999,5: Individual Maintenance,8822
99999,6: Individual Discretionary,7514
99999,7: Joint Maintenance,1280
99999,8: Joint Discretionary,1156
99999,9: Work-based,12
