trip_mode,tour_mode,purpose,value
01: SOV,01: SOV,1: Work,2497407
01: SOV,01: SOV,2: University,155799
01: SOV,01: SOV,3: School,32390
01: SOV,01: SOV,4: Escort,647044
01: SOV,01: SOV,5: Individual Maintenance,985566
01: SOV,01: SOV,6: Individual Discretionary,563009
01: SOV,01: SOV,9: Work-based,136363
01: SOV,02: Shared Ride 2,1: Work,292577
01: SOV,02: Shared Ride 2,2: University,18120
01: SOV,02: Shared Ride 2,3: School,429
01: SOV,02: Shared Ride 2,4: Escort,270832
01: SOV,02: Shared Ride 2,5: Individual Maintenance,150939
01: SOV,02: Shared Ride 2,6: Individual Discretionary,73256
01: SOV,02: Shared Ride 2,9: Work-based,5159
01: SOV,03: Shared Ride 3+,1: Work,114727
01: SOV,03: Shared Ride 3+,2: University,5505
01: SOV,03: Shared Ride 3+,3: School,2718
01: SOV,03: Shared Ride 3+,4: Escort,109551
01: SOV,03: Shared Ride 3+,5: Individual Maintenance,71348
01: SOV,03: Shared Ride 3+,6: Individual Discretionary,27880
01: SOV,03: Shared Ride 3+,9: Work-based,770
01: SOV,07: PNR to Transit,1: Work,1692
01: SOV,07: PNR to Transit,2: University,216
01: SOV,07: PNR to Transit,4: Escort,1
01: SOV,07: PNR to Transit,5: Individual Maintenance,78
02: Shared Ride 2,02: Shared Ride 2,1: Work,318348
02: Shared Ride 2,02: Shared Ride 2,2: University,38907
02: Shared Ride 2,02: Shared Ride 2,3: School,534439
02: Shared Ride 2,02: Shared Ride 2,4: Escort,648659
02: Shared Ride 2,02: Shared Ride 2,5: Individual Maintenance,295499
02: Shared Ride 2,02: Shared Ride 2,6: Individual Discretionary,269884
02: Shared Ride 2,02: Shared Ride 2,7: Joint Maintenance,201194
02: Shared Ride 2,02: Shared Ride 2,8: Joint Discretionary,122452
02: Shared Ride 2,02: Shared Ride 2,9: Work-based,35859
02: Shared Ride 2,03: Shared Ride 3+,1: Work,39470
02: Shared Ride 2,03: Shared Ride 3+,2: University,5015
02: Shared Ride 2,03: Shared Ride 3+,3: School,121675
02: Shared Ride 2,03: Shared Ride 3+,4: Escort,209861
02: Shared Ride 2,03: Shared Ride 3+,5: Individual Maintenance,131606
02: Shared Ride 2,03: Shared Ride 3+,6: Individual Discretionary,53197
02: Shared Ride 2,03: Shared Ride 3+,7: Joint Maintenance,5649
02: Shared Ride 2,03: Shared Ride 3+,8: Joint Discretionary,2536
02: Shared Ride 2,03: Shared Ride 3+,9: Work-based,1599
02: Shared Ride 2,06: Walk to Transit,1: Work,4779
02: Shared Ride 2,06: Walk to Transit,2: University,2269
02: Shared Ride 2,06: Walk to Transit,5: Individual Maintenance,394
02: Shared Ride 2,06: Walk to Transit,6: Individual Discretionary,1909
02: Shared Ride 2,06: Walk to Transit,7: Joint Maintenance,138
02: Shared Ride 2,06: Walk to Transit,8: Joint Discretionary,8
02: Shared Ride 2,07: PNR to Transit,1: Work,1689
02: Shared Ride 2,07: PNR to Transit,2: University,1003
02: Shared Ride 2,07: PNR to Transit,4: Escort,1
02: Shared Ride 2,07: PNR to Transit,5: Individual Maintenance,14
02: Shared Ride 2,07: PNR to Transit,6: Individual Discretionary,194
02: Shared Ride 2,08: KNR to Transit,1: Work,7229
02: Shared Ride 2,08: KNR to Transit,2: University,2521
02: Shared Ride 2,08: KNR to Transit,3: School,162
02: Shared Ride 2,08: KNR to Transit,4: Escort,1
02: Shared Ride 2,08: KNR to Transit,5: Individual Maintenance,602
02: Shared Ride 2,08: KNR to Transit,6: Individual Discretionary,982
02: Shared Ride 2,08: KNR to Transit,7: Joint Maintenance,48
02: Shared Ride 2,08: KNR to Transit,8: Joint Discretionary,271
02: Shared Ride 2,09: TNC to Transit,1: Work,2
02: Shared Ride 2,09: TNC to Transit,6: Individual Discretionary,428
02: Shared Ride 2,10: Taxi,1: Work,36
02: Shared Ride 2,10: Taxi,4: Escort,44
02: Shared Ride 2,10: Taxi,5: Individual Maintenance,104
02: Shared Ride 2,10: Taxi,6: Individual Discretionary,320
02: Shared Ride 2,10: Taxi,7: Joint Maintenance,166
02: Shared Ride 2,10: Taxi,8: Joint Discretionary,232
02: Shared Ride 2,11: TNC Single,1: Work,70
02: Shared Ride 2,11: TNC Single,2: University,1
02: Shared Ride 2,11: TNC Single,4: Escort,40
02: Shared Ride 2,11: TNC Single,5: Individual Maintenance,119
02: Shared Ride 2,11: TNC Single,6: Individual Discretionary,329
02: Shared Ride 2,11: TNC Single,7: Joint Maintenance,196
02: Shared Ride 2,11: TNC Single,8: Joint Discretionary,275
02: Shared Ride 2,12: TNC Shared,1: Work,920
02: Shared Ride 2,12: TNC Shared,2: University,23
02: Shared Ride 2,12: TNC Shared,4: Escort,1016
02: Shared Ride 2,12: TNC Shared,5: Individual Maintenance,1181
02: Shared Ride 2,12: TNC Shared,6: Individual Discretionary,1682
02: Shared Ride 2,12: TNC Shared,7: Joint Maintenance,732
