stop_period,purpose,freq,stop_skim_period
4.75,1: Work,9466,1: EA
4.75,2: University,42,1: EA
4.75,3: School,1103,1: EA
4.75,4: Escort,349,1: EA
4.75,5: Individual Maintenance,208,1: EA
4.75,6: Individual Discretionary,914,1: EA
4.75,7: Joint Maintenance,81,1: EA
4.75,8: Joint Discretionary,203,1: EA
4.75,9: Work-based,24,1: EA
5.25,1: Work,11465,1: EA
5.25,2: University,53,1: EA
5.25,3: School,1407,1: EA
5.25,4: Escort,1031,1: EA
5.25,5: Individual Maintenance,423,1: EA
5.25,6: Individual Discretionary,1105,1: EA
5.25,7: Joint Maintenance,133,1: EA
5.25,8: Joint Discretionary,238,1: EA
5.25,9: Work-based,33,1: EA
5.75,1: Work,26035,1: EA
5.75,2: University,60,1: EA
5.75,3: School,1669,1: EA
5.75,4: Escort,2918,1: EA
5.75,5: Individual Maintenance,707,1: EA
5.75,6: Individual Discretionary,1697,1: EA
5.75,7: Joint Maintenance,165,1: EA
5.75,8: Joint Discretionary,302,1: EA
5.75,9: Work-based,60,1: EA
6.25,1: Work,23332,2: AM
6.25,2: University,374,2: AM
6.25,3: School,1235,2: AM
6.25,4: Escort,6399,2: AM
6.25,5: Individual Maintenance,1146,2: AM
6.25,6: Individual Discretionary,2376,2: AM
6.25,7: Joint Maintenance,300,2: AM
6.25,8: Joint Discretionary,351,2: AM
6.25,9: Work-based,79,2: AM
6.75,1: Work,31941,2: AM
6.75,2: University,559,2: AM
6.75,3: School,11488,2: AM
6.75,4: Escort,13128,2: AM
6.75,5: Individual Maintenance,1843,2: AM
6.75,6: Individual Discretionary,3708,2: AM
6.75,7: Joint Maintenance,397,2: AM
6.75,8: Joint Discretionary,518,2: AM
6.75,9: Work-based,122,2: AM
7.25,1: Work,51661,2: AM
7.25,2: University,2771,2: AM
7.25,3: School,43147,2: AM
7.25,4: Escort,37608,2: AM
7.25,5: Individual Maintenance,2929,2: AM
7.25,6: Individual Discretionary,5322,2: AM
7.25,7: Joint Maintenance,480,2: AM
7.25,8: Joint Discretionary,577,2: AM
7.25,9: Work-based,152,2: AM
7.75,1: Work,71518,2: AM
7.75,2: University,4196,2: AM
7.75,3: School,60793,2: AM
7.75,4: Escort,72695,2: AM
7.75,5: Individual Maintenance,4814,2: AM
7.75,6: Individual Discretionary,9513,2: AM
7.75,7: Joint Maintenance,674,2: AM
7.75,8: Joint Discretionary,841,2: AM
7.75,9: Work-based,200,2: AM
8.25,1: Work,51228,2: AM
8.25,2: University,2767,2: AM
8.25,3: School,40785,2: AM
8.25,4: Escort,67643,2: AM
8.25,5: Individual Maintenance,7671,2: AM
8.25,6: Individual Discretionary,10415,2: AM
8.25,7: Joint Maintenance,876,2: AM
8.25,8: Joint Discretionary,760,2: AM
8.25,9: Work-based,275,2: AM
8.75,1: Work,31896,2: AM
8.75,2: University,3299,2: AM
8.75,3: School,17777,2: AM
8.75,4: Escort,41926,2: AM
8.75,5: Individual Maintenance,10966,2: AM
8.75,6: Individual Discretionary,11357,2: AM
8.75,7: Joint Maintenance,1243,2: AM
8.75,8: Joint Discretionary,805,2: AM
8.75,9: Work-based,326,2: AM
9.25,1: Work,23449,3: MD
9.25,2: University,2535,3: MD
9.25,3: School,4905,3: MD
9.25,4: Escort,15071,3: MD
9.25,5: Individual Maintenance,15418,3: MD
9.25,6: Individual Discretionary,13663,3: MD
9.25,7: Joint Maintenance,1791,3: MD
9.25,8: Joint Discretionary,943,3: MD
9.25,9: Work-based,464,3: MD
9.75,1: Work,19807,3: MD
9.75,2: University,2119,3: MD
9.75,3: School,3196,3: MD
9.75,4: Escort,12026,3: MD
9.75,5: Individual Maintenance,24843,3: MD
9.75,6: Individual Discretionary,16361,3: MD
9.75,7: Joint Maintenance,2939,3: MD
9.75,8: Joint Discretionary,1852,3: MD
9.75,9: Work-based,583,3: MD
10.25,1: Work,13223,3: MD
10.25,2: University,2007,3: MD
10.25,3: School,2321,3: MD
10.25,4: Escort,9619,3: MD
10.25,5: Individual Maintenance,40958,3: MD
10.25,6: Individual Discretionary,18213,3: MD
10.25,7: Joint Maintenance,4857,3: MD
10.25,8: Joint Discretionary,2051,3: MD
10.25,9: Work-based,752,3: MD
10.75,1: Work,13430,3: MD
10.75,2: University,2315,3: MD
10.75,3: School,2924,3: MD
10.75,4: Escort,11043,3: MD
10.75,5: Individual Maintenance,42643,3: MD
10.75,6: Individual Discretionary,14970,3: MD
10.75,7: Joint Maintenance,5265,3: MD
10.75,8: Joint Discretionary,1860,3: MD
10.75,9: Work-based,907,3: MD
11.25,1: Work,15130,3: MD
11.25,2: University,2247,3: MD
11.25,3: School,2518,3: MD
11.25,4: Escort,10079,3: MD
11.25,5: Individual Maintenance,40410,3: MD
11.25,6: Individual Discretionary,15783,3: MD
11.25,7: Joint Maintenance,4932,3: MD
11.25,8: Joint Discretionary,2053,3: MD
11.25,9: Work-based,1240,3: MD
11.75,1: Work,16028,3: MD
11.75,2: University,2771,3: MD
11.75,3: School,3045,3: MD
11.75,4: Escort,10518,3: MD
11.75,5: Individual Maintenance,41615,3: MD
11.75,6: Individual Discretionary,19133,3: MD
11.75,7: Joint Maintenance,5313,3: MD
11.75,8: Joint Discretionary,2456,3: MD
11.75,9: Work-based,2831,3: MD
12.25,1: Work,16951,3: MD
12.25,2: University,4933,3: MD
12.25,3: School,3918,3: MD
12.25,4: Escort,10814,3: MD
12.25,5: Individual Maintenance,37460,3: MD
12.25,6: Individual Discretionary,17726,3: MD
12.25,7: Joint Maintenance,4587,3: MD
12.25,8: Joint Discretionary,2416,3: MD
12.25,9: Work-based,4245,3: MD
12.75,1: Work,19658,3: MD
12.75,2: University,3223,3: MD
12.75,3: School,5282,3: MD
12.75,4: Escort,12122,3: MD
12.75,5: Individual Maintenance,37272,3: MD
12.75,6: Individual Discretionary,14862,3: MD
12.75,7: Joint Maintenance,4524,3: MD
12.75,8: Joint Discretionary,2004,3: MD
12.75,9: Work-based,5605,3: MD
13.25,1: Work,21287,3: MD
13.25,2: University,2916,3: MD
13.25,3: School,6663,3: MD
13.25,4: Escort,13471,3: MD
13.25,5: Individual Maintenance,35863,3: MD
13.25,6: Individual Discretionary,15184,3: MD
13.25,7: Joint Maintenance,4262,3: MD
13.25,8: Joint Discretionary,1845,3: MD
13.25,9: Work-based,3686,3: MD
13.75,1: Work,26472,3: MD
13.75,2: University,3084,3: MD
13.75,3: School,8737,3: MD
13.75,4: Escort,24100,3: MD
13.75,5: Individual Maintenance,35332,3: MD
13.75,6: Individual Discretionary,14980,3: MD
13.75,7: Joint Maintenance,4243,3: MD
13.75,8: Joint Discretionary,1988,3: MD
13.75,9: Work-based,2106,3: MD
14.25,1: Work,36620,3: MD
14.25,2: University,3045,3: MD
14.25,3: School,21878,3: MD
14.25,4: Escort,49213,3: MD
14.25,5: Individual Maintenance,34005,3: MD
14.25,6: Individual Discretionary,13385,3: MD
14.25,7: Joint Maintenance,3901,3: MD
14.25,8: Joint Discretionary,1897,3: MD
14.25,9: Work-based,1397,3: MD
14.75,1: Work,39497,3: MD
14.75,2: University,2951,3: MD
14.75,3: School,55422,3: MD
14.75,4: Escort,65868,3: MD
14.75,5: Individual Maintenance,34148,3: MD
14.75,6: Individual Discretionary,14369,3: MD
14.75,7: Joint Maintenance,4065,3: MD
14.75,8: Joint Discretionary,2338,3: MD
14.75,9: Work-based,1033,3: MD
15.25,1: Work,54870,3: MD
15.25,2: University,3061,3: MD
15.25,3: School,55049,3: MD
15.25,4: Escort,61239,3: MD
15.25,5: Individual Maintenance,31827,3: MD
15.25,6: Individual Discretionary,13203,3: MD
15.25,7: Joint Maintenance,3882,3: MD
