purpose,freq_dep,freq_arr,skim_period,period
1: Work,145.23713114844742,6108.483444607189,1: EA,0.25
1: Work,16796.0,20007.0,3: MD,13.25
1: Work,16146.0,26969.0,3: MD,13.75
1: Work,15336.0,35665.0,3: MD,14.25
1: Work,14596.0,43866.0,3: MD,14.75
1: Work,12743.0,64442.0,3: MD,15.25
1: Work,11833.0,70932.0,4: PM,15.75
1: Work,10601.0,88665.0,4: PM,16.25
1: Work,9579.0,119272.0,4: PM,16.75
1: Work,8896.0,137915.0,4: PM,17.25
1: Work,7335.0,85197.0,4: PM,18.25
1: Work,6276.0,54126.0,4: PM,18.75
1: Work,5436.0,49756.0,5: EV,19.25
1: Work,4475.0,32248.0,5: EV,19.75
1: Work,3512.0,24550.0,5: EV,20.25
1: Work,2834.0,19728.0,5: EV,20.75
1: Work,2177.0,16502.0,5: EV,21.25
1: Work,1607.0,14535.0,5: EV,21.75
1: Work,1175.0,13154.0,5: EV,22.25
1: Work,880.0,12706.0,5: EV,22.75
1: Work,580.0,12711.0,5: EV,23.25
1: Work,382.0,14490.0,5: EV,23.75
1: Work,16809.0,16196.0,3: MD,12.75
1: Work,17409.0,12939.0,3: MD,12.25
1: Work,8111.0,120357.0,4: PM,17.75
1: Work,18389.0,7972.0,3: MD,11.25
1: Work,17590.0,9990.0,3: MD,11.75
1: Work,175.73508905152082,6272.7524513781445,1: EA,0.75
1: Work,271.11665076022564,5483.090052302501,1: EA,1.25
1: Work,504.1625120939302,3851.0465211923097,1: EA,1.75
1: Work,1030.8474073304303,2139.1081051669403,1: EA,2.25
1: Work,2099.647597811975,976.4059374020518,1: EA,2.75
1: Work,3942.8455019557964,401.6707982934522,1: EA,3.25
1: Work,9755.611369922533,84.7765785511193,1: EA,4.25
1: Work,13373.593281673917,55.903022895770256,1: EA,4.75
1: Work,41596.0,110.0,1: EA,5.25
1: Work,108287.0,199.0,1: EA,5.75
1: Work,6570.203458251221,169.76308821052234,1: EA,3.75
1: Work,19528.0,6155.0,3: MD,10.75
1: Work,92571.0,486.0,2: AM,6.75
1: Work,126692.0,724.0,2: AM,7.25
1: Work,155630.0,1183.0,2: AM,7.75
1: Work,117358.0,1698.0,2: AM,8.25
1: Work,84580.0,2225.0,2: AM,8.75
1: Work,49821.0,2993.0,3: MD,9.25
1: Work,30409.0,3826.0,3: MD,9.75
1: Work,20847.0,4769.0,3: MD,10.25
1: Work,58412.0,302.0,2: AM,6.25
2: University,3007.0,4701.0,4: PM,17.25
2: University,4127.0,5055.0,4: PM,16.75
2: University,625.0,5154.0,4: PM,16.25
2: University,813.0,5184.0,4: PM,15.75
2: University,2083.0,4426.0,3: MD,13.25
2: University,1274.0,5009.0,3: MD,14.75
2: University,1504.0,5092.0,3: MD,14.25
2: University,1837.0,4791.0,3: MD,13.75
2: University,2329.0,4383.0,4: PM,17.75
2: University,1047.0,5226.0,3: MD,15.25
2: University,1734.0,4363.0,4: PM,18.25
2: University,6.0,919.0,5: EV,23.75
2: University,194.0,3770.0,5: EV,19.25
2: University,223.0,3716.0,5: EV,19.75
2: University,245.0,3708.0,5: EV,20.25
2: University,216.0,3490.0,5: EV,20.75
2: University,161.0,3029.0,5: EV,21.25
2: University,115.0,2654.0,5: EV,21.75
2: University,65.0,2157.0,5: EV,22.25
2: University,29.0,1580.0,5: EV,22.75
2: University,8.0,1250.0,5: EV,23.25
2: University,2609.0,5528.0,3: MD,12.75
2: University,1334.0,4164.0,4: PM,18.75
2: University,2928.0,8534.0,3: MD,12.25
2: University,204.0,2.0,1: EA,5.75
2: University,4123.0,2853.0,3: MD,11.25
2: University,3514.0,3548.0,3: MD,11.75
2: University,1.4060577567069372,209.8199629809337,1: EA,0.25
2: University,1.241561228669016,180.86044306772592,1: EA,0.75
2: University,1.696903778102662,142.01259240644498,1: EA,1.25
2: University,3.1993013635550347,92.47702269650735,1: EA,1.75
2: University,6.868034098373074,47.196948075614124,1: EA,2.25
2: University,13.894184178660018,19.054746149069327,1: EA,2.75
2: University,32.78270907703806,2.331087149699467,1: EA,3.75
2: University,41.00167355093145,0.995929673526021,1: EA,4.25
2: University,53.39519755758099,0.612178328840266,1: EA,4.75
2: University,198.0,4.0,1: EA,5.25
2: University,23.514377410382757,6.639089471638808,1: EA,3.25
2: University,1355.0,5.0,2: AM,6.25
2: University,5937.0,1167.0,3: MD,10.25
2: University,6949.0,578.0,3: MD,9.75
2: University,8696.0,495.0,3: MD,9.25
2: University,10612.0,306.0,2: AM,8.75
2: University,4977.0,1835.0,3: MD,10.75
2: University,13006.0,107.0,2: AM,7.75
2: University,10100.0,53.0,2: AM,7.25
2: University,2204.0,24.0,2: AM,6.75
2: University,9152.0,157.0,2: AM,8.25
3: School,1288.0,26841.0,4: PM,17.75
3: School,1232.0,15283.0,3: MD,13.25
3: School,1419.0,18773.0,3: MD,13.75
3: School,1581.0,49106.0,3: MD,14.25
3: School,1789.0,121442.0,3: MD,14.75
3: School,2059.0,114079.0,3: MD,15.25
3: School,1992.0,71966.0,4: PM,15.75
3: School,1964.0,41056.0,4: PM,16.25
3: School,1797.0,34794.0,4: PM,16.75
3: School,1666.0,32879.0,4: PM,17.25
3: School,993.0,13849.0,4: PM,18.25
3: School,26.0,460.0,5: EV,23.75
3: School,466.0,4262.0,5: EV,19.25
3: School,308.0,2502.0,5: EV,19.75
3: School,212.0,1308.0,5: EV,20.25
3: School,141.0,740.0,5: EV,20.75
3: School,100.0,390.0,5: EV,21.25
3: School,109.0,402.0,5: EV,21.75
3: School,78.0,414.0,5: EV,22.25
3: School,75.0,377.0,5: EV,22.75
3: School,47.0,440.0,5: EV,23.25
3: School,996.0,12083.0,3: MD,12.75
3: School,685.0,7323.0,4: PM,18.75
3: School,1370.0,8819.0,3: MD,12.25
3: School,5349.0,42.0,1: EA,5.75
3: School,1870.0,3796.0,3: MD,11.25
3: School,41.91074462417519,131.61985972267044,1: EA,0.75
3: School,81.5512736499989,81.76180420950716,1: EA,1.25
3: School,166.24619382184235,39.84076864977003,1: EA,1.75
3: School,304.75523957357774,16.7371948458486,1: EA,2.25
3: School,454.894685898308,7.019944834661635,1: EA,2.75
3: School,546.9655716040025,3.4637510041792843,1: EA,3.25
3: School,576.413163444865,2.3027330085719155,1: EA,3.75
3: School,621.7770318541066,2.2093561406162503,1: EA,4.25
3: School,814.2714729766964,2.9990666444192917,1: EA,4.75
3: School,4312.0,20.0,1: EA,5.25
3: School,26.21462255242746,162.0455209397554,1: EA,0.25
3: School,3994.0,28.0,2: AM,6.25
