tourdur,purpose,freq
0.5,1: Work,9896
0.5,2: University,588
0.5,3: School,4192
0.5,4: Escort,311289
0.5,5: Individual Maintenance,54489
0.5,6: Individual Discretionary,9978
0.5,7: Joint Maintenance,6342
0.5,8: Joint Discretionary,1595
0.5,9: Work-based,15064
1.0,1: Work,11166
1.0,2: University,504
1.0,3: School,3981
1.0,4: Escort,512741
1.0,5: Individual Maintenance,152821
1.0,6: Individual Discretionary,47466
1.0,7: Joint Maintenance,10886
1.0,8: Joint Discretionary,7993
1.0,9: Work-based,44137
1.5,1: Work,12854
1.5,2: University,392
1.5,3: School,3503
1.5,4: Escort,116083
1.5,5: Individual Maintenance,142896
1.5,6: Individual Discretionary,69141
1.5,7: Joint Maintenance,24838
1.5,8: Joint Discretionary,12860
1.5,9: Work-based,30099
2.0,1: Work,14948
2.0,2: University,2726
2.0,3: School,3558
2.0,4: Escort,29094
2.0,5: Individual Maintenance,117584
2.0,6: Individual Discretionary,93699
2.0,7: Joint Maintenance,18360
2.0,8: Joint Discretionary,15859
2.0,9: Work-based,9026
2.5,1: Work,16920
2.5,2: University,3933
2.5,3: School,3609
2.5,4: Escort,11753
2.5,5: Individual Maintenance,76919
2.5,6: Individual Discretionary,75436
2.5,7: Joint Maintenance,10978
2.5,8: Joint Discretionary,12432
2.5,9: Work-based,7779
3.0,1: Work,19088
3.0,2: University,3903
3.0,3: School,4448
3.0,4: Escort,7285
3.0,5: Individual Maintenance,50231
3.0,6: Individual Discretionary,55375
3.0,7: Joint Maintenance,6575
3.0,8: Joint Discretionary,9887
3.0,9: Work-based,1522
3.5,1: Work,21714
3.5,2: University,8164
3.5,3: School,5155
3.5,4: Escort,6129
3.5,5: Individual Maintenance,33485
3.5,6: Individual Discretionary,39519
3.5,7: Joint Maintenance,4206
3.5,8: Joint Discretionary,5676
3.5,9: Work-based,1567
4.0,1: Work,23956
4.0,2: University,10875
4.0,3: School,5887
4.0,4: Escort,4584
4.0,5: Individual Maintenance,22467
4.0,6: Individual Discretionary,30587
4.0,7: Joint Maintenance,2634
4.0,8: Joint Discretionary,4090
4.0,9: Work-based,1602
4.5,1: Work,25935
4.5,2: University,11359
4.5,3: School,7132
4.5,4: Escort,3603
4.5,5: Individual Maintenance,15209
4.5,6: Individual Discretionary,23381
4.5,7: Joint Maintenance,1608
4.5,8: Joint Discretionary,2491
4.5,9: Work-based,1125
5.0,1: Work,28008
5.0,2: University,9277
5.0,3: School,9224
5.0,4: Escort,2853
5.0,5: Individual Maintenance,10124
5.0,6: Individual Discretionary,13753
5.0,7: Joint Maintenance,1040
5.0,8: Joint Discretionary,1410
5.0,9: Work-based,821
5.5,1: Work,29709
5.5,2: University,8175
5.5,3: School,11865
5.5,4: Escort,2199
5.5,5: Individual Maintenance,6723
5.5,6: Individual Discretionary,9660
5.5,7: Joint Maintenance,671
5.5,8: Joint Discretionary,935
5.5,9: Work-based,572
6.0,1: Work,29783
6.0,2: University,6708
6.0,3: School,16271
6.0,4: Escort,1749
6.0,5: Individual Maintenance,4507
6.0,6: Individual Discretionary,6856
6.0,7: Joint Maintenance,437
6.0,8: Joint Discretionary,598
6.0,9: Work-based,381
6.5,1: Work,30498
6.5,2: University,6513
6.5,3: School,27472
6.5,4: Escort,1592
6.5,5: Individual Maintenance,3032
6.5,6: Individual Discretionary,4756
