tour_purpose,freq,stop_skim_period,stop_period
1: Work,11577.554905007595,1: EA,0.25
1: Work,60223.0,3: MD,13.25
1: Work,69232.0,3: MD,13.75
1: Work,91580.0,3: MD,14.25
1: Work,98226.0,3: MD,14.75
1: Work,132663.0,3: MD,15.25
1: Work,137770.0,4: PM,15.75
1: Work,166347.0,4: PM,16.25
1: Work,215345.0,4: PM,16.75
1: Work,246066.0,4: PM,17.25
1: Work,155546.0,4: PM,18.25
1: Work,100330.0,4: PM,18.75
1: Work,91838.0,5: EV,19.25
1: Work,61952.0,5: EV,19.75
1: Work,46860.0,5: EV,20.25
1: Work,37243.0,5: EV,20.75
1: Work,30947.0,5: EV,21.25
1: Work,26757.0,5: EV,21.75
1: Work,23569.0,5: EV,22.25
1: Work,22347.0,5: EV,22.75
1: Work,21693.0,5: EV,23.25
1: Work,24013.0,5: EV,23.75
1: Work,55224.0,3: MD,12.75
1: Work,48297.0,3: MD,12.25
1: Work,216846.0,4: PM,17.75
1: Work,42425.0,3: MD,11.25
1: Work,45689.0,3: MD,11.75
1: Work,8098.0029050690655,1: EA,0.75
1: Work,5670.8696280457625,1: EA,1.25
1: Work,4260.515049895931,1: EA,1.75
1: Work,3658.620552428541,1: EA,2.25
1: Work,3748.272058098115,1: EA,2.75
1: Work,4643.623551020492,1: EA,3.25
1: Work,11469.742967538548,1: EA,4.25
1: Work,20674.02352810036,1: EA,4.75
1: Work,46447.0,1: EA,5.25
1: Work,115765.0,1: EA,5.75
1: Work,6837.774854795595,1: EA,3.75
1: Work,40170.0,3: MD,10.75
1: Work,120949.0,2: AM,6.75
1: Work,174353.0,2: AM,7.25
1: Work,224275.0,2: AM,7.75
1: Work,174344.0,2: AM,8.25
1: Work,120230.0,2: AM,8.75
1: Work,81322.0,3: MD,9.25
1: Work,62678.0,3: MD,9.75
1: Work,41453.0,3: MD,10.25
1: Work,82758.0,2: AM,6.25
2: University,10557.0,4: PM,17.25
2: University,12317.0,4: PM,16.75
2: University,8756.0,4: PM,16.25
2: University,8887.0,4: PM,15.75
2: University,9806.0,3: MD,13.25
