trip_mode,tour_mode,purpose,value
01: SOV,01: SOV,1: Work,2498777
01: SOV,01: SOV,2: University,139472
01: SOV,01: SOV,3: School,38174
01: SOV,01: SOV,4: Escort,654459
01: SOV,01: SOV,5: Individual Maintenance,940041
01: SOV,01: SOV,6: Individual Discretionary,533119
01: SOV,01: SOV,9: Work-based,134864
01: SOV,02: Shared Ride 2,1: Work,298247
01: SOV,02: Shared Ride 2,2: University,17592
01: SOV,02: Shared Ride 2,3: School,454
01: SOV,02: Shared Ride 2,4: Escort,267795
01: SOV,02: Shared Ride 2,5: Individual Maintenance,146660
01: SOV,02: Shared Ride 2,6: Individual Discretionary,68915
01: SOV,02: Shared Ride 2,9: Work-based,5188
01: SOV,03: Shared Ride 3+,1: Work,115249
01: SOV,03: Shared Ride 3+,2: University,5311
01: SOV,03: Shared Ride 3+,3: School,3011
01: SOV,03: Shared Ride 3+,4: Escort,106784
01: SOV,03: Shared Ride 3+,5: Individual Maintenance,66638
01: SOV,03: Shared Ride 3+,6: Individual Discretionary,26399
01: SOV,03: Shared Ride 3+,9: Work-based,704
01: SOV,07: PNR to Transit,1: Work,1757
01: SOV,07: PNR to Transit,2: University,175
01: SOV,07: PNR to Transit,5: Individual Maintenance,96
02: Shared Ride 2,02: Shared Ride 2,1: Work,322408
02: Shared Ride 2,02: Shared Ride 2,2: University,36165
02: Shared Ride 2,02: Shared Ride 2,3: School,543071
02: Shared Ride 2,02: Shared Ride 2,4: Escort,638559
02: Shared Ride 2,02: Shared Ride 2,5: Individual Maintenance,287429
02: Shared Ride 2,02: Shared Ride 2,6: Individual Discretionary,261202
02: Shared Ride 2,02: Shared Ride 2,7: Joint Maintenance,189270
02: Shared Ride 2,02: Shared Ride 2,8: Joint Discretionary,115664
02: Shared Ride 2,02: Shared Ride 2,9: Work-based,35497
02: Shared Ride 2,03: Shared Ride 3+,1: Work,39911
02: Shared Ride 2,03: Shared Ride 3+,2: University,4860
02: Shared Ride 2,03: Shared Ride 3+,3: School,125775
02: Shared Ride 2,03: Shared Ride 3+,4: Escort,210784
02: Shared Ride 2,03: Shared Ride 3+,5: Individual Maintenance,123791
02: Shared Ride 2,03: Shared Ride 3+,6: Individual Discretionary,52853
02: Shared Ride 2,03: Shared Ride 3+,7: Joint Maintenance,5762
02: Shared Ride 2,03: Shared Ride 3+,8: Joint Discretionary,2714
02: Shared Ride 2,03: Shared Ride 3+,9: Work-based,1670
02: Shared Ride 2,06: Walk to Transit,1: Work,4593
02: Shared Ride 2,06: Walk to Transit,2: University,2191
02: Shared Ride 2,06: Walk to Transit,4: Escort,2
02: Shared Ride 2,06: Walk to Transit,5: Individual Maintenance,370
02: Shared Ride 2,06: Walk to Transit,6: Individual Discretionary,1945
02: Shared Ride 2,06: Walk to Transit,7: Joint Maintenance,143
02: Shared Ride 2,06: Walk to Transit,8: Joint Discretionary,9
02: Shared Ride 2,07: PNR to Transit,1: Work,1685
02: Shared Ride 2,07: PNR to Transit,2: University,860
02: Shared Ride 2,07: PNR to Transit,5: Individual Maintenance,20
02: Shared Ride 2,07: PNR to Transit,6: Individual Discretionary,135
02: Shared Ride 2,08: KNR to Transit,1: Work,7376
02: Shared Ride 2,08: KNR to Transit,2: University,2242
02: Shared Ride 2,08: KNR to Transit,3: School,216
02: Shared Ride 2,08: KNR to Transit,5: Individual Maintenance,534
02: Shared Ride 2,08: KNR to Transit,6: Individual Discretionary,977
02: Shared Ride 2,08: KNR to Transit,7: Joint Maintenance,54
02: Shared Ride 2,08: KNR to Transit,8: Joint Discretionary,268
02: Shared Ride 2,09: TNC to Transit,1: Work,8
02: Shared Ride 2,09: TNC to Transit,5: Individual Maintenance,2
02: Shared Ride 2,09: TNC to Transit,6: Individual Discretionary,360
02: Shared Ride 2,10: Taxi,1: Work,30
02: Shared Ride 2,10: Taxi,2: University,1
02: Shared Ride 2,10: Taxi,4: Escort,26
02: Shared Ride 2,10: Taxi,5: Individual Maintenance,79
02: Shared Ride 2,10: Taxi,6: Individual Discretionary,285
02: Shared Ride 2,10: Taxi,7: Joint Maintenance,177
02: Shared Ride 2,10: Taxi,8: Joint Discretionary,197
02: Shared Ride 2,11: TNC Single,1: Work,90
02: Shared Ride 2,11: TNC Single,4: Escort,43
02: Shared Ride 2,11: TNC Single,5: Individual Maintenance,102
02: Shared Ride 2,11: TNC Single,6: Individual Discretionary,315
02: Shared Ride 2,11: TNC Single,7: Joint Maintenance,180
02: Shared Ride 2,11: TNC Single,8: Joint Discretionary,206
02: Shared Ride 2,12: TNC Shared,1: Work,819
02: Shared Ride 2,12: TNC Shared,2: University,10
02: Shared Ride 2,12: TNC Shared,4: Escort,960
02: Shared Ride 2,12: TNC Shared,5: Individual Maintenance,1171
02: Shared Ride 2,12: TNC Shared,6: Individual Discretionary,1675
02: Shared Ride 2,12: TNC Shared,7: Joint Maintenance,756
02: Shared Ride 2,12: TNC Shared,8: Joint Discretionary,1189
03: Shared Ride 3+,02: Shared Ride 2,3: School,34474
03: Shared Ride 3+,03: Shared Ride 3+,1: Work,107425
03: Shared Ride 3+,03: Shared Ride 3+,2: University,25801
03: Shared Ride 3+,03: Shared Ride 3+,3: School,633938
03: Shared Ride 3+,03: Shared Ride 3+,4: Escort,817304
03: Shared Ride 3+,03: Shared Ride 3+,5: Individual Maintenance,339520
03: Shared Ride 3+,03: Shared Ride 3+,6: Individual Discretionary,237041
03: Shared Ride 3+,03: Shared Ride 3+,7: Joint Maintenance,71788
03: Shared Ride 3+,03: Shared Ride 3+,8: Joint Discretionary,69433
03: Shared Ride 3+,03: Shared Ride 3+,9: Work-based,10982
03: Shared Ride 3+,06: Walk to Transit,1: Work,1829
03: Shared Ride 3+,06: Walk to Transit,2: University,425
03: Shared Ride 3+,06: Walk to Transit,3: School,1747
03: Shared Ride 3+,06: Walk to Transit,5: Individual Maintenance,859
03: Shared Ride 3+,06: Walk to Transit,7: Joint Maintenance,160
