distbin,District,purpose,value
1,1: Downtown,Work,784.1882958
2,1: Downtown,Work,398.9196166
3,1: Downtown,Work,107.8552408
4,1: Downtown,Work,660.9268291
5,1: Downtown,Work,0
6,1: Downtown,Work,0
7,1: Downtown,Work,43.02658291
8,1: Downtown,Work,208.5657331
9,1: Downtown,Work,82.38356943
10,1: Downtown,Work,0
11,1: Downtown,Work,0
12,1: Downtown,Work,0
13,1: Downtown,Work,0
14,1: Downtown,Work,0
15,1: Downtown,Work,0
16,1: Downtown,Work,91.85240049
17,1: Downtown,Work,0
18,1: Downtown,Work,0
19,1: Downtown,Work,0
20,1: Downtown,Work,0
21,1: Downtown,Work,0
22,1: Downtown,Work,0
23,1: Downtown,Work,0
24,1: Downtown,Work,145.1481709
25,1: Downtown,Work,0
26,1: Downtown,Work,0
27,1: Downtown,Work,0
28,1: Downtown,Work,0
29,1: Downtown,Work,0
30,1: Downtown,Work,0
31,1: Downtown,Work,0
32,1: Downtown,Work,0
33,1: Downtown,Work,0
34,1: Downtown,Work,0
35,1: Downtown,Work,0
36,1: Downtown,Work,54.32157848
37,1: Downtown,Work,0
38,1: Downtown,Work,0
39,1: Downtown,Work,0
40,1: Downtown,Work,0
41,1: Downtown,Work,0
42,1: Downtown,Work,0
43,1: Downtown,Work,0
44,1: Downtown,Work,0
45,1: Downtown,Work,0
46,1: Downtown,Work,0
47,1: Downtown,Work,0
48,1: Downtown,Work,0
49,1: Downtown,Work,0
50,1: Downtown,Work,0
51,1: Downtown,Work,0
1,2: Central,Work,6090.518537
2,2: Central,Work,8971.818754
3,2: Central,Work,17860.34493
4,2: Central,Work,8473.234827
5,2: Central,Work,4323.866581
6,2: Central,Work,5188.632931
7,2: Central,Work,4910.783889
8,2: Central,Work,7439.982562
9,2: Central,Work,5307.055615
10,2: Central,Work,9720.92477
11,2: Central,Work,5694.3269
12,2: Central,Work,3088.566418
13,2: Central,Work,12338.56951
14,2: Central,Work,4588.755507
15,2: Central,Work,3503.566935
16,2: Central,Work,3444.038588
17,2: Central,Work,3214.131652
18,2: Central,Work,2414.313227
19,2: Central,Work,984.1023614
20,2: Central,Work,2135.613551
21,2: Central,Work,1231.828742
22,2: Central,Work,576.7873112
23,2: Central,Work,735.21087
24,2: Central,Work,313.4170036
25,2: Central,Work,30.15835459
26,2: Central,Work,0
27,2: Central,Work,0
28,2: Central,Work,0
29,2: Central,Work,0
30,2: Central,Work,0
31,2: Central,Work,148.0958003
32,2: Central,Work,1611.970151
33,2: Central,Work,0
34,2: Central,Work,0
35,2: Central,Work,107.5589942
36,2: Central,Work,15.11574393
37,2: Central,Work,0
38,2: Central,Work,195.4171023
39,2: Central,Work,0
40,2: Central,Work,0
41,2: Central,Work,0
42,2: Central,Work,0
43,2: Central,Work,0
44,2: Central,Work,0
45,2: Central,Work,0
46,2: Central,Work,0
47,2: Central,Work,0
48,2: Central,Work,0
49,2: Central,Work,0
50,2: Central,Work,0
51,2: Central,Work,0
1,3: North City,Work,13871.65985
2,3: North City,Work,12549.04785
3,3: North City,Work,17039.03072
4,3: North City,Work,11056.71798
5,3: North City,Work,10971.6724
6,3: North City,Work,17692.36695
7,3: North City,Work,9734.315831
8,3: North City,Work,8124.519665
9,3: North City,Work,7319.909389
10,3: North City,Work,22470.05728
11,3: North City,Work,8055.544407
12,3: North City,Work,11128.18599
13,3: North City,Work,4620.527936
14,3: North City,Work,10208.25368
15,3: North City,Work,4543.79649
16,3: North City,Work,5743.066934
17,3: North City,Work,2599.730315
18,3: North City,Work,1641.785572
19,3: North City,Work,3879.8742
20,3: North City,Work,6059.071497
21,3: North City,Work,4927.222248
22,3: North City,Work,4017.710518
23,3: North City,Work,335.2326412
24,3: North City,Work,1124.973054
25,3: North City,Work,1529.812294
26,3: North City,Work,148.9343216
27,3: North City,Work,201.7845411
28,3: North City,Work,1078.515518
29,3: North City,Work,1069.780962
30,3: North City,Work,169.0150561
31,3: North City,Work,0
32,3: North City,Work,1061.827323
33,3: North City,Work,0
34,3: North City,Work,0
35,3: North City,Work,0
36,3: North City,Work,0
37,3: North City,Work,0
38,3: North City,Work,0
39,3: North City,Work,0
40,3: North City,Work,0
41,3: North City,Work,0
42,3: North City,Work,0
43,3: North City,Work,0
44,3: North City,Work,0
45,3: North City,Work,0
46,3: North City,Work,0
47,3: North City,Work,0
48,3: North City,Work,0
49,3: North City,Work,0
50,3: North City,Work,0
51,3: North City,Work,0
1,4: South Suburban,Work,1137.162753
2,4: South Suburban,Work,10221.69162
3,4: South Suburban,Work,225.9962023
4,4: South Suburban,Work,4048.39336
5,4: South Suburban,Work,23284.93949
6,4: South Suburban,Work,0
7,4: South Suburban,Work,396.5420959
8,4: South Suburban,Work,6435.09375
9,4: South Suburban,Work,13545.24159
10,4: South Suburban,Work,6575.175282
11,4: South Suburban,Work,2579.642264
12,4: South Suburban,Work,14.3825112
13,4: South Suburban,Work,7357.608439
14,4: South Suburban,Work,8026.236184
15,4: South Suburban,Work,341.6976679
16,4: South Suburban,Work,8955.884382
17,4: South Suburban,Work,3078.724606
18,4: South Suburban,Work,1662.534136
