District,purpose,value
1: Downtown,Work,13.3008667
2: Central,Work,9.536733831
3: North City,Work,8.908437715
4: South Suburban,Work,12.26174472
5: East Suburban,Work,11.80685471
6: North County West,Work,12.54422185
7: North County East,Work,9.950244978
8: East County,Work,54.60480406
Total,Work,10.78995401
1: Downtown,University,9.655532081
2: Central,University,8.018627759
3: North City,University,4.952049129
4: South Suburban,University,14.31052758
5: East Suburban,University,11.65061099
6: North County West,University,9.348736461
7: North County East,University,10.87352232
8: East County,University,36.83964157
Total,University,8.146078762
1: Downtown,School,5.145598465
2: Central,School,3.527790132
3: North City,School,2.751073499
4: South Suburban,School,3.616246526
5: East Suburban,School,4.310500896
6: North County West,School,3.535452001
7: North County East,School,4.16261882
8: East County,School,0
Total,School,3.52989539
