OwnershipCategory,tour_mode,purpose,freq
0: No Vehicles,01: SOV,9: Work-based,1543
0: No Vehicles,01: SOV,6: Individual Discretionary,11654
0: No Vehicles,01: SOV,5: Individual Maintenance,7975
0: No Vehicles,01: SOV,8: Joint Discretionary,0
0: No Vehicles,01: SOV,7: Joint Maintenance,0
0: No Vehicles,01: SOV,3: School,0
0: No Vehicles,01: SOV,2: University,49
0: No Vehicles,01: SOV,1: Work,7673
0: No Vehicles,02: Shared Ride 2,9: Work-based,0
0: No Vehicles,02: Shared Ride 2,6: Individual Discretionary,2678
0: No Vehicles,02: Shared Ride 2,5: Individual Maintenance,5221
0: No Vehicles,02: Shared Ride 2,8: Joint Discretionary,5344
0: No Vehicles,02: Shared Ride 2,7: Joint Maintenance,5344
0: No Vehicles,02: Shared Ride 2,3: School,0
0: No Vehicles,02: Shared Ride 2,2: University,1525
0: No Vehicles,02: Shared Ride 2,1: Work,2921
0: No Vehicles,03: Shared Ride 3+,9: Work-based,0
0: No Vehicles,03: Shared Ride 3+,6: Individual Discretionary,166
0: No Vehicles,03: Shared Ride 3+,5: Individual Maintenance,1751
0: No Vehicles,03: Shared Ride 3+,8: Joint Discretionary,0
0: No Vehicles,03: Shared Ride 3+,7: Joint Maintenance,0
0: No Vehicles,03: Shared Ride 3+,3: School,4946
0: No Vehicles,03: Shared Ride 3+,2: University,212
0: No Vehicles,03: Shared Ride 3+,1: Work,0
0: No Vehicles,04: Walk,9: Work-based,11812
0: No Vehicles,04: Walk,6: Individual Discretionary,23317
0: No Vehicles,04: Walk,5: Individual Maintenance,29604
0: No Vehicles,04: Walk,8: Joint Discretionary,671
0: No Vehicles,04: Walk,7: Joint Maintenance,671
0: No Vehicles,04: Walk,3: School,699
0: No Vehicles,04: Walk,2: University,98
0: No Vehicles,04: Walk,1: Work,15196
0: No Vehicles,05: Bike,9: Work-based,0
0: No Vehicles,05: Bike,6: Individual Discretionary,93
0: No Vehicles,05: Bike,5: Individual Maintenance,0
0: No Vehicles,05: Bike,8: Joint Discretionary,0
0: No Vehicles,05: Bike,7: Joint Maintenance,0
0: No Vehicles,05: Bike,3: School,0
0: No Vehicles,05: Bike,2: University,1223
0: No Vehicles,05: Bike,1: Work,0
0: No Vehicles,08: Walk to Transit,9: Work-based,72
0: No Vehicles,08: Walk to Transit,6: Individual Discretionary,14907
0: No Vehicles,08: Walk to Transit,5: Individual Maintenance,14147
0: No Vehicles,08: Walk to Transit,8: Joint Discretionary,0
0: No Vehicles,08: Walk to Transit,7: Joint Maintenance,0
0: No Vehicles,08: Walk to Transit,3: School,62
0: No Vehicles,08: Walk to Transit,2: University,9564
0: No Vehicles,08: Walk to Transit,1: Work,7846
0: No Vehicles,09: PNR to Transit,9: Work-based,0
0: No Vehicles,09: PNR to Transit,6: Individual Discretionary,0
0: No Vehicles,09: PNR to Transit,5: Individual Maintenance,50
0: No Vehicles,09: PNR to Transit,8: Joint Discretionary,0
0: No Vehicles,09: PNR to Transit,7: Joint Maintenance,0
0: No Vehicles,09: PNR to Transit,3: School,0
0: No Vehicles,09: PNR to Transit,2: University,54
0: No Vehicles,09: PNR to Transit,1: Work,0
0: No Vehicles,10: KNR to Transit,9: Work-based,0
0: No Vehicles,10: KNR to Transit,6: Individual Discretionary,214
0: No Vehicles,10: KNR to Transit,5: Individual Maintenance,3325
0: No Vehicles,10: KNR to Transit,8: Joint Discretionary,0
0: No Vehicles,10: KNR to Transit,7: Joint Maintenance,0
0: No Vehicles,10: KNR to Transit,3: School,0
0: No Vehicles,10: KNR to Transit,2: University,0
0: No Vehicles,10: KNR to Transit,1: Work,293
0: No Vehicles,11: TNC to Transit,9: Work-based,0
0: No Vehicles,11: TNC to Transit,6: Individual Discretionary,0
0: No Vehicles,11: TNC to Transit,5: Individual Maintenance,165
0: No Vehicles,11: TNC to Transit,8: Joint Discretionary,0
0: No Vehicles,11: TNC to Transit,7: Joint Maintenance,0
0: No Vehicles,11: TNC to Transit,3: School,0
0: No Vehicles,11: TNC to Transit,2: University,0
0: No Vehicles,11: TNC to Transit,1: Work,190
0: No Vehicles,12: Taxi,9: Work-based,0
0: No Vehicles,12: Taxi,6: Individual Discretionary,0
0: No Vehicles,12: Taxi,5: Individual Maintenance,4677
0: No Vehicles,12: Taxi,8: Joint Discretionary,0
0: No Vehicles,12: Taxi,7: Joint Maintenance,0
0: No Vehicles,12: Taxi,3: School,0
0: No Vehicles,12: Taxi,2: University,20
0: No Vehicles,12: Taxi,1: Work,0
0: No Vehicles,13: TNC Single,9: Work-based,0
0: No Vehicles,13: TNC Single,6: Individual Discretionary,391
0: No Vehicles,13: TNC Single,5: Individual Maintenance,8075
0: No Vehicles,13: TNC Single,8: Joint Discretionary,0
0: No Vehicles,13: TNC Single,7: Joint Maintenance,0
0: No Vehicles,13: TNC Single,3: School,0
0: No Vehicles,13: TNC Single,2: University,0
0: No Vehicles,13: TNC Single,1: Work,9540
0: No Vehicles,14: TNC Shared,9: Work-based,0
0: No Vehicles,14: TNC Shared,6: Individual Discretionary,0
0: No Vehicles,14: TNC Shared,5: Individual Maintenance,0
0: No Vehicles,14: TNC Shared,8: Joint Discretionary,0
0: No Vehicles,14: TNC Shared,7: Joint Maintenance,0
0: No Vehicles,14: TNC Shared,3: School,0
0: No Vehicles,14: TNC Shared,2: University,0
0: No Vehicles,14: TNC Shared,1: Work,0
0: No Vehicles,15: School Bus,9: Work-based,0
0: No Vehicles,15: School Bus,6: Individual Discretionary,0
0: No Vehicles,15: School Bus,5: Individual Maintenance,0
0: No Vehicles,15: School Bus,8: Joint Discretionary,0
0: No Vehicles,15: School Bus,7: Joint Maintenance,0
0: No Vehicles,15: School Bus,3: School,2614
0: No Vehicles,15: School Bus,2: University,20
0: No Vehicles,15: School Bus,1: Work,0
0: No Vehicles,07: E-Scooter,9: Work-based,0
0: No Vehicles,07: E-Scooter,6: Individual Discretionary,102
0: No Vehicles,07: E-Scooter,5: Individual Maintenance,843
0: No Vehicles,07: E-Scooter,8: Joint Discretionary,0
0: No Vehicles,07: E-Scooter,7: Joint Maintenance,0
0: No Vehicles,07: E-Scooter,3: School,0
0: No Vehicles,07: E-Scooter,2: University,0
0: No Vehicles,07: E-Scooter,1: Work,0
0: No Vehicles,06: E-Bike,9: Work-based,0
0: No Vehicles,06: E-Bike,6: Individual Discretionary,69
0: No Vehicles,06: E-Bike,5: Individual Maintenance,1051
0: No Vehicles,06: E-Bike,8: Joint Discretionary,0
0: No Vehicles,06: E-Bike,7: Joint Maintenance,0
0: No Vehicles,06: E-Bike,3: School,0
0: No Vehicles,06: E-Bike,2: University,0
0: No Vehicles,06: E-Bike,1: Work,0
1: 1+ Veh/Adults > Veh,01: SOV,9: Work-based,52657
1: 1+ Veh/Adults > Veh,01: SOV,6: Individual Discretionary,53499
1: 1+ Veh/Adults > Veh,01: SOV,5: Individual Maintenance,125840
1: 1+ Veh/Adults > Veh,01: SOV,8: Joint Discretionary,0
1: 1+ Veh/Adults > Veh,01: SOV,7: Joint Maintenance,0
1: 1+ Veh/Adults > Veh,01: SOV,3: School,5332
1: 1+ Veh/Adults > Veh,01: SOV,2: University,6553
1: 1+ Veh/Adults > Veh,01: SOV,1: Work,140817
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,9: Work-based,13934
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,6: Individual Discretionary,34190
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,5: Individual Maintenance,100553
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,8: Joint Discretionary,49599
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,7: Joint Maintenance,49599
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,3: School,16277
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,2: University,3018
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,1: Work,18823
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,9: Work-based,3075
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,6: Individual Discretionary,26922
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,5: Individual Maintenance,122650
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,8: Joint Discretionary,18134
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,7: Joint Maintenance,18134
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,3: School,33301
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,2: University,4979
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,1: Work,16123
1: 1+ Veh/Adults > Veh,04: Walk,9: Work-based,943
1: 1+ Veh/Adults > Veh,04: Walk,6: Individual Discretionary,15054
1: 1+ Veh/Adults > Veh,04: Walk,5: Individual Maintenance,36833
1: 1+ Veh/Adults > Veh,04: Walk,8: Joint Discretionary,5921
1: 1+ Veh/Adults > Veh,04: Walk,7: Joint Maintenance,5921
1: 1+ Veh/Adults > Veh,04: Walk,3: School,8212
1: 1+ Veh/Adults > Veh,04: Walk,2: University,2458
1: 1+ Veh/Adults > Veh,04: Walk,1: Work,6448
1: 1+ Veh/Adults > Veh,05: Bike,9: Work-based,19
1: 1+ Veh/Adults > Veh,05: Bike,6: Individual Discretionary,2938
1: 1+ Veh/Adults > Veh,05: Bike,5: Individual Maintenance,420
1: 1+ Veh/Adults > Veh,05: Bike,8: Joint Discretionary,620
1: 1+ Veh/Adults > Veh,05: Bike,7: Joint Maintenance,620
1: 1+ Veh/Adults > Veh,05: Bike,3: School,33
1: 1+ Veh/Adults > Veh,05: Bike,2: University,184
1: 1+ Veh/Adults > Veh,05: Bike,1: Work,383
1: 1+ Veh/Adults > Veh,08: Walk to Transit,9: Work-based,0
1: 1+ Veh/Adults > Veh,08: Walk to Transit,6: Individual Discretionary,22785
1: 1+ Veh/Adults > Veh,08: Walk to Transit,5: Individual Maintenance,7587
1: 1+ Veh/Adults > Veh,08: Walk to Transit,8: Joint Discretionary,13
1: 1+ Veh/Adults > Veh,08: Walk to Transit,7: Joint Maintenance,13
1: 1+ Veh/Adults > Veh,08: Walk to Transit,3: School,46
1: 1+ Veh/Adults > Veh,08: Walk to Transit,2: University,8874
1: 1+ Veh/Adults > Veh,08: Walk to Transit,1: Work,4361
1: 1+ Veh/Adults > Veh,09: PNR to Transit,9: Work-based,0
1: 1+ Veh/Adults > Veh,09: PNR to Transit,6: Individual Discretionary,0
1: 1+ Veh/Adults > Veh,09: PNR to Transit,5: Individual Maintenance,911
1: 1+ Veh/Adults > Veh,09: PNR to Transit,8: Joint Discretionary,0
1: 1+ Veh/Adults > Veh,09: PNR to Transit,7: Joint Maintenance,0
1: 1+ Veh/Adults > Veh,09: PNR to Transit,3: School,0
1: 1+ Veh/Adults > Veh,09: PNR to Transit,2: University,0
1: 1+ Veh/Adults > Veh,09: PNR to Transit,1: Work,441
1: 1+ Veh/Adults > Veh,10: KNR to Transit,9: Work-based,0
1: 1+ Veh/Adults > Veh,10: KNR to Transit,6: Individual Discretionary,37
1: 1+ Veh/Adults > Veh,10: KNR to Transit,5: Individual Maintenance,5790
1: 1+ Veh/Adults > Veh,10: KNR to Transit,8: Joint Discretionary,0
1: 1+ Veh/Adults > Veh,10: KNR to Transit,7: Joint Maintenance,0
1: 1+ Veh/Adults > Veh,10: KNR to Transit,3: School,0
1: 1+ Veh/Adults > Veh,10: KNR to Transit,2: University,144
1: 1+ Veh/Adults > Veh,10: KNR to Transit,1: Work,1218
1: 1+ Veh/Adults > Veh,11: TNC to Transit,9: Work-based,0
1: 1+ Veh/Adults > Veh,11: TNC to Transit,6: Individual Discretionary,0
1: 1+ Veh/Adults > Veh,11: TNC to Transit,5: Individual Maintenance,98
1: 1+ Veh/Adults > Veh,11: TNC to Transit,8: Joint Discretionary,0
1: 1+ Veh/Adults > Veh,11: TNC to Transit,7: Joint Maintenance,0
1: 1+ Veh/Adults > Veh,11: TNC to Transit,3: School,0
1: 1+ Veh/Adults > Veh,11: TNC to Transit,2: University,0
1: 1+ Veh/Adults > Veh,11: TNC to Transit,1: Work,0
1: 1+ Veh/Adults > Veh,12: Taxi,9: Work-based,0
1: 1+ Veh/Adults > Veh,12: Taxi,6: Individual Discretionary,2625
1: 1+ Veh/Adults > Veh,12: Taxi,5: Individual Maintenance,7065
1: 1+ Veh/Adults > Veh,12: Taxi,8: Joint Discretionary,0
