distbin,purpose,freq
1,4: Escort,212765.7787
10,4: Escort,7716.47947
11,4: Escort,6156.971114
12,4: Escort,1775.453094
13,4: Escort,1094.070536
14,4: Escort,1251.395643
15,4: Escort,369.5534625
16,4: Escort,11807.68653
17,4: Escort,8904.379627
18,4: Escort,8299.841382
19,4: Escort,15348.33025
2,4: Escort,121761.9572
20,4: Escort,207.7215618
21,4: Escort,10050.04439
22,4: Escort,109.0995409
23,4: Escort,574.2677967
24,4: Escort,153.8865532
25,4: Escort,0
26,4: Escort,60.53685462
27,4: Escort,49.9786674
28,4: Escort,29.41567297
29,4: Escort,22.99893167
3,4: Escort,75517.63549
30,4: Escort,23.80360385
31,4: Escort,0
32,4: Escort,0
33,4: Escort,0
34,4: Escort,0
35,4: Escort,0
36,4: Escort,2197.740433
37,4: Escort,0
38,4: Escort,0
39,4: Escort,0
4,4: Escort,60999.47394
40,4: Escort,3199.67875
41,4: Escort,336.1749688
5,4: Escort,50743.61048
6,4: Escort,41028.51565
7,4: Escort,28296.47858
8,4: Escort,6552.069523
9,4: Escort,18627.03519
1,5: Individual Maintenance,116473.8796
10,5: Individual Maintenance,40153.33464
11,5: Individual Maintenance,37144.32092
12,5: Individual Maintenance,8809.485179
13,5: Individual Maintenance,17834.54829
14,5: Individual Maintenance,9831.187592
15,5: Individual Maintenance,20069.45309
16,5: Individual Maintenance,11031.9738
17,5: Individual Maintenance,6548.237128
18,5: Individual Maintenance,12080.93315
19,5: Individual Maintenance,8530.101267
2,5: Individual Maintenance,110322.1513
20,5: Individual Maintenance,1948.672867
21,5: Individual Maintenance,8117.331716
22,5: Individual Maintenance,3542.080725
23,5: Individual Maintenance,7505.245796
24,5: Individual Maintenance,4788.409332
25,5: Individual Maintenance,9144.611786
26,5: Individual Maintenance,3941.16597
27,5: Individual Maintenance,416.7916024
28,5: Individual Maintenance,717.0813537
29,5: Individual Maintenance,1780.491971
3,5: Individual Maintenance,99911.09376
30,5: Individual Maintenance,5899.477231
31,5: Individual Maintenance,1320.250482
32,5: Individual Maintenance,574.3440247
33,5: Individual Maintenance,87.92287815
34,5: Individual Maintenance,1369.52169
35,5: Individual Maintenance,419.0509177
36,5: Individual Maintenance,74.55664746
37,5: Individual Maintenance,263.1779369
38,5: Individual Maintenance,194.6668522
39,5: Individual Maintenance,117.3938343
4,5: Individual Maintenance,79637.95433
40,5: Individual Maintenance,76.87250458
41,5: Individual Maintenance,2568.867174
5,5: Individual Maintenance,93095.49918
6,5: Individual Maintenance,107648.6165
7,5: Individual Maintenance,46286.35775
8,5: Individual Maintenance,20712.45575
9,5: Individual Maintenance,22636.5361
1,6: Individual Discretionary,402300.8254
10,6: Individual Discretionary,11287.32774
11,6: Individual Discretionary,13961.11158
12,6: Individual Discretionary,9702.485053
13,6: Individual Discretionary,10142.96225
14,6: Individual Discretionary,11989.30472
15,6: Individual Discretionary,3788.241727
16,6: Individual Discretionary,6240.745559
17,6: Individual Discretionary,9309.742931
18,6: Individual Discretionary,1008.96386
19,6: Individual Discretionary,991.2361214
2,6: Individual Discretionary,148271.9777
20,6: Individual Discretionary,2978.212807
21,6: Individual Discretionary,7267.969559
22,6: Individual Discretionary,1263.254045
23,6: Individual Discretionary,1861.158175
24,6: Individual Discretionary,4720.966465
25,6: Individual Discretionary,4762.840809
26,6: Individual Discretionary,15198.55134
27,6: Individual Discretionary,7223.022037
28,6: Individual Discretionary,135.8371933
29,6: Individual Discretionary,171.4960737
3,6: Individual Discretionary,75269.13576
30,6: Individual Discretionary,926.1163532
31,6: Individual Discretionary,384.5427498
32,6: Individual Discretionary,164.8690197
33,6: Individual Discretionary,720.1298498
34,6: Individual Discretionary,22.72054006
35,6: Individual Discretionary,0
36,6: Individual Discretionary,47.98359583
37,6: Individual Discretionary,2932.910672
38,6: Individual Discretionary,0
39,6: Individual Discretionary,22.99893167
4,6: Individual Discretionary,103279.0266
40,6: Individual Discretionary,29.44483283
41,6: Individual Discretionary,6014.097622
5,6: Individual Discretionary,28647.34903
6,6: Individual Discretionary,48821.51489
7,6: Individual Discretionary,15865.92881
8,6: Individual Discretionary,25037.87952
9,6: Individual Discretionary,29472.46875
1,7: Joint Maintenance,11971.32534
10,7: Joint Maintenance,13761.8619
11,7: Joint Maintenance,376.1110365
12,7: Joint Maintenance,187.8605703
13,7: Joint Maintenance,434.8125441
14,7: Joint Maintenance,4190.211848
15,7: Joint Maintenance,311.2987441
16,7: Joint Maintenance,359.8498656
17,7: Joint Maintenance,0
18,7: Joint Maintenance,898.4396309
19,7: Joint Maintenance,39.09776518
2,7: Joint Maintenance,30246.88473
20,7: Joint Maintenance,5253.14698
21,7: Joint Maintenance,160.5122029
22,7: Joint Maintenance,0
23,7: Joint Maintenance,0
24,7: Joint Maintenance,133.0653268
25,7: Joint Maintenance,2782.735666
26,7: Joint Maintenance,761.5405237
27,7: Joint Maintenance,887.380257
28,7: Joint Maintenance,0
29,7: Joint Maintenance,0
3,7: Joint Maintenance,17845.60229
30,7: Joint Maintenance,0
31,7: Joint Maintenance,0
32,7: Joint Maintenance,701.2562467
33,7: Joint Maintenance,22.67179903
34,7: Joint Maintenance,0
35,7: Joint Maintenance,0
36,7: Joint Maintenance,0
37,7: Joint Maintenance,168.5841293
38,7: Joint Maintenance,0
39,7: Joint Maintenance,0
4,7: Joint Maintenance,11491.12512
40,7: Joint Maintenance,68.97894247
41,7: Joint Maintenance,0
5,7: Joint Maintenance,6261.595968
6,7: Joint Maintenance,7338.511426
7,7: Joint Maintenance,4795.98757
8,7: Joint Maintenance,422.8431232
9,7: Joint Maintenance,255.6228122
1,8: Joint Discretionary,68257.32523
10,8: Joint Discretionary,1644.180695
11,8: Joint Discretionary,6825.498058
12,8: Joint Discretionary,8048.285074
13,8: Joint Discretionary,239.7786007
14,8: Joint Discretionary,53.66678073
15,8: Joint Discretionary,913.2105191
16,8: Joint Discretionary,0
17,8: Joint Discretionary,0
18,8: Joint Discretionary,0
19,8: Joint Discretionary,132.2222273
2,8: Joint Discretionary,33912.8101
20,8: Joint Discretionary,98.54593215
21,8: Joint Discretionary,457.5000451
22,8: Joint Discretionary,508.3900869
23,8: Joint Discretionary,71.73446471
24,8: Joint Discretionary,0
25,8: Joint Discretionary,0
26,8: Joint Discretionary,42.55087169
27,8: Joint Discretionary,629.9267963
28,8: Joint Discretionary,0
29,8: Joint Discretionary,0
3,8: Joint Discretionary,30192.0399
30,8: Joint Discretionary,0
31,8: Joint Discretionary,22.74106773
