stop_period,tour_purpose,freq,stop_skim_period
3.25,1: Work,627.5691069,1: EA
3.75,1: Work,15221.08321,1: EA
4.25,1: Work,30314.16076,1: EA
4.75,1: Work,16269.89734,1: EA
5.25,1: Work,17772.15127,1: EA
5.75,1: Work,39502.3681,1: EA
6.25,1: Work,95578.26921,2: AM
6.75,1: Work,78776.37372,2: AM
7.25,1: Work,105663.5269,2: AM
7.75,1: Work,148854.5457,2: AM
8.25,1: Work,153061.1515,2: AM
8.75,1: Work,55311.90371,2: AM
9.25,1: Work,42399.71048,3: MD
9.75,1: Work,29119.55889,3: MD
10.25,1: Work,15923.04425,3: MD
10.75,1: Work,10027.03334,3: MD
11.25,1: Work,15412.95562,3: MD
11.75,1: Work,39430.60932,3: MD
12.25,1: Work,27531.27092,3: MD
12.75,1: Work,22074.0634,3: MD
13.25,1: Work,28016.56643,3: MD
13.75,1: Work,26400.58608,3: MD
14.25,1: Work,41716.54133,3: MD
14.75,1: Work,44253.0911,3: MD
15.25,1: Work,130796.7591,3: MD
15.75,1: Work,61691.46761,4: PM
16.25,1: Work,146563.9801,4: PM
16.75,1: Work,116936.1697,4: PM
17.25,1: Work,146389.1503,4: PM
17.75,1: Work,81670.26693,4: PM
18.25,1: Work,72939.71287,4: PM
18.75,1: Work,75285.13717,4: PM
19.25,1: Work,70785.12957,5: EV
19.75,1: Work,39170.25993,5: EV
20.25,1: Work,24962.8734,5: EV
20.75,1: Work,9479.846471,5: EV
21.25,1: Work,13296.18682,5: EV
21.75,1: Work,13968.95836,5: EV
22.25,1: Work,12940.01815,5: EV
22.75,1: Work,5113.199772,5: EV
23.25,1: Work,13617.8715,5: EV
23.75,1: Work,517.4016554,5: EV
0.25,1: Work,0,5: EV
0.75,1: Work,8851.489074,5: EV
1.25,1: Work,92.10311708,5: EV
1.75,1: Work,0,5: EV
2.25,1: Work,3718.641059,5: EV
2.75,1: Work,168.0290962,5: EV
3.25,2: University,958.9047042,1: EA
3.75,2: University,0,1: EA
4.25,2: University,0,1: EA
4.75,2: University,0,1: EA
5.25,2: University,5103.802024,1: EA
5.75,2: University,6805.069365,1: EA
6.25,2: University,9428.278224,2: AM
6.75,2: University,213.3754594,2: AM
7.25,2: University,7191.988645,2: AM
7.75,2: University,11952.7954,2: AM
8.25,2: University,4033.638561,2: AM
8.75,2: University,8407.918452,2: AM
9.25,2: University,4040.066578,3: MD
9.75,2: University,1751.072288,3: MD
10.25,2: University,1090.774059,3: MD
10.75,2: University,4921.143581,3: MD
11.25,2: University,3167.536708,3: MD
11.75,2: University,3787.129285,3: MD
12.25,2: University,14941.98469,3: MD
12.75,2: University,6077.046314,3: MD
13.25,2: University,9553.797481,3: MD
13.75,2: University,1566.231448,3: MD
14.25,2: University,3914.852298,3: MD
14.75,2: University,3547.320339,3: MD
15.25,2: University,12524.59347,3: MD
15.75,2: University,6288.236124,4: PM
16.25,2: University,2518.790547,4: PM
16.75,2: University,6277.946536,4: PM
17.25,2: University,7617.448616,4: PM
17.75,2: University,775.6767947,4: PM
18.25,2: University,849.2029885,4: PM
18.75,2: University,4893.134843,4: PM
19.25,2: University,4553.027968,5: EV
19.75,2: University,403.0982699,5: EV
20.25,2: University,2774.065196,5: EV
20.75,2: University,2504.620963,5: EV
21.25,2: University,8401.957127,5: EV
21.75,2: University,224.2938209,5: EV
22.25,2: University,107.7027247,5: EV
22.75,2: University,523.4226554,5: EV
23.25,2: University,0,5: EV
23.75,2: University,0,5: EV
0.25,2: University,0,5: EV
0.75,2: University,0,5: EV
1.25,2: University,0,5: EV
1.75,2: University,0,5: EV
2.25,2: University,0,5: EV
2.75,2: University,0,5: EV
3.25,3: School,0,1: EA
3.75,3: School,0,1: EA
4.25,3: School,90.75190979,1: EA
4.75,3: School,567.2760613,1: EA
5.25,3: School,0,1: EA
5.75,3: School,2490.559883,1: EA
6.25,3: School,6273.787054,2: AM
6.75,3: School,50496.93158,2: AM
7.25,3: School,104607.7122,2: AM
7.75,3: School,113430.7397,2: AM
8.25,3: School,179342.7787,2: AM
8.75,3: School,96005.31328,2: AM
9.25,3: School,25186.22786,3: MD
9.75,3: School,21155.09807,3: MD
10.25,3: School,681.3776737,3: MD
10.75,3: School,3237.407283,3: MD
11.25,3: School,4495.544511,3: MD
11.75,3: School,7792.48849,3: MD
12.25,3: School,11081.57955,3: MD
12.75,3: School,25511.171,3: MD
13.25,3: School,31734.78624,3: MD
13.75,3: School,20415.91898,3: MD
14.25,3: School,65142.13283,3: MD
14.75,3: School,53550.04744,3: MD
15.25,3: School,49701.08966,3: MD
15.75,3: School,59182.78747,4: PM
16.25,3: School,18441.18806,4: PM
16.75,3: School,13127.5516,4: PM
17.25,3: School,10145.48811,4: PM
17.75,3: School,22714.34552,4: PM
18.25,3: School,3994.485909,4: PM
18.75,3: School,7106.948865,4: PM
19.25,3: School,378.0229171,5: EV
19.75,3: School,2903.685992,5: EV
20.25,3: School,5944.156332,5: EV
20.75,3: School,5908.697993,5: EV
21.25,3: School,12445.24488,5: EV
21.75,3: School,0,5: EV
22.25,3: School,0,5: EV
22.75,3: School,0,5: EV
23.25,3: School,0,5: EV
23.75,3: School,0,5: EV
0.25,3: School,0,5: EV
0.75,3: School,0,5: EV
1.25,3: School,0,5: EV
1.75,3: School,0,5: EV
2.25,3: School,0,5: EV
2.75,3: School,0,5: EV
3.25,4: Escort,1513.970976,1: EA
3.75,4: Escort,1440.269953,1: EA
4.25,4: Escort,52.01531786,1: EA
4.75,4: Escort,1166.645776,1: EA
5.25,4: Escort,17748.67469,1: EA
5.75,4: Escort,6839.193035,1: EA
6.25,4: Escort,8345.432474,2: AM
6.75,4: Escort,66475.92384,2: AM
7.25,4: Escort,114576.4132,2: AM
7.75,4: Escort,107512.5455,2: AM
8.25,4: Escort,233321.873,2: AM
8.75,4: Escort,123050.2368,2: AM
9.25,4: Escort,23597.83236,3: MD
9.75,4: Escort,25419.97198,3: MD
10.25,4: Escort,19006.0964,3: MD
10.75,4: Escort,14008.96865,3: MD
11.25,4: Escort,42546.87157,3: MD
11.75,4: Escort,40635.51252,3: MD
12.25,4: Escort,34045.67692,3: MD
12.75,4: Escort,32705.69436,3: MD
13.25,4: Escort,67113.18284,3: MD
13.75,4: Escort,63416.04542,3: MD
14.25,4: Escort,94754.88992,3: MD
14.75,4: Escort,80287.96939,3: MD
15.25,4: Escort,153953.4086,3: MD
15.75,4: Escort,101100.4663,4: PM
16.25,4: Escort,49164.72568,4: PM
16.75,4: Escort,73811.34741,4: PM
17.25,4: Escort,53796.0632,4: PM
17.75,4: Escort,41558.17708,4: PM
18.25,4: Escort,14662.5598,4: PM
18.75,4: Escort,28875.03406,4: PM
19.25,4: Escort,26638.25087,5: EV
19.75,4: Escort,8974.474654,5: EV
20.25,4: Escort,21781.81511,5: EV
20.75,4: Escort,9046.057944,5: EV
21.25,4: Escort,5975.459383,5: EV
21.75,4: Escort,3038.516297,5: EV
22.25,4: Escort,1893.360559,5: EV
22.75,4: Escort,311.1600285,5: EV
23.25,4: Escort,118.6188866,5: EV
23.75,4: Escort,692.0443571,5: EV
0.25,4: Escort,332.1723629,5: EV
0.75,4: Escort,704.7038856,5: EV
1.25,4: Escort,693.9718299,5: EV
1.75,4: Escort,21.88313422,5: EV
2.25,4: Escort,56.96937183,5: EV
2.75,4: Escort,9.874113003,5: EV
3.25,5: Individual Maintenance,5051.644662,1: EA
3.75,5: Individual Maintenance,2222.975511,1: EA
4.25,5: Individual Maintenance,3264.633246,1: EA
4.75,5: Individual Maintenance,13082.10972,1: EA
5.25,5: Individual Maintenance,3736.764728,1: EA
5.75,5: Individual Maintenance,19471.76375,1: EA
6.25,5: Individual Maintenance,30494.30062,2: AM
6.75,5: Individual Maintenance,45584.90922,2: AM
7.25,5: Individual Maintenance,65395.02891,2: AM
7.75,5: Individual Maintenance,57621.10889,2: AM
8.25,5: Individual Maintenance,106492.1101,2: AM
8.75,5: Individual Maintenance,87005.099,2: AM
9.25,5: Individual Maintenance,143818.2686,3: MD
9.75,5: Individual Maintenance,110069.206,3: MD
10.25,5: Individual Maintenance,124588.5266,3: MD
10.75,5: Individual Maintenance,123609.1284,3: MD
11.25,5: Individual Maintenance,137673.3652,3: MD
11.75,5: Individual Maintenance,99501.48828,3: MD
12.25,5: Individual Maintenance,161192.1693,3: MD
12.75,5: Individual Maintenance,124643.7615,3: MD
13.25,5: Individual Maintenance,111508.2848,3: MD
13.75,5: Individual Maintenance,117246.4754,3: MD
14.25,5: Individual Maintenance,117087.7795,3: MD
14.75,5: Individual Maintenance,109921.6331,3: MD
15.25,5: Individual Maintenance,127124.4068,3: MD
15.75,5: Individual Maintenance,138354.4997,4: PM
16.25,5: Individual Maintenance,100966.1106,4: PM
16.75,5: Individual Maintenance,95780.49908,4: PM
17.25,5: Individual Maintenance,92950.10077,4: PM
17.75,5: Individual Maintenance,73755.17505,4: PM
18.25,5: Individual Maintenance,95313.86171,4: PM
18.75,5: Individual Maintenance,69412.28275,4: PM
19.25,5: Individual Maintenance,67735.46582,5: EV
19.75,5: Individual Maintenance,27905.41091,5: EV
20.25,5: Individual Maintenance,41613.77929,5: EV
20.75,5: Individual Maintenance,41216.03667,5: EV
21.25,5: Individual Maintenance,18985.2562,5: EV
21.75,5: Individual Maintenance,10002.96094,5: EV
22.25,5: Individual Maintenance,17191.03751,5: EV
22.75,5: Individual Maintenance,4762.74053,5: EV
23.25,5: Individual Maintenance,13991.18874,5: EV
23.75,5: Individual Maintenance,1666.458361,5: EV
0.25,5: Individual Maintenance,125.6115562,5: EV
0.75,5: Individual Maintenance,437.4143976,5: EV
1.25,5: Individual Maintenance,406.0075255,5: EV
1.75,5: Individual Maintenance,205.8681883,5: EV
2.25,5: Individual Maintenance,2084.837577,5: EV
2.75,5: Individual Maintenance,38.00705615,5: EV
3.25,6: Individual Discretionary,5459.032487,1: EA
3.75,6: Individual Discretionary,1930.937126,1: EA
4.25,6: Individual Discretionary,2763.47696,1: EA
4.75,6: Individual Discretionary,3482.637557,1: EA
5.25,6: Individual Discretionary,9362.558419,1: EA
5.75,6: Individual Discretionary,25641.8325,1: EA
6.25,6: Individual Discretionary,25641.44263,2: AM
6.75,6: Individual Discretionary,56157.05088,2: AM
7.25,6: Individual Discretionary,82560.6459,2: AM
7.75,6: Individual Discretionary,44176.72591,2: AM
8.25,6: Individual Discretionary,83409.10923,2: AM
8.75,6: Individual Discretionary,46215.28139,2: AM
9.25,6: Individual Discretionary,50703.90034,3: MD
9.75,6: Individual Discretionary,71908.92397,3: MD
10.25,6: Individual Discretionary,75327.76687,3: MD
10.75,6: Individual Discretionary,50516.63819,3: MD
11.25,6: Individual Discretionary,109724.2271,3: MD
11.75,6: Individual Discretionary,85287.80709,3: MD
12.25,6: Individual Discretionary,72061.20149,3: MD
12.75,6: Individual Discretionary,48737.47913,3: MD
13.25,6: Individual Discretionary,56709.69624,3: MD
13.75,6: Individual Discretionary,59891.52754,3: MD
14.25,6: Individual Discretionary,52101.77472,3: MD
14.75,6: Individual Discretionary,59831.96505,3: MD
15.25,6: Individual Discretionary,116997.9114,3: MD
15.75,6: Individual Discretionary,104008.3022,4: PM
16.25,6: Individual Discretionary,129198.3026,4: PM
16.75,6: Individual Discretionary,133227.8964,4: PM
17.25,6: Individual Discretionary,112042.0997,4: PM
17.75,6: Individual Discretionary,122714.3381,4: PM
18.25,6: Individual Discretionary,128829.11,4: PM
18.75,6: Individual Discretionary,87175.59308,4: PM
19.25,6: Individual Discretionary,102036.6857,5: EV
19.75,6: Individual Discretionary,74670.55686,5: EV
20.25,6: Individual Discretionary,57562.00839,5: EV
20.75,6: Individual Discretionary,55580.31656,5: EV
21.25,6: Individual Discretionary,54911.95813,5: EV
21.75,6: Individual Discretionary,23487.58629,5: EV
22.25,6: Individual Discretionary,20125.28745,5: EV
22.75,6: Individual Discretionary,19635.86651,5: EV
23.25,6: Individual Discretionary,5579.775283,5: EV
23.75,6: Individual Discretionary,4348.623318,5: EV
0.25,6: Individual Discretionary,5406.514167,5: EV
0.75,6: Individual Discretionary,5610.297844,5: EV
1.25,6: Individual Discretionary,21252.43169,5: EV
1.75,6: Individual Discretionary,86.20320236,5: EV
2.25,6: Individual Discretionary,224.2587189,5: EV
2.75,6: Individual Discretionary,11.47423921,5: EV
3.25,7: Joint Maintenance,0,1: EA
3.75,7: Joint Maintenance,0,1: EA
4.25,7: Joint Maintenance,0,1: EA
4.75,7: Joint Maintenance,147.3632074,1: EA
5.25,7: Joint Maintenance,10910.96691,1: EA
5.75,7: Joint Maintenance,54.56835835,1: EA
6.25,7: Joint Maintenance,337.5660888,2: AM
6.75,7: Joint Maintenance,39.29417508,2: AM
7.25,7: Joint Maintenance,300.6934458,2: AM
7.75,7: Joint Maintenance,555.7294196,2: AM
8.25,7: Joint Maintenance,29861.09747,2: AM
8.75,7: Joint Maintenance,4502.391956,2: AM
9.25,7: Joint Maintenance,7162.154206,3: MD
9.75,7: Joint Maintenance,34594.80398,3: MD
10.25,7: Joint Maintenance,25707.22469,3: MD
10.75,7: Joint Maintenance,44315.22908,3: MD
11.25,7: Joint Maintenance,54016.35333,3: MD
11.75,7: Joint Maintenance,40474.487,3: MD
12.25,7: Joint Maintenance,37947.19649,3: MD
12.75,7: Joint Maintenance,27532.51127,3: MD
13.25,7: Joint Maintenance,33378.19774,3: MD
13.75,7: Joint Maintenance,14903.23029,3: MD
14.25,7: Joint Maintenance,15138.69359,3: MD
14.75,7: Joint Maintenance,25488.12087,3: MD
15.25,7: Joint Maintenance,11123.79392,3: MD
15.75,7: Joint Maintenance,25505.98192,4: PM
16.25,7: Joint Maintenance,15125.63114,4: PM
16.75,7: Joint Maintenance,16202.55681,4: PM
17.25,7: Joint Maintenance,5575.792778,4: PM
17.75,7: Joint Maintenance,14816.24632,4: PM
18.25,7: Joint Maintenance,8504.487829,4: PM
18.75,7: Joint Maintenance,41634.84257,4: PM
19.25,7: Joint Maintenance,31560.40332,5: EV
19.75,7: Joint Maintenance,40333.51592,5: EV
20.25,7: Joint Maintenance,39294.3347,5: EV
20.75,7: Joint Maintenance,33112.51735,5: EV
21.25,7: Joint Maintenance,17120.74414,5: EV
21.75,7: Joint Maintenance,2759.883527,5: EV
22.25,7: Joint Maintenance,58.89232413,5: EV
22.75,7: Joint Maintenance,10949.03332,5: EV
23.25,7: Joint Maintenance,0,5: EV
23.75,7: Joint Maintenance,0,5: EV
0.25,7: Joint Maintenance,0,5: EV
0.75,7: Joint Maintenance,0,5: EV
1.25,7: Joint Maintenance,0,5: EV
1.75,7: Joint Maintenance,0,5: EV
2.25,7: Joint Maintenance,0,5: EV
2.75,7: Joint Maintenance,0,5: EV
3.25,8: Joint Discretionary,0,1: EA
3.75,8: Joint Discretionary,0,1: EA
4.25,8: Joint Discretionary,26.31935633,1: EA
4.75,8: Joint Discretionary,103.0072289,1: EA
5.25,8: Joint Discretionary,104.3490163,1: EA
5.75,8: Joint Discretionary,143.9444436,1: EA
6.25,8: Joint Discretionary,544.3374394,2: AM
6.75,8: Joint Discretionary,3852.656657,2: AM
7.25,8: Joint Discretionary,4643.212546,2: AM
7.75,8: Joint Discretionary,1242.141056,2: AM
8.25,8: Joint Discretionary,2564.811905,2: AM
