body_type,age,fuel_type,freq
Car,1.0,Diesel,11
Car,1.0,Gas,2511
Car,1.0,Hybrid,510
Car,1.0,PEV,901
Car,2.0,Diesel,9
Car,2.0,Gas,8571
Car,2.0,Hybrid,1695
Car,2.0,PEV,2622
Car,3.0,Diesel,12
Car,3.0,Gas,7586
Car,3.0,Hybrid,1191
Car,3.0,PEV,1458
Car,4.0,Diesel,8
Car,4.0,Gas,12095
Car,4.0,Hybrid,1780
Car,4.0,PEV,1834
Car,5.0,Diesel,2
Car,5.0,Gas,13956
Car,5.0,Hybrid,1707
Car,5.0,PEV,933
Car,6.0,Diesel,25
Car,6.0,Gas,14356
Car,6.0,Hybrid,1415
Car,6.0,PEV,1468
Car,7.0,Diesel,24
Car,7.0,Gas,16258
Car,7.0,Hybrid,2212
Car,7.0,PEV,535
Car,8.0,Diesel,48
Car,8.0,Gas,18103
Car,8.0,Hybrid,1501
Car,8.0,PEV,452
Car,9.0,Diesel,273
Car,9.0,Gas,22072
Car,9.0,Hybrid,2865
Car,9.0,PEV,413
Car,10.0,Diesel,316
Car,10.0,Gas,15701
Car,10.0,Hybrid,1684
Car,10.0,PEV,286
Car,11.0,Diesel,201
Car,11.0,Gas,19192
Car,11.0,Hybrid,2507
Car,11.0,PEV,293
Car,12.0,Diesel,136
Car,12.0,Gas,14114
Car,12.0,Hybrid,1607
Car,12.0,PEV,115
Car,13.0,Diesel,157
Car,13.0,Gas,11429
Car,13.0,Hybrid,949
Car,13.0,PEV,62
Car,14.0,Diesel,45
Car,14.0,Gas,10268
Car,14.0,Hybrid,1377
Car,14.0,PEV,6
Car,15.0,Diesel,34
Car,15.0,Gas,9289
Car,15.0,Hybrid,486
Car,16.0,Diesel,26
Car,16.0,Gas,11185
Car,16.0,Hybrid,851
Car,16.0,PEV,7
Car,17.0,Diesel,17
Car,17.0,Gas,12684
Car,17.0,Hybrid,794
Car,17.0,PEV,5
Car,18.0,Diesel,56
Car,18.0,Gas,11192
Car,18.0,Hybrid,341
Car,18.0,PEV,4
Car,19.0,Diesel,49
Car,19.0,Gas,10055
Car,19.0,Hybrid,437
Car,19.0,PEV,6
Car,20.0,Diesel,603
Car,20.0,Gas,64343
Car,20.0,Hybrid,341
Car,20.0,PEV,56
Motorcycle,1.0,Gas,319
Motorcycle,1.0,PEV,3
Motorcycle,2.0,Gas,1878
Motorcycle,2.0,PEV,54
Motorcycle,3.0,Gas,1263
Motorcycle,3.0,PEV,65
Motorcycle,4.0,Gas,1127
Motorcycle,4.0,PEV,28
Motorcycle,5.0,Diesel,1
Motorcycle,5.0,Gas,1242
Motorcycle,5.0,PEV,11
Motorcycle,6.0,Gas,1193
Motorcycle,6.0,PEV,5
Motorcycle,7.0,Gas,1280
Motorcycle,7.0,PEV,6
Motorcycle,8.0,Diesel,1
Motorcycle,8.0,Gas,1428
Motorcycle,8.0,PEV,5
Motorcycle,9.0,Gas,1296
Motorcycle,9.0,PEV,4
Motorcycle,10.0,Gas,1146
Motorcycle,10.0,PEV,3
Motorcycle,11.0,Gas,935
Motorcycle,12.0,Gas,730
Motorcycle,13.0,Gas,352
Motorcycle,14.0,Gas,322
Motorcycle,15.0,Gas,892
Motorcycle,16.0,Diesel,1
Motorcycle,16.0,Gas,894
Motorcycle,17.0,Gas,1324
Motorcycle,18.0,Gas,1101
Motorcycle,19.0,Gas,1031
Motorcycle,20.0,Gas,7055
Motorcycle,20.0,PEV,2
Pickup,1.0,Diesel,80
Pickup,1.0,Gas,907
Pickup,1.0,Hybrid,33
Pickup,1.0,PEV,6
Pickup,2.0,Diesel,689
Pickup,2.0,Gas,4565
Pickup,2.0,Hybrid,303
Pickup,2.0,PEV,345
Pickup,3.0,Diesel,559
Pickup,3.0,Gas,4709
Pickup,3.0,Hybrid,85
Pickup,4.0,Diesel,499
Pickup,4.0,Gas,3520
Pickup,4.0,PEV,1
Pickup,5.0,Diesel,513
Pickup,5.0,Gas,4948
Pickup,5.0,Hybrid,1
Pickup,6.0,Diesel,497
Pickup,6.0,Gas,3919
Pickup,6.0,Hybrid,3
Pickup,7.0,Diesel,554
Pickup,7.0,Gas,4228
Pickup,8.0,Diesel,590
Pickup,8.0,Gas,3501
Pickup,8.0,PEV,1
Pickup,9.0,Diesel,413
Pickup,9.0,Gas,3698
Pickup,9.0,Hybrid,2
Pickup,10.0,Diesel,223
Pickup,10.0,Gas,2866
Pickup,10.0,Hybrid,2
Pickup,11.0,Diesel,163
Pickup,11.0,Gas,2737
Pickup,11.0,Hybrid,5
Pickup,12.0,Diesel,230
Pickup,12.0,Gas,1967
Pickup,12.0,Hybrid,1
Pickup,13.0,Diesel,207
Pickup,13.0,Gas,2374
Pickup,13.0,Hybrid,3
Pickup,14.0,Diesel,81
Pickup,14.0,Gas,1727
Pickup,14.0,Hybrid,1
Pickup,15.0,Diesel,104
Pickup,15.0,Gas,1411
Pickup,15.0,Hybrid,4
Pickup,16.0,Diesel,372
Pickup,16.0,Gas,3193
Pickup,16.0,Hybrid,1
Pickup,17.0,Diesel,393
Pickup,17.0,Gas,3785
Pickup,17.0,Hybrid,1
Pickup,18.0,Diesel,646
Pickup,18.0,Gas,4823
Pickup,19.0,Diesel,574
Pickup,19.0,Gas,4165
Pickup,19.0,Hybrid,1
Pickup,20.0,Diesel,3501
Pickup,20.0,Gas,39007
Pickup,20.0,Hybrid,2
Pickup,20.0,PEV,1
SUV,1.0,Diesel,23
SUV,1.0,Gas,4028
SUV,1.0,Hybrid,574
SUV,1.0,PEV,646
SUV,2.0,Diesel,88
SUV,2.0,Gas,13823
SUV,2.0,Hybrid,2232
SUV,2.0,PEV,2758
SUV,3.0,Diesel,163
SUV,3.0,Gas,13378
SUV,3.0,Hybrid,1915
SUV,3.0,PEV,1628
SUV,4.0,Diesel,51
SUV,4.0,Gas,12421
SUV,4.0,Hybrid,899
SUV,4.0,PEV,465
SUV,5.0,Diesel,70
SUV,5.0,Gas,14106
SUV,5.0,Hybrid,593
SUV,5.0,PEV,172
SUV,6.0,Diesel,114
SUV,6.0,Gas,15157
SUV,6.0,Hybrid,527
SUV,6.0,PEV,180
SUV,7.0,Diesel,79
SUV,7.0,Gas,13595
SUV,7.0,Hybrid,321
SUV,7.0,PEV,140
SUV,8.0,Diesel,185
SUV,8.0,Gas,12977
SUV,8.0,Hybrid,183
SUV,8.0,PEV,143
SUV,9.0,Diesel,226
SUV,9.0,Gas,13066
SUV,9.0,Hybrid,122
SUV,9.0,PEV,9
SUV,10.0,Diesel,190
SUV,10.0,Gas,8155
SUV,10.0,Hybrid,107
SUV,10.0,PEV,7
SUV,11.0,Diesel,128
SUV,11.0,Gas,8781
SUV,11.0,Hybrid,142
SUV,11.0,PEV,11
SUV,12.0,Diesel,113
SUV,12.0,Gas,6116
SUV,12.0,Hybrid,83
SUV,12.0,PEV,6
SUV,13.0,Diesel,96
SUV,13.0,Gas,6666
SUV,13.0,Hybrid,84
SUV,13.0,PEV,5
SUV,14.0,Diesel,45
SUV,14.0,Gas,4713
SUV,14.0,Hybrid,117
SUV,14.0,PEV,1
SUV,15.0,Diesel,25
SUV,15.0,Gas,3482
SUV,15.0,Hybrid,98
SUV,16.0,Diesel,36
SUV,16.0,Gas,6107
SUV,16.0,Hybrid,300
SUV,16.0,PEV,1
SUV,17.0,Diesel,24
SUV,17.0,Gas,6462
SUV,17.0,Hybrid,229
SUV,17.0,PEV,5
SUV,18.0,Diesel,31
SUV,18.0,Gas,5473
SUV,18.0,Hybrid,270
SUV,18.0,PEV,2
SUV,19.0,Diesel,52
SUV,19.0,Gas,5632
SUV,19.0,Hybrid,34
SUV,19.0,PEV,1
