"distbin","District_1","District_2","District_3","District_4","District_5","District_6","District_7","District_8","Total"
1,276.425436211246,3607.21106062317,8976.11566038442,7299.003761385,1215.62220098759,1725.30724295076,2603.58164608599,0,25703.2670086282
2,115.633349592886,12314.0430401526,10344.9177212629,5449.77081007828,16090.6229033879,10908.0327066366,12911.5340974585,0,68134.5546285697
3,60.4300987853379,17427.0765942271,13242.5496071608,3303.10697569227,3511.93642143866,2979.89536200393,8792.06855565026,0,49317.0636149584
4,213.817260000367,11763.4499841593,10573.8666091882,10451.4644131147,9741.65638268266,1130.82208567692,233.212267833407,0,44108.2890026555
5,0,8560.97293133802,15365.4184447692,4029.35507495122,605.767032058209,2124.76970627698,7905.25451343811,0,38591.5377028317
6,0,8226.92473956525,9727.85496313586,0,158.331724019844,6163.10793942942,386.05988911933,0,24662.2792552697
7,36.0673479230112,9124.27318045402,22617.9281634634,570.594091009159,16388.3984223317,4642.73473621474,529.475893963143,0,53909.4718353592
8,41.6360027245148,13233.1966701689,15053.1647593538,3731.67676792728,6931.92722139041,763.627836890945,1217.40085544985,0,40972.6301139058
9,36.0579852252543,16247.7943579282,9486.82899768321,3147.9853431235,5616.56480795097,5883.85893942619,688.120947309996,0,41107.2113786473
10,0,18342.3392411093,18537.6109623631,10998.2025789661,6839.30143567659,3202.55249710814,196.641279464002,0,58116.6479946873
11,0,3143.47807745321,3119.21463967451,831.521519463401,3958.92657817705,2717.20916870182,384.017295872537,0,14154.3672793425
12,0,6904.26181175107,4566.85273219024,88.460188910516,532.575495177354,11788.7394574408,5443.58875521573,0,29324.4784406857
13,0,18666.1548678259,5213.61490194146,11265.6480297955,8346.18305187412,13513.7802691636,7093.31025866839,0,64098.691379269
14,0,23249.6902925184,4996.73817854601,4344.8637414393,635.064639682588,539.534129081008,3356.03733635161,0,37121.9283176189
15,0,2130.31273278135,4994.56055309669,1546.28535192037,7091.82438507566,32346.9239105763,3529.45304685454,0,51639.3599803049
16,2727.443509511,1688.50353370125,6587.69186649459,10633.8465997124,8253.66824663858,133.365364579906,3561.35712204175,0,33585.8762426795
17,0,6287.81556165744,4588.02228854782,3591.18582429653,1001.03796090868,89.9274700542192,9457.46412631599,0,25015.4532317807
18,0,2995.19008746734,1834.40108518571,9369.03253278903,6569.86570946554,430.417670629974,98.2822684430345,0,21297.1893539806
19,0,362.806399325236,6902.39265461983,87.7908760367781,3245.854337235,328.93042329894,2247.25339130722,0,13175.028081823
20,0,4237.34894212482,2989.46840377626,3487.20651967205,1418.16009572048,446.353520234652,91.0924033985699,0,12669.6298849268
21,0,124.604984994872,4635.42991204548,960.659200912846,2874.19961424388,47.8895109293811,188.004801168167,0,8830.78802429462
22,0,1608.15141631732,1379.83885943973,105.766201262237,7886.21946217008,4360.56834901142,49.9406532332033,0,15390.484941434
23,0,337.35060564343,182.227431867669,160.755007475485,7783.9815020304,0,90.1023958963968,0,8554.41694291339
24,72.0897771021485,6142.74235071671,628.34054296991,0,1531.75556452187,0,141.176416668057,0,8516.1046519787
25,0,80.8046515920359,372.85144861062,43.9576239452723,81.5473462672354,6086.18221005966,0,0,6665.34328047482
26,0,0,40.3102560310685,87.1317199928764,6014.99082661871,91.0208139022016,50.0940500333029,0,6283.54766657816
27,0,0,498.102168873855,0,1654.3378942451,0,132.031333540363,0,2284.47139665932
28,0,0,585.472004680882,4052.51547112137,0,427.372659561322,0,0,5065.36013536357
29,0,0,3004.48092584296,43.6668551000701,264.813858194444,5029.37967756609,0,53.8312432237435,8396.1725599273
30,0,0,134.52007495691,0,92.1433431942232,0,2631.96493493557,0,2858.6283530867
31,0,101.771906702882,0,7285.57838288664,0,2787.47960726031,140.03510830675,0,10314.8650051566
32,0,2364.46071835637,606.364966188728,0,58.4107968978785,0,0,0,3029.23648144298
33,0,0,0,0,0,0,0,53.8312432237435,53.8312432237435
34,0,0,0,0,0,62.1448013882656,0,53.8312432237435,115.976044612009
35,0,71.4035889885104,0,1195.20965117717,0,0,0,0,1266.61324016568
36,41.5158976768373,182.496763084085,0,0,0,90.7792173740166,0,0,314.791878134939
37,0,0,0,0,0,91.4027782899083,526.893713216003,0,618.296491505911
38,0,83.2360135733855,0,0,0,0,0,0,83.2360135733855
39,0,0,0,0,0,0,0,0,0
40,0,0,0,0,71.6652849494308,0,0,0,71.6652849494308
41,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,47.4314216398128,91.0924033985699,0,138.523825038383
46,0,0,0,0,0,0,0,0,0
47,0,0,0,78.7481305263059,0,0,138.965883015444,0,217.71401354175
48,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,140.350948786531,3367.31629388017,3507.6672426667
