coefficient_name,value,constrain
coef_one,1,T
coef_nest_root,1.00,T
coef_nest_AUTO_mandatory,.17,F
coef_nest_NONMOTORIZED_mandatory,0.17,F
coef_wait_work,-0.066,F
coef_wait_school,-0.109,F
coef_wait_shop,-0.064,F
coef_wait_visit_other,-0.039,F
asc_SHARED2_work,-1.742,F
asc_SHARED2_school,-0.838,F
asc_SHARED2_shop,-0.483,F
asc_SHARED2_visit_other,-1.211,F
asc_SHARED3_work,-3.360,F
asc_SHARED3_school,-2.019,F
asc_SHARED3_shop,-1.155,F
asc_SHARED3_visit_other,-1.562,F
asc_WALK_work,-4.013,F
asc_WALK_school,-4.192,F
asc_WALK_shop,-3.160,F
asc_WALK_visit_other,-3.160,F
