coefficient_name,value,constrain
coef_mode_choice_logsum,0.52483,F
coef_tot_dist_dur_leq2,-0.01882,F
coef_first_outbound_dp_dist_gt2_stops,-0.08908,F
coef_first_inbound_od_dist_gt2_stops,-0.01954,F
coef_last_outbound_dp_dist_gt2_stops,-0.06194,F
coef_last_inbound_od_dist_gt2_stops,-0.03133,F
coef_last_inbound_dp_dist_gt2_stops,-0.01981,F
coef_mode_choice_logsum_dur_leq2,0.79600,T
coef_mode_choice_logsum_dur_geq8,-0.31700,T
coef_first_outbound_dist_poe_gt_1mi,-0.70000,T
coef_last_outbound_dist_dest_gt_1mi,-0.84100,T
coef_last_outbound_dist_dest_gt1_max3,-0.19400,T
coef_first_inbound_dist_poe_gt_1mi,-0.86000,T
coef_last_inbound_dist_dest_gt_1mi,-0.36600,T
coef_last_inbound_dist_dest_gt1_max3,-0.26900,T
