coefficient_name,shop,work,other,visit,cargo,school
c_ivt,-0.021,-0.021,-0.021,-0.021,-0.021,-0.021
c_cost,-0.0050,-0.0050,-0.0050,-0.0050,-0.0050,-0.0050
s2_ASC_tour_da,-0.8160,-0.8160,-0.8160,-0.8160,-0.8160,-0.8160
s2_ASC_tour_s2,1.5075,1.5075,1.5075,1.5075,1.5075,1.5075
s2_ASC_tour_s3,1.4795,1.4795,1.4795,1.4795,1.4795,1.4795
s2_ASC_tour_walk,0.7495,0.7495,0.7495,0.7495,0.7495,0.7495
s3_ASC_tour_da,-1.2825,-1.2825,-1.2825,-1.2825,-1.2825,-1.2825
s3_ASC_tour_s2,1.3030,1.3030,1.3030,1.3030,1.3030,1.3030
s3_ASC_tour_s3,2.7155,2.7155,2.7155,2.7155,2.7155,2.7155
s3_ASC_tour_walk,0.9660,0.9660,0.9660,0.9660,0.9660,0.9660
walk_ASC_tour_da,-1.2825,-1.2825,-1.2825,-1.2825,-1.2825,-1.2825
walk_ASC_tour_s2,1.3030,1.3030,1.3030,1.3030,1.3030,1.3030
walk_ASC_tour_s3,2.7155,2.7155,2.7155,2.7155,2.7155,2.7155
walk_ASC_tour_walk,0.9660,0.9660,0.9660,0.9660,0.9660,0.9660
walk_transit_ASC_tour_da,-2.0185,-2.0185,-2.0185,-2.0185,-2.0185,-2.0185
walk_transit_ASC_tour_s2,-0.3370,-0.3370,-0.3370,-0.3370,-0.3370,-0.3370
walk_transit_ASC_tour_s3,1.1935,1.1935,1.1935,1.1935,1.1935,1.1935
walk_transit_ASC_tour_walk,3.1525,3.1525,3.1525,3.1525,3.1525,3.1525
tnc_single_ASC_tour_da,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000
tnc_single_ASC_tour_s2,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000
tnc_single_ASC_tour_s3,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000
tnc_single_ASC_tour_walk,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000
tnc_shared_ASC_tour_da,-10.0000,-10.0000,-10.0000,-10.0000,-10.0000,-10.0000
tnc_shared_ASC_tour_s2,-10.0000,-10.0000,-10.0000,-10.0000,-10.0000,-10.0000
tnc_shared_ASC_tour_s3,-10.0000,-10.0000,-10.0000,-10.0000,-10.0000,-10.0000
tnc_shared_ASC_tour_walk,-10.0000,-10.0000,-10.0000,-10.0000,-10.0000,-10.0000
s2_sentri_coef,-0.5310,-0.5310,-0.5310,-0.5310,-0.5310,-0.5310
s2_work_tour_coef,-0.7970,-0.7970,-0.7970,-0.7970,-0.7970,-0.7970
s2_calib_adj_tour_da,0.1280,0.1280,0.1280,0.1280,0.1280,0.1280
s2_calib_adj_tour_s2,-0.5901,-0.5901,-0.5901,-0.5901,-0.5901,-0.5901
s2_calib_adj_tour_s3,-0.8562,-0.8562,-0.8562,-0.8562,-0.8562,-0.8562
s2_calib_adj_tour_walk,-0.6874,-0.6874,-0.6874,-0.6874,-0.6874,-0.6874
s2_abm2_calib_adj_tour_da,0.1177,0.1177,0.1177,0.1177,0.1177,0.1177
s2_abm2_calib_adj_tour_s2,0.1003,0.1003,0.1003,0.1003,0.1003,0.1003
s2_abm2_calib_adj_tour_s3,0.0927,0.0927,0.0927,0.0927,0.0927,0.0927
s2_abm2_calib_adj_tour_walk,0.0615,0.0615,0.0615,0.0615,0.0615,0.0615
s3_sentri_coef,-0.8825,-0.8825,-0.8825,-0.8825,-0.8825,-0.8825
s3_work_tour_coef,-0.7525,-0.7525,-0.7525,-0.7525,-0.7525,-0.7525
s3_calib_adj_tour_da,0.3012,0.3012,0.3012,0.3012,0.3012,0.3012
s3_calib_adj_tour_s2,-1.1094,-1.1094,-1.1094,-1.1094,-1.1094,-1.1094
s3_calib_adj_tour_s3,-1.3324,-1.3324,-1.3324,-1.3324,-1.3324,-1.3324
s3_calib_adj_tour_walk,-1.0476,-1.0476,-1.0476,-1.0476,-1.0476,-1.0476
s3_abm2_calib_adj_tour_da,0.1114,0.1114,0.1114,0.1114,0.1114,0.1114
s3_abm2_calib_adj_tour_s2,0.1173,0.1173,0.1173,0.1173,0.1173,0.1173
s3_abm2_calib_adj_tour_s3,0.1219,0.1219,0.1219,0.1219,0.1219,0.1219
s3_abm2_calib_adj_tour_walk,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099
walk_sentri_coef,-0.3875,-0.3875,-0.3875,-0.3875,-0.3875,-0.3875
walk_calib_adj_tour_da,0.2003,0.2003,0.2003,0.2003,0.2003,0.2003
walk_calib_adj_tour_s2,-0.0579,-0.0579,-0.0579,-0.0579,-0.0579,-0.0579
walk_calib_adj_tour_s3,-0.4514,-0.4514,-0.4514,-0.4514,-0.4514,-0.4514
walk_calib_adj_tour_walk,-0.0762,-0.0762,-0.0762,-0.0762,-0.0762,-0.0762
walk_abm2_calib_adj_tour_da,-0.8643,-0.8643,-0.8643,-0.8643,-0.8643,-0.8643
walk_abm2_calib_adj_tour_s2,-0.7036,-0.7036,-0.7036,-0.7036,-0.7036,-0.7036
walk_abm2_calib_adj_tour_s3,-0.6691,-0.6691,-0.6691,-0.6691,-0.6691,-0.6691
walk_abm2_calib_adj_tour_walk,-1.1779,-1.1779,-1.1779,-1.1779,-1.1779,-1.1779
walk_transit_sentri_coef,0.6285,0.6285,0.6285,0.6285,0.6285,0.6285
walk_transit_calib_adj_tour_da,-0.7947,-0.7947,-0.7947,-0.7947,-0.7947,-0.7947
walk_transit_calib_adj_tour_s2,-2.0305,-2.0305,-2.0305,-2.0305,-2.0305,-2.0305
walk_transit_calib_adj_tour_s3,-2.4453,-2.4453,-2.4453,-2.4453,-2.4453,-2.4453
walk_transit_calib_adj_tour_walk,-2.6149,-2.6149,-2.6149,-2.6149,-2.6149,-2.6149
walk_transit_abm2_calib_adj_tour_da,-0.2530,-0.2530,-0.2530,-0.2530,-0.2530,-0.2530
walk_transit_abm2_calib_adj_tour_s2,-0.3951,-0.3951,-0.3951,-0.3951,-0.3951,-0.3951
walk_transit_abm2_calib_adj_tour_s3,-0.4158,-0.4158,-0.4158,-0.4158,-0.4158,-0.4158
walk_transit_abm2_calib_adj_tour_walk,-0.3565,-0.3565,-0.3565,-0.3565,-0.3565,-0.3565
walk_transit_abm2_calib_adj_transit,-0.2000,-0.2000,-0.2000,-0.2000,-0.2000,-0.2000
