HHID,homeMGRA,income,personID,personNum,personType,personAge,Employment Category,StudentCategory,WorkSegment,SchoolSegment,WorkLocation,WorkLocationDistance,WorkLocationLogsum,SchoolLocation,SchoolLocationDistance,SchoolLocationLogsum
1,1,14000,1,1,1,35,1,3,0,-1,1,0,0,-1,0,0
1,1,14000,1,1,1,35,1,3,0,-1,2,0,0,-1,0,0
1,1,14000,1,1,1,35,1,3,0,-1,3,0,0,-1,0,0
1,1,14000,1,1,1,35,1,3,0,-1,4,0,0,-1,0,0
1,1,14000,1,1,1,35,1,3,0,-1,5,0,0,-1,0,0
1,1,14000,1,1,1,35,1,3,0,-1,6,0,0,-1,0,0
1,1,14000,1,1,1,35,1,3,0,-1,7,0,0,-1,0,0
1,1,14000,1,1,1,35,1,3,0,-1,8,0,0,-1,0,0
1,1,14000,1,1,1,35,1,3,0,-1,9,0,0,-1,0,0
1,1,14000,1,1,1,35,1,3,0,-1,10,0,0,-1,0,0
1,1,14000,2,2,4,55,3,3,-1,-1,1,0,0,-1,0,0
1,1,14000,2,2,4,55,3,3,-1,-1,2,0,0,-1,0,0
1,1,14000,2,2,4,55,3,3,-1,-1,3,0,0,-1,0,0
1,1,14000,2,2,4,55,3,3,-1,-1,4,0,0,-1,0,0
1,1,14000,2,2,4,55,3,3,-1,-1,5,0,0,-1,0,0
1,1,14000,2,2,4,55,3,3,-1,-1,6,0,0,-1,0,0
1,1,14000,2,2,4,55,3,3,-1,-1,7,0,0,-1,0,0
1,1,14000,2,2,4,55,3,3,-1,-1,8,0,0,-1,0,0
1,1,14000,2,2,4,55,3,3,-1,-1,9,0,0,-1,0,0
1,1,14000,2,2,4,55,3,3,-1,-1,10,0,0,-1,0,0
2,1,14000,3,2,4,55,3,3,-1,-1,1,0,0,-1,0,0
2,1,14000,3,2,4,55,3,3,-1,-1,2,0,0,-1,0,0
2,1,14000,3,2,4,55,3,3,-1,-1,3,0,0,-1,0,0
2,1,14000,3,2,4,55,3,3,-1,-1,4,0,0,-1,0,0
2,1,14000,3,2,4,55,3,3,-1,-1,5,0,0,-1,0,0
2,1,14000,3,2,4,55,3,3,-1,-1,6,0,0,-1,0,0
2,1,14000,3,2,4,55,3,3,-1,-1,7,0,0,-1,0,0
2,1,14000,3,2,4,55,3,3,-1,-1,8,0,0,-1,0,0
2,1,14000,3,2,4,55,3,3,-1,-1,9,0,0,-1,0,0
2,1,14000,3,2,4,55,3,3,-1,-1,10,0,0,-1,0,0
2,1,14000,4,1,1,35,1,3,0,-1,1,0,0,-1,0,0
2,1,14000,4,1,1,35,1,3,0,-1,2,0,0,-1,0,0
2,1,14000,4,1,1,35,1,3,0,-1,3,0,0,-1,0,0
2,1,14000,4,1,1,35,1,3,0,-1,4,0,0,-1,0,0
2,1,14000,4,1,1,35,1,3,0,-1,5,0,0,-1,0,0
2,1,14000,4,1,1,35,1,3,0,-1,6,0,0,-1,0,0
2,1,14000,4,1,1,35,1,3,0,-1,7,0,0,-1,0,0
2,1,14000,4,1,1,35,1,3,0,-1,8,0,0,-1,0,0
2,1,14000,4,1,1,35,1,3,0,-1,9,0,0,-1,0,0
2,1,14000,4,1,1,35,1,3,0,-1,10,0,0,-1,0,0
3,1,14000,5,1,1,35,1,3,0,-1,1,0,0,-1,0,0
3,1,14000,5,1,1,35,1,3,0,-1,2,0,0,-1,0,0
3,1,14000,5,1,1,35,1,3,0,-1,3,0,0,-1,0,0
3,1,14000,5,1,1,35,1,3,0,-1,4,0,0,-1,0,0
3,1,14000,5,1,1,35,1,3,0,-1,5,0,0,-1,0,0
3,1,14000,5,1,1,35,1,3,0,-1,6,0,0,-1,0,0
3,1,14000,5,1,1,35,1,3,0,-1,7,0,0,-1,0,0
3,1,14000,5,1,1,35,1,3,0,-1,8,0,0,-1,0,0
3,1,14000,5,1,1,35,1,3,0,-1,9,0,0,-1,0,0
3,1,14000,5,1,1,35,1,3,0,-1,10,0,0,-1,0,0
3,1,14000,6,2,4,55,3,3,-1,-1,1,0,0,-1,0,0
3,1,14000,6,2,4,55,3,3,-1,-1,2,0,0,-1,0,0
3,1,14000,6,2,4,55,3,3,-1,-1,3,0,0,-1,0,0
3,1,14000,6,2,4,55,3,3,-1,-1,4,0,0,-1,0,0
3,1,14000,6,2,4,55,3,3,-1,-1,5,0,0,-1,0,0
3,1,14000,6,2,4,55,3,3,-1,-1,6,0,0,-1,0,0
3,1,14000,6,2,4,55,3,3,-1,-1,7,0,0,-1,0,0
3,1,14000,6,2,4,55,3,3,-1,-1,8,0,0,-1,0,0
3,1,14000,6,2,4,55,3,3,-1,-1,9,0,0,-1,0,0
3,1,14000,6,2,4,55,3,3,-1,-1,10,0,0,-1,0,0
4,1,67000,7,1,1,35,1,3,0,-1,1,0,0,-1,0,0
4,1,67000,7,1,1,35,1,3,0,-1,2,0,0,-1,0,0
4,1,67000,7,1,1,35,1,3,0,-1,3,0,0,-1,0,0
4,1,67000,7,1,1,35,1,3,0,-1,4,0,0,-1,0,0
4,1,67000,7,1,1,35,1,3,0,-1,5,0,0,-1,0,0
4,1,67000,7,1,1,35,1,3,0,-1,6,0,0,-1,0,0
4,1,67000,7,1,1,35,1,3,0,-1,7,0,0,-1,0,0
4,1,67000,7,1,1,35,1,3,0,-1,8,0,0,-1,0,0
4,1,67000,7,1,1,35,1,3,0,-1,9,0,0,-1,0,0
4,1,67000,7,1,1,35,1,3,0,-1,10,0,0,-1,0,0
4,1,67000,8,2,4,55,3,3,-1,-1,1,0,0,-1,0,0
4,1,67000,8,2,4,55,3,3,-1,-1,2,0,0,-1,0,0
4,1,67000,8,2,4,55,3,3,-1,-1,3,0,0,-1,0,0
4,1,67000,8,2,4,55,3,3,-1,-1,4,0,0,-1,0,0
4,1,67000,8,2,4,55,3,3,-1,-1,5,0,0,-1,0,0
4,1,67000,8,2,4,55,3,3,-1,-1,6,0,0,-1,0,0
4,1,67000,8,2,4,55,3,3,-1,-1,7,0,0,-1,0,0
4,1,67000,8,2,4,55,3,3,-1,-1,8,0,0,-1,0,0
4,1,67000,8,2,4,55,3,3,-1,-1,9,0,0,-1,0,0
4,1,67000,8,2,4,55,3,3,-1,-1,10,0,0,-1,0,0
5,1,67000,9,1,1,35,1,3,0,-1,1,0,0,-1,0,0
