"","PERTYPE","DAP","freq"
"1","1","H",117814.058396363
"2","2","H",28982.287374719
"3","3","H",51730.0876786068
"4","4","H",134960.195619051
"5","5","H",127090.263892721
"6","6","H",25893.3591192109
"7","7","H",65646.2267766667
"8","8","H",42791.8370183333
"9","Total","H",594908.315875671
"10","1","M",918201.042455598
"11","2","M",121229.83685897
"12","3","M",197921.530072402
"13","4","M",0
"14","5","M",0
"15","6","M",76807.0092311967
"16","7","M",279263.339273333
"17","8","M",45886.2490983333
"18","Total","M",1639309.00698983
"19","1","N",182827.578116581
"20","2","N",66987.5873544731
"21","3","N",55687.152404932
"22","4","N",253344.884922733
"23","5","N",193209.852185359
"24","6","N",15047.7573549299
"25","7","N",71242.30205
"26","8","N",85086.4908833333
"27","Total","N",923433.60527234
