"distbin","District_1","District_2","District_3","District_4","District_5","District_6","District_7","District_8","Total"
1,1044.5313,24210.2378,38582.2775,23028.3244,11736.2562,12661.6093,9480.7228,0,120743.9593
2,343.3906,15755.4269,16654.5815,16462.2106,12168.2069,16936.6423,13398.1665,0,91718.6253
3,21.614,8906.3181,24315.6757,12914.3109,13222.9859,9474.5974,9063.9564,0,77919.4584
4,0,11107.5262,20262.9301,5503.8894,6466.8545,5241.2078,8704.2079,0,57286.6159
5,0,2496.1859,11850.5374,2712.0695,8142.2648,6399.2949,3244.148,0,34844.5005
6,308.7829,2323.3388,5930.7821,3961.0031,3924.2858,3247.7266,5596.402,0,25292.3213
7,0,5903.701,481.8936,1457.0255,2389.2536,19.8232,4654.7456,0,14906.4425
8,0,3725.1824,2601.8573,1626.881,694.1088,4362.3331,0,0,13010.3626
9,19.5998,3656.116,2751.9517,624.3235,1844.3842,165.4572,67.5776,0,9129.41
10,0,5584.6507,3549.121,731.3227,2711.6524,130.6072,1602.5067,0,14309.8607
11,0,4880.2812,2952.5493,0,1683.516,137.5272,1531.2497,0,11185.1234
12,0,1808.9516,557.8318,0,84.6774,2609.136,438.5908,0,5499.1876
13,0,1972.8766,909.9171,0,130.2036,0,130.1722,0,3143.1695
14,0,723.1314,277.6126,65.0568,2491.4438,626.5623,2410.3531,0,6594.16
15,0,519.6063,2800.6336,0,151.8041,1294.7681,0,0,4766.8121
16,0,1364.0363,1369.4347,0,130.1136,0,0,0,2863.5846
17,0,1364.0363,3532.496,0,170.5266,136.8996,0,0,5203.9585
18,2037.5006,485.2851,221.7558,815.0668,170.5266,0,53.8008,0,3783.9357
19,0,525.4443,782.96,65.8049,0,1744.0548,0,0,3118.264
20,0,924.1962,1403.7947,0,0,0,2239.4282,0,4567.4191
21,0,0,206.114,1288.1799,65.0568,150.4939,0,0,1709.8446
22,0,113.6799,0,684.9532,0,0,0,0,798.6331
23,308.7834,309.8379,65.1258,0,0,51.2579,0,0,735.005
24,0,0,65.0568,0,0,39.4122,67.2212,0,171.6902
25,0,0,0,0,0,0,1530.8933,0,1530.8933
26,0,0,0,0,0,0,0,0,0
27,0,0,470.4966,751.6182,0,525.7309,0,0,1747.8457
28,0,309.8379,61.9563,53.8608,0,0,0,0,425.655
29,0,0,228.0496,0,65.0861,0,0,0,293.1357
30,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0
32,0,0,353.3579,0,0,0,0,0,353.3579
33,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
