"","work","univ","sch","esco","imain","idisc","jmain","jdisc","atwork"
"1",73777.0027690195,11570.9304500543,12624.2069231165,18362.3227889815,23144.3501435768,20771.6249766818,4050.0549083391,1422.15436190335,4434.3291558695
"2",467218.930625541,104527.84599074,162947.806892857,95440.9045315587,248791.514113014,216224.288660731,19955.5715390586,20969.0565358563,186892.981398966
"3",183512.207938496,23079.1451310595,49120.5602606358,36223.890332475,85810.6254860146,71787.0290877499,4902.7526568864,5777.76524505508,9578.46388076196
"4",104804.16009091,14953.0941511596,24505.8287462004,31307.5835804317,45790.4050733513,37967.0235957404,4417.57618990174,1496.41748941584,7880.85493789439
"5",80712.3290635071,8339.08301754971,21741.2317218204,19144.2039785732,28781.5677589054,27849.7486752746,1549.61145952544,3284.54992330755,2127.91334865223
"6",44207.6001594147,6767.4624057734,13535.2500856677,16557.5869713791,13728.5523012843,24322.2885404096,2056.20896542981,1458.10385819596,6963.66045370932
"7",45635.5768462151,2374.26779704266,4184.20306531485,8467.11348937264,13307.7982730984,15286.8295859316,1010.42876,446.081981666667,1091.23348965891
"8",23846.7248025045,1607.03074874017,5355.58164,4450.18696099087,10988.4967579572,10039.9762857193,296.421903333333,854.101616666667,618.933753333333
"9",21622.1962347718,3957.04342259699,4965.08728666667,5008.01248192151,6182.00864972157,6640.44174125986,295.021118333333,375.290562749174,203.955765
"10",14606.5110928393,3328.46433037599,7226.11659495136,3057.14539610937,8045.60150301834,5949.55156725724,81.74092,2108.83498794522,1534.141915
"11",17929.5709770244,1706.85351,2966.10963166667,2527.46040864458,4896.59516167882,11356.2209953286,26.07208,287.15498,174.998756666667
"12",15259.2529131884,789.312774787072,4068.92502,5180.8661708722,8692.29277794161,4440.38923698263,405.979326666667,437.977193333334,697.085419343804
"13",11671.261201916,351.232884263654,1121.65345833333,4222.23511460447,2961.47738708714,4462.39662366556,430.03906,541.77068830755,752.402989343804
"14",7545.5383753328,407.39349,1343.74628833333,4221.10013724082,4398.10344893545,2208.3988721605,106.41655,24.600295,903.737364343804
"15",5033.49084497945,2107.57564594687,1110.074665,672.491378155675,2600.00941116174,1954.50322833333,598.464686666667,21.6958666666667,36.01705
"16",7129.6638838979,178.96645,1245.77876265203,746.923233333333,538.61251806272,3496.66299266892,14.58002,0,179.41034
"17",6481.04086397337,547.76268,476.992548333333,202.247553333333,1482.60015122114,1554.42352904534,705.48035,248.552835236687,109.172721666667
"18",5016.76875695092,780.4446,247.461226666667,94.33236,2447.14565885278,840.497393724213,0,13.01722,828.895306666667
"19",3442.36676259165,1608.22098,1235.003855,1328.243885,510.732882087929,4411.79405472747,27.1845646683981,16.364025,21.7195666666667
"20",5799.12663899999,52.59372,1545.01223333333,1254.39788364458,1689.56039708793,1493.76886,10.75532,0,253.8552
"21",3153.63972623579,1358.76944166667,111.845675,170.667321666667,1207.41823,4356.39798099119,3.93248,26.1360333333333,0
"22",2940.83385,26.8883,806.566188333333,72.532805,218.909260997273,298.089315,0,62.60338,12.38148
"23",3041.46472551575,29.760325,175.699053333333,91.3266433333334,176.693508333333,940.483,0,0,653.21832
"24",3253.66876865266,647.002,104.173616666667,495.5995,365.737045,410.215468333333,78.37416,0,17.37895
"25",2704.888445,346.97648,129.122227004838,26.02272,486.811055,587.260177187984,0,78.11,0
"26",3494.16477058688,85.530035,89.6378380282081,854.53154,858.09739350228,727.652750083628,0,62.1522,4.89995
"27",1093.08630847421,332.4055,89.0643999999999,2032.9715668189,110.099266666667,485.268303333333,13.01136,27.813025,0
"28",2828.07938333333,608.542295,264.127795,663.79645,161.53568,554.229886666667,0,22.8829,15.673665
"29",2090.91275113548,174.525130393102,73.67794,83.506445,3988.35302909461,517.102145,0,108.581406082507,0
"30",1563.54426166667,70.024675,26.02272,61.95221,319.74328,153.965313333333,0,0,0
"31",1047.13916166667,0,593.843566666667,0,107.88349,11.6266666666667,0,90.6592039798307,0
"32",733.640155,430.157333333333,0,823.00342,12.59236,123.9512,0,0,0
"33",2009.46747739381,209.0765,322.8552,34.80266,222.06218,82.20852,0,0,0
"34",4882.09589415894,10.8723,32.54445,64.01426,143.26374,1115.31035475186,16.2642,0,8.856335
"35",575.658166666667,0,325.75798,157.64044,96.85826,33.37965,0,0,0
"36",3850.17714618997,0,0,32.75865,16.98656,143.3785,0,0,267.037389343804
"37",1043.82435833333,0,43.3712,180.7063,0,363.2343,0,65.0568,0
"38",108.971955,0,62.83452,55.5816916666667,15.1256933333333,167.48611,0,0,0
"39",412.915106666666,50.556675,0,42.13952,38.1422380531141,350.17932,0,0,0
"40",265.968675,0,54.03904,10.75532,49.364125,574.176068333333,0,0,0
"41",1056.08744,0,0,0,16.271525,31.767225,0,0,0
"42",7872.96260346463,596.67368,1514.97508666667,2727.23684802562,1630.45874168919,1297.57891579851,0,0,1655.65160166667
