"purpose","nstops","freq"
"work","1",556200.733723399
"univ","1",99884.4583021336
"sch","1",200898.376897553
"esco","1",277923.739515818
"imain","1",243232.240844287
"idisc","1",330485.364322126
"jmain","1",36673.1848771962
"jdisc","1",53750.4276641427
"atwork","1",178463.49595783
"Total","1",1977512.02210448
"work","2",263681.719518
"univ","2",33943.6653761711
"sch","2",93057.8807729325
"esco","2",75842.3972007448
"imain","2",143688.693101803
"idisc","2",141344.970106933
"jmain","2",19192.4371623248
"jdisc","2",15884.4486369257
"atwork","2",30975.6953344118
"Total","2",817611.907210247
"work","3",130960.597601259
"univ","3",23463.4290116181
"sch","3",43260.2833010286
"esco","3",28469.8683278878
"imain","3",77355.7318259959
"idisc","3",76685.8279006176
"jmain","3",5448.02126870684
"jdisc","3",5694.755434462
"atwork","3",6212.3949687311
"Total","3",397550.909640306
"work","4",68704.6437650956
"univ","4",15337.1940972449
"sch","4",23774.0081595932
"esco","4",17093.2316856226
"imain","4",40912.1200599207
"idisc","4",31182.5024309483
"jmain","4",3545.35151542281
"jdisc","4",1617.4759237158
"atwork","4",2031.59435272709
"Total","4",204198.121990291
"work","5",41460.7253320291
"univ","5",7664.30569392528
"sch","5",9806.23045833333
"esco","5",11333.1153884481
"imain","5",22870.2959394636
"idisc","5",24455.4596508767
"jmain","5",738.810979668398
"jdisc","5",701.081681903354
"atwork","5",814.30916
"Total","5",119844.334284648
"work","6",19283.1668895023
"univ","6",3552.56009936104
"sch","6",7957.01813
"esco","6",5412.33914127114
"imain","6",10226.8457455693
"idisc","6",9164.98851872421
"jmain","6",339.649897858779
"jdisc","6",2050.99495333333
"atwork","6",1481.71966333333
"Total","6",59469.2830389534
"work","7",41684.7047455564
"univ","7",6544.01301976673
"sch","7",4428.69525328056
"esco","7",7819.70229331287
"imain","7",7345.01332118122
"idisc","7",12939.4356890201
"jmain","7",92.297375
"jdisc","7",96.1868227491738
"atwork","7",1851.59832101047
"Total","7",82801.6468408775
