id,purpose,freq_as0,freq_as1,freq_as2,freq_all
1,work,8441.389044,185702.7925,594633.2752,788777.4568
2,work,13490.39188,67615.6576,124435.7635,205541.813
3,work,0,12124.6157,76361.92156,88486.53726
4,work,9029.907518,3482.093371,5307.661569,17819.66246
5,work,620.4831968,8912.06806,11544.44529,21076.99654
6,work,10876.65737,18731.87088,3669.574584,33278.10283
7,work,0,1763.430821,3326.999286,5090.430106
8,work,2073.113907,4869.72782,2147.675061,9090.516788
9,work,0,312.80953,60.69055,373.50008
10,work,508.05708,1164.93372,371.99339,2044.98419
11,work,0,0,0,0
12,work,0,0,0,0
13,work,0,0,0,0
1,univ,14.82220088,9980.49205,37805.36207,47800.67632
2,univ,2071.561394,8443.013652,9934.74321,20449.31826
3,univ,254.6755607,5052.768074,6914.69571,12222.13934
4,univ,112.8749298,2682.128088,1894.875064,4689.878082
5,univ,256.48202,1281.082848,261.5220967,1799.086965
6,univ,3677.629658,10506.01878,1814.272998,15997.92144
7,univ,0,601.5178502,705.8971261,1307.414976
8,univ,368.0033764,1940.434353,762.6821447,3071.119874
9,univ,0,0,15.12073,15.12073
10,univ,3.95086,32.5443,2990.828851,3027.324011
11,univ,0,0,0,0
12,univ,0,0,0,0
13,univ,0,0,0,0
1,sch,27.2389,2759.189317,11578.95437,14365.38259
2,sch,840.8699333,10058.09047,69325.37872,80224.33912
3,sch,97.71609579,31393.51311,207746.0768,239237.306
4,sch,2959.158127,9518.138649,10723.72149,23201.01826
5,sch,0,890.01408,6178.56747,7068.58155
6,sch,698.687722,3963.539645,472.9869487,5135.214316
7,sch,0,18.91169027,4.732878381,23.64456865
8,sch,44.46699415,589.4022685,218.6290604,852.498323
9,sch,0,0,0,0
10,sch,0,0,0,0
11,sch,0,0,0,0
12,sch,0,0,0,0
13,sch,3926.25,17759.375,24048.75,36587.5
1,imain,1090.075316,52212.1082,234437.5674,287739.7509
2,imain,3618.757379,73914.75879,191294.8178,268828.334
3,imain,1224.745439,66596.41703,259309.6405,327130.8029
4,imain,6577.493241,20252.29928,25293.14272,52122.93524
5,imain,1847.834146,422.9864448,1523.773526,3794.594116
6,imain,5748.385028,5024.618787,1125.154066,11898.15788
7,imain,0,86.71304138,188.9904981,275.7035395
8,imain,613.2241589,893.3395048,478.2688532,1984.832517
9,imain,0,86.319,51.41573,137.73473
10,imain,7054.80035,198.28333,730.61599,7983.69967
11,imain,0,0,0,0
12,imain,0,0,0,0
13,imain,0,0,0,0
1,idisc,133.2492151,30492.60002,197786.7533,228412.6025
2,idisc,1870.052155,37104.64683,101852.1118,140826.8107
3,idisc,399.0292986,22706.94288,113192.1153,136298.0875
4,idisc,2967.619861,23500.18058,47031.95428,73499.75472
5,idisc,1289.457021,3138.601598,8394.976677,12823.0353
6,idisc,3773.916876,4327.235078,1118.5281,9219.680054
7,idisc,0,112.3674209,193.3134601,305.680881
8,idisc,1162.762509,2113.783499,892.8305871,4169.376595
9,idisc,0,0,25.6436,25.6436
10,idisc,342.38663,1334.76661,10405.2289,12082.38214
11,idisc,0,0,0,0
12,idisc,0,0,0,0
13,idisc,0,0,0,0
1,jmain,0,0,0,0
2,jmain,1288.234061,18479.15545,39819.79314,59587.18265
3,jmain,39.06166667,2219.67214,15842.99266,18101.72647
4,jmain,111.1434433,284.3203667,1310.463945,1705.927755
5,jmain,0,16.2642,49.63255333,65.89675333
6,jmain,961.1280287,814.9136393,116.0301477,1892.071816
7,jmain,0,12.16518123,12.47122901,24.63641023
8,jmain,27.44462102,110.0834049,19.08891823,156.6169442
9,jmain,0,0,0,0
10,jmain,0,76.91536,339.95408,416.86944
11,jmain,0,0,0,0
12,jmain,0,0,0,0
13,jmain,0,0,0,0
1,jdisc,0,0,0,0
2,jdisc,174.4633716,13487.38524,30235.36645,43897.21506
3,jdisc,0,2246.550015,22830.82146,25077.37147
4,jdisc,84.17512992,2966.632125,5097.062907,8147.870162
5,jdisc,0,23.69521015,48.97382167,72.66903181
6,jdisc,507.2262486,608.6549646,72.82256669,1188.70378
7,jdisc,0,90.56509147,65.73038345,156.2954749
8,jdisc,94.78014256,276.9182025,45.27771888,416.9760639
9,jdisc,0,0,0,0
10,jdisc,0,86.21033,2272.74371,2358.95404
11,jdisc,0,0,0,0
12,jdisc,0,0,0,0
13,jdisc,0,0,0,0
1,atwork,0,15346.95882,97573.92221,112920.881
2,atwork,603.067162,8828.681489,24242.35285,33674.1015
3,atwork,0,271.3247951,12606.81596,12878.14076
4,atwork,1463.568564,6107.87354,44736.8569,52308.29901
5,atwork,430.81185,70.37015,939.35962,1440.54162
6,atwork,207.8973967,262.001207,62.98674744,532.8853512
7,atwork,0,31.38377781,42.86196798,74.24574579
8,atwork,7.855420677,117.9454444,94.21583766,220.0167027
9,atwork,0,0,1519.2668,0
10,atwork,0,11.18528,13.01768,24.20296
11,atwork,0,0,0,0
12,atwork,0,0,0,0
13,atwork,0,0,0,0
1,Total,12520.57456,356512.0975,1244884.521,1613917.193
2,Total,40351.32491,336749.6581,713760.7912,1090861.774
3,Total,5827.415013,242204.3077,942893.3203,1190925.043
4,Total,51092.97285,97273.38116,128475.9888,276842.3428
5,Total,4445.068234,14755.08259,28941.25105,48141.40188
6,Total,26451.52833,44238.85298,8452.356159,79142.73747
7,Total,0,2717.054874,4540.996829,7258.051702
8,Total,4391.651129,10911.6345,4658.668181,19961.95381
9,Total,0,399.12853,1672.13741,2071.26594
10,Total,7909.19492,2904.83893,17124.3826,27938.41645
11,Total,0,0,0,0
12,Total,0,0,0,0
13,Total,11450.27006,28322.45512,33220.37484,72993.10002
