"","work","univ","sch","esc","imain","idisc","jmain","jdisc","atwork"
"1",32940.06947333,2451.3563415748,0,1760.52055,272.00416,7302.465312113,0,122.56248,139.83498
"2",33692.109701041,244.856,0,230.680896666667,1535.86820693067,2642.46881528247,0,21.6856,336.072902931354
"3",59109.5391873216,4130.69106731364,1018.1198268446,566.803686460814,263.102688915718,5286.58791187371,0,126.72896,52.512775
"4",93405.967897708,5493.48279068471,10256.429493544,4998.0959854475,1468.99840657657,7602.45411724422,0,1161.64386112355,392.727464658906
"5",121947.927304386,9693.4105965114,43270.3972716812,13610.9110232141,3409.4403674238,8918.52049920562,171.26017,35.75344,2934.06162666667
"6",161236.045913856,30566.8789602308,102419.964402021,29250.3688114972,6042.21439460873,16270.5178130172,131.84977830755,269.725484816309,1932.48746166667
"7",123247.580935334,15229.4694978834,90420.1366974038,43091.7003223864,10357.7570543527,16827.5785536421,2306.51149151645,815.310593333333,4665.13962789989
"8",95646.8181208227,22215.6260742998,48451.7186215761,19441.947807195,15219.3051508369,26559.623305164,405.889243001731,1235.9692406465,7689.25484087558
"9",74732.7277465334,12663.9769263792,25716.784951684,20003.5805116021,23983.0728517638,19586.8143193413,2113.8769078491,2832.07408023669,9413.24861860494
"10",47194.755159337,14851.9539190132,3676.33841934418,4922.22251741547,32042.3663984172,17824.7846367154,5679.45132994133,4287.23211255789,7229.09716466263
"11",27302.4427196549,4019.91596166256,1056.07364,3446.56538833333,33910.3039390174,19769.7135376964,2610.99312112737,4315.16537035758,7580.37038015992
"12",20353.4019910393,5667.20344131229,551.635233333333,2305.9523452831,26984.2297528642,14741.326389754,6830.59537025435,991.086373471499,10266.9956855309
"13",18918.6129815538,5596.13553964848,571.70576,2844.28993853109,22937.7409082771,20992.4945014187,3883.85830750999,3188.90778313164,9718.91443202792
"14",14258.3713017787,4393.89360261354,1670.09371833333,7514.50087712276,26066.32561207,32486.8841371133,2190.87341477046,2535.49954204483,18840.7961543972
"15",13804.2714124709,4728.19378848894,289.382056775978,6225.36787274008,17527.0966666642,15587.3578465068,1992.78081166667,967.261468567625,22546.949445601
"16",19765.2914954086,3280.81330889173,1442.41182660725,6432.92067498546,23650.4909479329,18380.791436473,2748.24337156841,749.495571666667,30151.3692545793
"17",16094.9933424054,1441.52943,1395.24395636448,9190.38293126623,27687.0510475024,16375.3971942932,1905.34325864698,1829.73371166667,18336.7496447045
"18",18665.5574930262,3248.76233666667,1818.74177666667,6434.80998768465,22162.5319447412,14074.7633927238,1339.12175767512,1303.14256473243,12941.7145301486
"19",7736.76073485622,965.89607681865,882.830181600824,12096.8226335333,22293.0253079622,11821.238790423,1949.12857306579,1287.71021833333,13097.6825459729
"20",8901.94914474331,3989.29490648293,2754.05605888924,24183.875839371,31979.0896392412,14860.5306017695,2795.05048284059,317.349261666667,11045.036202873
"21",9789.22445340147,1676.32853060221,1615.60262278394,32791.1587799729,26729.5623219823,11454.0080426169,1252.36989463583,1076.36677333333,9038.93619528838
"22",10740.7006902057,1512.71106259699,3731.41135,20885.2673329011,22971.3738623617,14643.3526607345,1443.60303991505,2825.70304046997,5609.16939491432
"23",9350.76777546544,3691.26424846222,1440.85757,15360.8486579084,20476.2138745208,18514.4654440021,2885.45785501466,945.296845382462,3134.7075869889
"24",5850.11063386113,2592.92854302091,1907.45929333333,19495.4862831272,16215.5375471575,17555.1122479086,3261.65133833333,3674.00714611017,2334.121235
"25",6914.65209019662,3427.26543375265,4021.70939578202,18739.9579275799,12496.1090467395,21811.0794101449,3336.98602859362,5976.04215803773,2087.53767801083
"26",6338.81901021507,1949.17839953364,2999.00744333333,15617.1302286132,13806.5735171889,35306.298776636,2006.81617833333,4331.27080706104,1646.47073166667
"27",6449.20426818215,7172.16464879151,1887.68521166667,15187.9906843136,18652.2008093351,34569.1025765294,2500.03418666667,9572.71779610492,2609.50832542431
"28",5241.27703463233,6137.76661404505,1941.04822,16173.707058997,13135.4835697692,34689.7771237564,1298.95585740997,6933.52849170354,1840.07491968635
"29",6823.8605014485,1083.23741833333,1814.68728166667,10190.0625448379,6373.61084450398,34398.7041842314,1815.44135074849,6697.7019580339,774.779505435341
"30",5431.91042514792,1762.76342127231,165.85982,9121.01560792953,16360.8220914053,21520.4627419444,4367.91435333333,4749.77286206688,557.862626666667
"31",1068.36253276093,706.05799,1078.78678,6814.33226190734,6890.65094015196,13443.2438666133,924.862293451642,2147.0014506103,82.4535
"32",1876.2491796356,109.600075,402.239408333333,2429.28358457982,5904.5435715354,11072.0604042726,753.899873333333,806.74628663125,447.76845
"33",889.909119768518,153.84335,424.120566666667,1738.61579333333,1521.78022,5423.42779104091,73.455475,435.447601666667,766.4076
"34",830.837920325161,13.762245,0,1779.13285666667,2387.89564833333,5145.38662235273,125.757976666667,600.504013333334,943.9466
"35",816.410659552345,460.9153,0,549.601689202425,2827.92637880394,4437.54772863254,670.95133,41.405275,525.23835
"36",325.839006666666,346.6534,0,443.41602,179.931113333333,5464.78880082674,86.9997,65.0568,149.25615
"37",1125.70712025806,47.60705,0,51.7990266666666,433.85604,927.15736,0,0,298.5123
"38",353.22533,159.52201,0,1178.30855785381,346.896115,874.337451076139,13.44415,0,298.5123
"39",1100.37441373484,0,0,16.9786,13.01136,321.307089988011,0,0,0
"40",4407.7537,331.003866666667,33.09688,2983.21668068553,284.505505,2335.77999261415,16.3259,273.941166666667,0
