"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9"
"1",802828.697235429,235862.392127191,106737.545742007,0,743.505120000001,1175.01709175521,507.256115,0,0
"2",0,527460.319973549,200922.172378356,0,272.575726421762,1383.02999546047,271.202353748902,419.073155,0
"3",0,3041.39325015722,706402.338103998,0,104.52752,2245.39816,67.1349,1575.0397,0
"4",7610.94011738687,11145.2275102776,7712.75154780335,127574.594774932,408.153623333334,2947.94529200003,200.38072,19.5998,78.37416
"5",0,0,0,0,11730.402770382,14.35746,0,0,0
"6",0,0,0,0,0,42503.1989367434,78.1429920822351,19.5998,0
"7",0,0,0,0,0,0,725.570588748902,0,0
"8",0,0,0,0,0,0,0,425.567535,0
"9",0,0,0,0,0,0,0,0,78.37416
"10",0,6970.57889991649,0,0,0,6.92868,0,0,0
"11",3629.41734680927,323.894089007728,1701.57235,2347.775,0,26.52848,0,0,0
