stop_period,stop_skim_period,purpose,freq
4.75,1: EA,1: Work,5719
5.25,1: EA,1: Work,5798
5.75,1: EA,1: Work,9792
6.25,2: AM,1: Work,23376
6.75,2: AM,1: Work,23446
7.25,2: AM,1: Work,47947
7.75,2: AM,1: Work,62955
8.25,2: AM,1: Work,38630
8.75,2: AM,1: Work,37574
9.25,3: MD,1: Work,34343
9.75,3: MD,1: Work,34002
10.25,3: MD,1: Work,22680
10.75,3: MD,1: Work,20755
11.25,3: MD,1: Work,21559
11.75,3: MD,1: Work,33988
12.25,3: MD,1: Work,34865
12.75,3: MD,1: Work,39216
13.25,3: MD,1: Work,32093
13.75,3: MD,1: Work,34762
14.25,3: MD,1: Work,38225
14.75,3: MD,1: Work,51531
15.25,3: MD,1: Work,47760
15.75,4: PM,1: Work,51324
16.25,4: PM,1: Work,63381
16.75,4: PM,1: Work,66744
17.25,4: PM,1: Work,68325
17.75,4: PM,1: Work,73558
18.25,4: PM,1: Work,60303
18.75,4: PM,1: Work,49448
19.25,5: EV,1: Work,36240
19.75,5: EV,1: Work,29865
20.25,5: EV,1: Work,28657
20.75,5: EV,1: Work,21702
21.25,5: EV,1: Work,14043
21.75,5: EV,1: Work,11257
22.25,5: EV,1: Work,5406
22.75,5: EV,1: Work,4809
23.25,5: EV,1: Work,2341
23.75,5: EV,1: Work,2247
24.25,5: EV,1: Work,5441
4.75,1: EA,2: University,49
5.25,1: EA,2: University,9
5.75,1: EA,2: University,802
6.25,2: AM,2: University,4152
6.75,2: AM,2: University,3648
7.25,2: AM,2: University,3254
7.75,2: AM,2: University,7139
8.25,2: AM,2: University,4828
8.75,2: AM,2: University,9677
9.25,3: MD,2: University,4844
9.75,3: MD,2: University,9793
10.25,3: MD,2: University,5245
10.75,3: MD,2: University,6292
11.25,3: MD,2: University,4200
11.75,3: MD,2: University,8339
12.25,3: MD,2: University,7311
12.75,3: MD,2: University,8479
13.25,3: MD,2: University,5001
13.75,3: MD,2: University,8879
14.25,3: MD,2: University,8696
14.75,3: MD,2: University,5874
15.25,3: MD,2: University,9344
15.75,4: PM,2: University,11397
16.25,4: PM,2: University,3433
16.75,4: PM,2: University,5649
17.25,4: PM,2: University,10794
17.75,4: PM,2: University,11737
18.25,4: PM,2: University,7431
18.75,4: PM,2: University,7435
19.25,5: EV,2: University,3067
19.75,5: EV,2: University,5017
20.25,5: EV,2: University,6388
20.75,5: EV,2: University,1332
21.25,5: EV,2: University,2344
21.75,5: EV,2: University,3792
22.25,5: EV,2: University,2953
22.75,5: EV,2: University,620
23.25,5: EV,2: University,1163
23.75,5: EV,2: University,111
24.25,5: EV,2: University,4246
4.75,1: EA,3: School,0
5.25,1: EA,3: School,0
5.75,1: EA,3: School,0
6.25,2: AM,3: School,968
6.75,2: AM,3: School,957
7.25,2: AM,3: School,13819
7.75,2: AM,3: School,17120
8.25,2: AM,3: School,13129
8.75,2: AM,3: School,7101
9.25,3: MD,3: School,4381
9.75,3: MD,3: School,685
10.25,3: MD,3: School,1116
10.75,3: MD,3: School,1623
11.25,3: MD,3: School,1113
11.75,3: MD,3: School,2338
12.25,3: MD,3: School,2753
12.75,3: MD,3: School,6994
13.25,3: MD,3: School,6610
13.75,3: MD,3: School,10209
14.25,3: MD,3: School,8497
14.75,3: MD,3: School,25440
15.25,3: MD,3: School,21417
15.75,4: PM,3: School,26603
16.25,4: PM,3: School,18789
16.75,4: PM,3: School,20606
17.25,4: PM,3: School,22683
17.75,4: PM,3: School,18708
18.25,4: PM,3: School,14768
