period,skim_period,purpose,freq_dep,freq_arr
4.75,1: EA,9: Work-based,139.83498,67.663975
4.75,1: EA,4: Escort,1760.52055,1757.52805
4.75,1: EA,6: Individual Discretionary,7302.465312,471.020971
4.75,1: EA,5: Individual Maintenance,272.00416,62.26924
4.75,1: EA,8: Joint Discretionary,122.56248,13.01136
4.75,1: EA,7: Joint Maintenance,0.0,0.0
4.75,1: EA,3: School,0.0,0.0
4.75,1: EA,Total,44988.8133,7583.151245
4.75,1: EA,2: University,2451.356342,16.271525
4.75,1: EA,1: Work,32940.06947,5195.386124
5.25,1: EA,9: Work-based,336.0729029,107.077459
5.25,1: EA,4: Escort,230.6808967,1142.4405
5.25,1: EA,6: Individual Discretionary,2642.468815,346.68594
5.25,1: EA,5: Individual Maintenance,1535.868207,0.0
5.25,1: EA,8: Joint Discretionary,21.6856,109.55112
5.25,1: EA,7: Joint Maintenance,0.0,0.0
5.25,1: EA,3: School,0.0,0.0
5.25,1: EA,Total,38703.74212,1918.200586
5.25,1: EA,2: University,244.856,0.0
5.25,1: EA,1: Work,33692.1097,212.4455667
5.75,1: EA,9: Work-based,52.512775,217.250234
5.75,1: EA,4: Escort,566.8036865,64.9106
5.75,1: EA,6: Individual Discretionary,5286.587912,2052.602505
5.75,1: EA,5: Individual Maintenance,263.1026889,30.556395
5.75,1: EA,8: Joint Discretionary,126.72896,0.0
5.75,1: EA,7: Joint Maintenance,0.0,0.0
5.75,1: EA,3: School,1018.119827,0.0
5.75,1: EA,Total,70554.0861,3319.909808
5.75,1: EA,2: University,4130.691067,0.0
5.75,1: EA,1: Work,59109.53919,954.5900734
6.25,2: AM,9: Work-based,392.7274647,116.4007967
6.25,2: AM,4: Escort,4998.095985,871.6756789
6.25,2: AM,6: Individual Discretionary,7602.454117,2658.292091
6.25,2: AM,5: Individual Maintenance,1468.998407,224.2284
6.25,2: AM,8: Joint Discretionary,1161.643861,0.0
6.25,2: AM,7: Joint Maintenance,0.0,0.0
6.25,2: AM,3: School,10256.42949,0.0
