distbin,purpose,freq
1,4: Escort,0
10,4: Escort,0
11,4: Escort,0
12,4: Escort,0
13,4: Escort,0
14,4: Escort,0
15,4: Escort,0
16,4: Escort,0
17,4: Escort,0
18,4: Escort,0
19,4: Escort,0
2,4: Escort,0
20,4: Escort,0
21,4: Escort,0
22,4: Escort,0
23,4: Escort,0
24,4: Escort,0
25,4: Escort,0
26,4: Escort,0
27,4: Escort,0
28,4: Escort,0
29,4: Escort,0
3,4: Escort,0
30,4: Escort,0
31,4: Escort,0
32,4: Escort,0
33,4: Escort,0
34,4: Escort,0
35,4: Escort,0
36,4: Escort,0
37,4: Escort,0
38,4: Escort,0
39,4: Escort,0
4,4: Escort,0
40,4: Escort,0
41,4: Escort,0
5,4: Escort,0
6,4: Escort,0
7,4: Escort,0
8,4: Escort,0
9,4: Escort,0
1,5: Individual Maintenance,0
10,5: Individual Maintenance,0
11,5: Individual Maintenance,0
12,5: Individual Maintenance,0
13,5: Individual Maintenance,0
14,5: Individual Maintenance,0
15,5: Individual Maintenance,0
16,5: Individual Maintenance,0
17,5: Individual Maintenance,0
18,5: Individual Maintenance,0
19,5: Individual Maintenance,0
2,5: Individual Maintenance,0
20,5: Individual Maintenance,0
21,5: Individual Maintenance,0
22,5: Individual Maintenance,0
23,5: Individual Maintenance,0
24,5: Individual Maintenance,0
25,5: Individual Maintenance,0
26,5: Individual Maintenance,0
27,5: Individual Maintenance,0
28,5: Individual Maintenance,0
29,5: Individual Maintenance,0
3,5: Individual Maintenance,0
30,5: Individual Maintenance,0
31,5: Individual Maintenance,0
32,5: Individual Maintenance,0
33,5: Individual Maintenance,0
34,5: Individual Maintenance,0
35,5: Individual Maintenance,0
36,5: Individual Maintenance,0
37,5: Individual Maintenance,0
38,5: Individual Maintenance,0
39,5: Individual Maintenance,0
4,5: Individual Maintenance,0
40,5: Individual Maintenance,0
41,5: Individual Maintenance,0
5,5: Individual Maintenance,0
6,5: Individual Maintenance,0
7,5: Individual Maintenance,0
8,5: Individual Maintenance,0
9,5: Individual Maintenance,0
1,6: Individual Discretionary,0
10,6: Individual Discretionary,0
11,6: Individual Discretionary,0
12,6: Individual Discretionary,0
13,6: Individual Discretionary,0
14,6: Individual Discretionary,0
15,6: Individual Discretionary,0
16,6: Individual Discretionary,0
17,6: Individual Discretionary,0
18,6: Individual Discretionary,0
19,6: Individual Discretionary,0
2,6: Individual Discretionary,0
20,6: Individual Discretionary,0
21,6: Individual Discretionary,0
22,6: Individual Discretionary,0
23,6: Individual Discretionary,0
24,6: Individual Discretionary,0
25,6: Individual Discretionary,0
26,6: Individual Discretionary,0
27,6: Individual Discretionary,0
28,6: Individual Discretionary,0
29,6: Individual Discretionary,0
3,6: Individual Discretionary,0
30,6: Individual Discretionary,0
31,6: Individual Discretionary,0
32,6: Individual Discretionary,0
33,6: Individual Discretionary,0
34,6: Individual Discretionary,0
35,6: Individual Discretionary,0
36,6: Individual Discretionary,0
37,6: Individual Discretionary,0
38,6: Individual Discretionary,0
39,6: Individual Discretionary,0
4,6: Individual Discretionary,0
40,6: Individual Discretionary,0
41,6: Individual Discretionary,0
5,6: Individual Discretionary,0
6,6: Individual Discretionary,0
7,6: Individual Discretionary,0
8,6: Individual Discretionary,0
9,6: Individual Discretionary,0
1,7: Joint Maintenance,0
10,7: Joint Maintenance,0
11,7: Joint Maintenance,0
12,7: Joint Maintenance,0
13,7: Joint Maintenance,0
14,7: Joint Maintenance,0
15,7: Joint Maintenance,0
16,7: Joint Maintenance,0
17,7: Joint Maintenance,0
18,7: Joint Maintenance,0
19,7: Joint Maintenance,0
2,7: Joint Maintenance,0
20,7: Joint Maintenance,0
21,7: Joint Maintenance,0
22,7: Joint Maintenance,0
23,7: Joint Maintenance,0
24,7: Joint Maintenance,0
25,7: Joint Maintenance,0
26,7: Joint Maintenance,0
27,7: Joint Maintenance,0
28,7: Joint Maintenance,0
29,7: Joint Maintenance,0
3,7: Joint Maintenance,0
30,7: Joint Maintenance,0
31,7: Joint Maintenance,0
32,7: Joint Maintenance,0
33,7: Joint Maintenance,0
34,7: Joint Maintenance,0
35,7: Joint Maintenance,0
36,7: Joint Maintenance,0
37,7: Joint Maintenance,0
38,7: Joint Maintenance,0
39,7: Joint Maintenance,0
4,7: Joint Maintenance,0
40,7: Joint Maintenance,0
41,7: Joint Maintenance,0
5,7: Joint Maintenance,0
6,7: Joint Maintenance,0
7,7: Joint Maintenance,0
8,7: Joint Maintenance,0
9,7: Joint Maintenance,0
1,8: Joint Discretionary,0
10,8: Joint Discretionary,0
11,8: Joint Discretionary,0
12,8: Joint Discretionary,0
13,8: Joint Discretionary,0
14,8: Joint Discretionary,0
15,8: Joint Discretionary,0
16,8: Joint Discretionary,0
17,8: Joint Discretionary,0
18,8: Joint Discretionary,0
19,8: Joint Discretionary,0
2,8: Joint Discretionary,0
20,8: Joint Discretionary,0
21,8: Joint Discretionary,0
22,8: Joint Discretionary,0
23,8: Joint Discretionary,0
24,8: Joint Discretionary,0
25,8: Joint Discretionary,0
26,8: Joint Discretionary,0
27,8: Joint Discretionary,0
28,8: Joint Discretionary,0
29,8: Joint Discretionary,0
3,8: Joint Discretionary,0
30,8: Joint Discretionary,0
31,8: Joint Discretionary,0
32,8: Joint Discretionary,0
33,8: Joint Discretionary,0
34,8: Joint Discretionary,0
35,8: Joint Discretionary,0
36,8: Joint Discretionary,0
37,8: Joint Discretionary,0
38,8: Joint Discretionary,0
39,8: Joint Discretionary,0
4,8: Joint Discretionary,0
40,8: Joint Discretionary,0
41,8: Joint Discretionary,0
5,8: Joint Discretionary,0
6,8: Joint Discretionary,0
7,8: Joint Discretionary,0
8,8: Joint Discretionary,0
9,8: Joint Discretionary,0
1,9: Work-based,0
10,9: Work-based,0
11,9: Work-based,0
12,9: Work-based,0
13,9: Work-based,0
14,9: Work-based,0
15,9: Work-based,0
16,9: Work-based,0
17,9: Work-based,0
18,9: Work-based,0
19,9: Work-based,0
2,9: Work-based,0
20,9: Work-based,0
21,9: Work-based,0
22,9: Work-based,0
23,9: Work-based,0
24,9: Work-based,0
25,9: Work-based,0
26,9: Work-based,0
27,9: Work-based,0
28,9: Work-based,0
29,9: Work-based,0
3,9: Work-based,0
30,9: Work-based,0
31,9: Work-based,0
32,9: Work-based,0
33,9: Work-based,0
34,9: Work-based,0
35,9: Work-based,0
36,9: Work-based,0
37,9: Work-based,0
38,9: Work-based,0
39,9: Work-based,0
4,9: Work-based,0
40,9: Work-based,0
41,9: Work-based,0
5,9: Work-based,0
6,9: Work-based,0
7,9: Work-based,0
8,9: Work-based,0
9,9: Work-based,0
1,Total,0
10,Total,0
11,Total,0
12,Total,0
13,Total,0
14,Total,0
15,Total,0
16,Total,0
17,Total,0
18,Total,0
19,Total,0
2,Total,0
20,Total,0
21,Total,0
22,Total,0
23,Total,0
24,Total,0
25,Total,0
26,Total,0
27,Total,0
28,Total,0
29,Total,0
3,Total,0
30,Total,0
31,Total,0
32,Total,0
33,Total,0
34,Total,0
35,Total,0
36,Total,0
37,Total,0
38,Total,0
39,Total,0
4,Total,0
40,Total,0
41,Total,0
5,Total,0
6,Total,0
7,Total,0
8,Total,0
9,Total,0
