fileName,property,separator,refValue
/bin/CTRampEnv.bat,MAIN,=,MAIN
/bin/CTRampEnv.bat,NODE1,=,NODE1
/bin/CTRampEnv.bat,NODE2,=,NODE2
/bin/CTRampEnv.bat,NODE3,=,NODE3
/bin/CTRampEnv.bat,MAIN_IP,=,ModelIP
/bin/CTRampEnv.bat,HHMGR_IP,=,ModelIP
/bin/CTRampEnv.bat,SNODE,=,SNODE
/bin/CTRampEnv.bat,TRANSCAD_PATH,=,TRANSCAD_PATH
/bin/stopABM.cmd,pskill,\\,MAIN
/bin/stopABM.cmd,pskill,\\,NODE1
/bin/stopABM.cmd,pskill,\\,NODE2
/conf/jppf-client.properties,driver1.jppf.server.host, = ,MAIN
/conf/jppf-clientDistributed.properties,driver1.jppf.server.host, = ,MAIN
/conf/jppf-sandag01.properties,jppf.server.host, = ,MAIN
/conf/jppf-sandag01.properties,jppf.processing.threads, = ,THREADM
/conf/jppf-sandag02.properties,jppf.server.host, = ,MAIN
/conf/jppf-sandag02.properties,jppf.processing.threads, = ,THREADN1
/conf/jppf-sandag03.properties,jppf.server.host, = ,MAIN
/conf/jppf-sandag03.properties,jppf.processing.threads, = ,THREADN2
/conf/jppf-sandag04.properties,jppf.server.host, = ,MAIN
/conf/jppf-sandag04.properties,jppf.processing.threads, = ,THREADN3
/conf/sandag_abm.properties,RunModel.MatrixServerAddress,=,ModelIP
/conf/sandag_abm.properties,RunModel.HouseholdServerAddress,=,ModelIP
