a,depart,arrive,duration,departLabel,arriveLabel,departTime,arriveTime
1,1,1,0,4:30,5:00,430,430
2,1,2,1,4:30,5:00,430,500
3,1,3,2,4:30,5:30,430,530
4,1,4,3,4:30,6:00,430,600
5,1,5,4,4:30,6:30,430,630
6,1,6,5,4:30,7:00,430,700
7,1,7,6,4:30,7:30,430,730
8,1,8,7,4:30,8:00,430,800
9,1,9,8,4:30,8:30,430,830
10,1,10,9,4:30,9:00,430,900
11,1,11,10,4:30,9:30,430,930
12,1,12,11,4:30,10:00,430,1000
13,1,13,12,4:30,10:30,430,1030
14,1,14,13,4:30,11:00,430,1100
15,1,15,14,4:30,11:30,430,1130
16,1,16,15,4:30,12:00,430,1200
17,1,17,16,4:30,12:30,430,1230
18,1,18,17,4:30,13:00,430,1300
19,1,19,18,4:30,13:30,430,1330
20,1,20,19,4:30,14:00,430,1400
21,1,21,20,4:30,14:30,430,1430
22,1,22,21,4:30,15:00,430,1500
23,1,23,22,4:30,15:30,430,1530
24,1,24,23,4:30,16:00,430,1600
25,1,25,24,4:30,16:30,430,1630
26,1,26,25,4:30,17:00,430,1700
27,1,27,26,4:30,17:30,430,1730
28,1,28,27,4:30,18:00,430,1800
29,1,29,28,4:30,18:30,430,1830
30,1,30,29,4:30,19:00,430,1900
31,1,31,30,4:30,19:30,430,1930
32,1,32,31,4:30,20:00,430,2000
33,1,33,32,4:30,20:30,430,2030
34,1,34,33,4:30,21:00,430,2100
35,1,35,34,4:30,21:30,430,2130
36,1,36,35,4:30,22:00,430,2200
37,1,37,36,4:30,22:30,430,2230
38,1,38,37,4:30,23:00,430,2300
39,1,39,38,4:30,23:30,430,2330
40,1,40,39,4:30,24:00:00,430,2400
41,2,2,0,5:00,5:00,500,500
42,2,3,1,5:00,5:30,500,530
43,2,4,2,5:00,6:00,500,600
44,2,5,3,5:00,6:30,500,630
45,2,6,4,5:00,7:00,500,700
46,2,7,5,5:00,7:30,500,730
47,2,8,6,5:00,8:00,500,800
48,2,9,7,5:00,8:30,500,830
49,2,10,8,5:00,9:00,500,900
50,2,11,9,5:00,9:30,500,930
51,2,12,10,5:00,10:00,500,1000
52,2,13,11,5:00,10:30,500,1030
53,2,14,12,5:00,11:00,500,1100
54,2,15,13,5:00,11:30,500,1130
55,2,16,14,5:00,12:00,500,1200
56,2,17,15,5:00,12:30,500,1230
57,2,18,16,5:00,13:00,500,1300
58,2,19,17,5:00,13:30,500,1330
59,2,20,18,5:00,14:00,500,1400
60,2,21,19,5:00,14:30,500,1430
61,2,22,20,5:00,15:00,500,1500
62,2,23,21,5:00,15:30,500,1530
63,2,24,22,5:00,16:00,500,1600
64,2,25,23,5:00,16:30,500,1630
65,2,26,24,5:00,17:00,500,1700
66,2,27,25,5:00,17:30,500,1730
67,2,28,26,5:00,18:00,500,1800
68,2,29,27,5:00,18:30,500,1830
69,2,30,28,5:00,19:00,500,1900
70,2,31,29,5:00,19:30,500,1930
71,2,32,30,5:00,20:00,500,2000
72,2,33,31,5:00,20:30,500,2030
73,2,34,32,5:00,21:00,500,2100
74,2,35,33,5:00,21:30,500,2130
75,2,36,34,5:00,22:00,500,2200
76,2,37,35,5:00,22:30,500,2230
77,2,38,36,5:00,23:00,500,2300
78,2,39,37,5:00,23:30,500,2330
79,2,40,38,5:00,24:00:00,500,2400
80,3,3,0,5:30,5:30,530,530
81,3,4,1,5:30,6:00,530,600
82,3,5,2,5:30,6:30,530,630
83,3,6,3,5:30,7:00,530,700
84,3,7,4,5:30,7:30,530,730
85,3,8,5,5:30,8:00,530,800
86,3,9,6,5:30,8:30,530,830
87,3,10,7,5:30,9:00,530,900
88,3,11,8,5:30,9:30,530,930
89,3,12,9,5:30,10:00,530,1000
90,3,13,10,5:30,10:30,530,1030
91,3,14,11,5:30,11:00,530,1100
92,3,15,12,5:30,11:30,530,1130
93,3,16,13,5:30,12:00,530,1200
94,3,17,14,5:30,12:30,530,1230
95,3,18,15,5:30,13:00,530,1300
96,3,19,16,5:30,13:30,530,1330
97,3,20,17,5:30,14:00,530,1400
98,3,21,18,5:30,14:30,530,1430
99,3,22,19,5:30,15:00,530,1500
100,3,23,20,5:30,15:30,530,1530
101,3,24,21,5:30,16:00,530,1600
102,3,25,22,5:30,16:30,530,1630
103,3,26,23,5:30,17:00,530,1700
104,3,27,24,5:30,17:30,530,1730
105,3,28,25,5:30,18:00,530,1800
106,3,29,26,5:30,18:30,530,1830
107,3,30,27,5:30,19:00,530,1900
108,3,31,28,5:30,19:30,530,1930
109,3,32,29,5:30,20:00,530,2000
110,3,33,30,5:30,20:30,530,2030
111,3,34,31,5:30,21:00,530,2100
112,3,35,32,5:30,21:30,530,2130
113,3,36,33,5:30,22:00,530,2200
114,3,37,34,5:30,22:30,530,2230
115,3,38,35,5:30,23:00,530,2300
116,3,39,36,5:30,23:30,530,2330
117,3,40,37,5:30,24:00:00,530,2400
118,4,4,0,6:00,6:00,600,600
119,4,5,1,6:00,6:30,600,630
120,4,6,2,6:00,7:00,600,700
121,4,7,3,6:00,7:30,600,730
122,4,8,4,6:00,8:00,600,800
123,4,9,5,6:00,8:30,600,830
124,4,10,6,6:00,9:00,600,900
125,4,11,7,6:00,9:30,600,930
126,4,12,8,6:00,10:00,600,1000
127,4,13,9,6:00,10:30,600,1030
128,4,14,10,6:00,11:00,600,1100
129,4,15,11,6:00,11:30,600,1130
130,4,16,12,6:00,12:00,600,1200
131,4,17,13,6:00,12:30,600,1230
132,4,18,14,6:00,13:00,600,1300
133,4,19,15,6:00,13:30,600,1330
134,4,20,16,6:00,14:00,600,1400
135,4,21,17,6:00,14:30,600,1430
136,4,22,18,6:00,15:00,600,1500
137,4,23,19,6:00,15:30,600,1530
138,4,24,20,6:00,16:00,600,1600
139,4,25,21,6:00,16:30,600,1630
140,4,26,22,6:00,17:00,600,1700
141,4,27,23,6:00,17:30,600,1730
142,4,28,24,6:00,18:00,600,1800
143,4,29,25,6:00,18:30,600,1830
144,4,30,26,6:00,19:00,600,1900
145,4,31,27,6:00,19:30,600,1930
146,4,32,28,6:00,20:00,600,2000
147,4,33,29,6:00,20:30,600,2030
148,4,34,30,6:00,21:00,600,2100
149,4,35,31,6:00,21:30,600,2130
150,4,36,32,6:00,22:00,600,2200
151,4,37,33,6:00,22:30,600,2230
152,4,38,34,6:00,23:00,600,2300
153,4,39,35,6:00,23:30,600,2330
154,4,40,36,6:00,24:00:00,600,2400
155,5,5,0,6:30,6:30,630,630
156,5,6,1,6:30,7:00,630,700
157,5,7,2,6:30,7:30,630,730
158,5,8,3,6:30,8:00,630,800
159,5,9,4,6:30,8:30,630,830
160,5,10,5,6:30,9:00,630,900
161,5,11,6,6:30,9:30,630,930
162,5,12,7,6:30,10:00,630,1000
163,5,13,8,6:30,10:30,630,1030
164,5,14,9,6:30,11:00,630,1100
165,5,15,10,6:30,11:30,630,1130
166,5,16,11,6:30,12:00,630,1200
167,5,17,12,6:30,12:30,630,1230
168,5,18,13,6:30,13:00,630,1300
169,5,19,14,6:30,13:30,630,1330
170,5,20,15,6:30,14:00,630,1400
171,5,21,16,6:30,14:30,630,1430
172,5,22,17,6:30,15:00,630,1500
173,5,23,18,6:30,15:30,630,1530
174,5,24,19,6:30,16:00,630,1600
175,5,25,20,6:30,16:30,630,1630
176,5,26,21,6:30,17:00,630,1700
177,5,27,22,6:30,17:30,630,1730
178,5,28,23,6:30,18:00,630,1800
179,5,29,24,6:30,18:30,630,1830
180,5,30,25,6:30,19:00,630,1900
181,5,31,26,6:30,19:30,630,1930
182,5,32,27,6:30,20:00,630,2000
183,5,33,28,6:30,20:30,630,2030
184,5,34,29,6:30,21:00,630,2100
185,5,35,30,6:30,21:30,630,2130
186,5,36,31,6:30,22:00,630,2200
187,5,37,32,6:30,22:30,630,2230
188,5,38,33,6:30,23:00,630,2300
189,5,39,34,6:30,23:30,630,2330
190,5,40,35,6:30,24:00:00,630,2400
191,6,6,0,7:00,7:00,700,700
192,6,7,1,7:00,7:30,700,730
193,6,8,2,7:00,8:00,700,800
194,6,9,3,7:00,8:30,700,830
195,6,10,4,7:00,9:00,700,900
196,6,11,5,7:00,9:30,700,930
197,6,12,6,7:00,10:00,700,1000
198,6,13,7,7:00,10:30,700,1030
199,6,14,8,7:00,11:00,700,1100
200,6,15,9,7:00,11:30,700,1130
201,6,16,10,7:00,12:00,700,1200
202,6,17,11,7:00,12:30,700,1230
203,6,18,12,7:00,13:00,700,1300
204,6,19,13,7:00,13:30,700,1330
205,6,20,14,7:00,14:00,700,1400
206,6,21,15,7:00,14:30,700,1430
207,6,22,16,7:00,15:00,700,1500
208,6,23,17,7:00,15:30,700,1530
209,6,24,18,7:00,16:00,700,1600
210,6,25,19,7:00,16:30,700,1630
211,6,26,20,7:00,17:00,700,1700
212,6,27,21,7:00,17:30,700,1730
213,6,28,22,7:00,18:00,700,1800
214,6,29,23,7:00,18:30,700,1830
215,6,30,24,7:00,19:00,700,1900
216,6,31,25,7:00,19:30,700,1930
217,6,32,26,7:00,20:00,700,2000
218,6,33,27,7:00,20:30,700,2030
219,6,34,28,7:00,21:00,700,2100
220,6,35,29,7:00,21:30,700,2130
221,6,36,30,7:00,22:00,700,2200
222,6,37,31,7:00,22:30,700,2230
223,6,38,32,7:00,23:00,700,2300
224,6,39,33,7:00,23:30,700,2330
225,6,40,34,7:00,24:00:00,700,2400
226,7,7,0,7:30,7:30,730,730
227,7,8,1,7:30,8:00,730,800
228,7,9,2,7:30,8:30,730,830
229,7,10,3,7:30,9:00,730,900
230,7,11,4,7:30,9:30,730,930
231,7,12,5,7:30,10:00,730,1000
232,7,13,6,7:30,10:30,730,1030
233,7,14,7,7:30,11:00,730,1100
234,7,15,8,7:30,11:30,730,1130
235,7,16,9,7:30,12:00,730,1200
236,7,17,10,7:30,12:30,730,1230
237,7,18,11,7:30,13:00,730,1300
238,7,19,12,7:30,13:30,730,1330
239,7,20,13,7:30,14:00,730,1400
240,7,21,14,7:30,14:30,730,1430
241,7,22,15,7:30,15:00,730,1500
242,7,23,16,7:30,15:30,730,1530
243,7,24,17,7:30,16:00,730,1600
244,7,25,18,7:30,16:30,730,1630
245,7,26,19,7:30,17:00,730,1700
246,7,27,20,7:30,17:30,730,1730
247,7,28,21,7:30,18:00,730,1800
248,7,29,22,7:30,18:30,730,1830
249,7,30,23,7:30,19:00,730,1900
250,7,31,24,7:30,19:30,730,1930
251,7,32,25,7:30,20:00,730,2000
252,7,33,26,7:30,20:30,730,2030
253,7,34,27,7:30,21:00,730,2100
254,7,35,28,7:30,21:30,730,2130
255,7,36,29,7:30,22:00,730,2200
256,7,37,30,7:30,22:30,730,2230
257,7,38,31,7:30,23:00,730,2300
258,7,39,32,7:30,23:30,730,2330
259,7,40,33,7:30,24:00:00,730,2400
260,8,8,0,8:00,8:00,800,800
261,8,9,1,8:00,8:30,800,830
262,8,10,2,8:00,9:00,800,900
263,8,11,3,8:00,9:30,800,930
264,8,12,4,8:00,10:00,800,1000
265,8,13,5,8:00,10:30,800,1030
266,8,14,6,8:00,11:00,800,1100
267,8,15,7,8:00,11:30,800,1130
268,8,16,8,8:00,12:00,800,1200
269,8,17,9,8:00,12:30,800,1230
270,8,18,10,8:00,13:00,800,1300
271,8,19,11,8:00,13:30,800,1330
272,8,20,12,8:00,14:00,800,1400
273,8,21,13,8:00,14:30,800,1430
274,8,22,14,8:00,15:00,800,1500
275,8,23,15,8:00,15:30,800,1530
276,8,24,16,8:00,16:00,800,1600
277,8,25,17,8:00,16:30,800,1630
278,8,26,18,8:00,17:00,800,1700
279,8,27,19,8:00,17:30,800,1730
280,8,28,20,8:00,18:00,800,1800
281,8,29,21,8:00,18:30,800,1830
282,8,30,22,8:00,19:00,800,1900
283,8,31,23,8:00,19:30,800,1930
284,8,32,24,8:00,20:00,800,2000
285,8,33,25,8:00,20:30,800,2030
286,8,34,26,8:00,21:00,800,2100
287,8,35,27,8:00,21:30,800,2130
288,8,36,28,8:00,22:00,800,2200
289,8,37,29,8:00,22:30,800,2230
290,8,38,30,8:00,23:00,800,2300
291,8,39,31,8:00,23:30,800,2330
292,8,40,32,8:00,24:00:00,800,2400
293,9,9,0,8:30,8:30,830,830
294,9,10,1,8:30,9:00,830,900
295,9,11,2,8:30,9:30,830,930
296,9,12,3,8:30,10:00,830,1000
297,9,13,4,8:30,10:30,830,1030
298,9,14,5,8:30,11:00,830,1100
299,9,15,6,8:30,11:30,830,1130
300,9,16,7,8:30,12:00,830,1200
301,9,17,8,8:30,12:30,830,1230
302,9,18,9,8:30,13:00,830,1300
303,9,19,10,8:30,13:30,830,1330
304,9,20,11,8:30,14:00,830,1400
305,9,21,12,8:30,14:30,830,1430
306,9,22,13,8:30,15:00,830,1500
307,9,23,14,8:30,15:30,830,1530
308,9,24,15,8:30,16:00,830,1600
309,9,25,16,8:30,16:30,830,1630
310,9,26,17,8:30,17:00,830,1700
311,9,27,18,8:30,17:30,830,1730
312,9,28,19,8:30,18:00,830,1800
313,9,29,20,8:30,18:30,830,1830
314,9,30,21,8:30,19:00,830,1900
315,9,31,22,8:30,19:30,830,1930
316,9,32,23,8:30,20:00,830,2000
317,9,33,24,8:30,20:30,830,2030
318,9,34,25,8:30,21:00,830,2100
319,9,35,26,8:30,21:30,830,2130
320,9,36,27,8:30,22:00,830,2200
321,9,37,28,8:30,22:30,830,2230
322,9,38,29,8:30,23:00,830,2300
323,9,39,30,8:30,23:30,830,2330
324,9,40,31,8:30,24:00:00,830,2400
325,10,10,0,9:00,9:00,900,900
326,10,11,1,9:00,9:30,900,930
327,10,12,2,9:00,10:00,900,1000
328,10,13,3,9:00,10:30,900,1030
329,10,14,4,9:00,11:00,900,1100
330,10,15,5,9:00,11:30,900,1130
331,10,16,6,9:00,12:00,900,1200
332,10,17,7,9:00,12:30,900,1230
333,10,18,8,9:00,13:00,900,1300
334,10,19,9,9:00,13:30,900,1330
335,10,20,10,9:00,14:00,900,1400
336,10,21,11,9:00,14:30,900,1430
337,10,22,12,9:00,15:00,900,1500
338,10,23,13,9:00,15:30,900,1530
339,10,24,14,9:00,16:00,900,1600
340,10,25,15,9:00,16:30,900,1630
341,10,26,16,9:00,17:00,900,1700
