a,mgra,parkarea
1,75,1
2,82,1
3,83,1
4,85,1
5,88,1
6,91,1
7,92,1
8,94,1
9,103,1
10,106,1
11,109,1
12,121,1
13,122,1
14,123,1
15,124,1
16,125,1
17,126,1
18,129,1
19,133,1
20,137,1
21,146,1
22,147,1
23,148,1
24,149,1
25,150,1
26,151,1
27,152,1
28,153,1
29,154,1
30,155,1
31,156,1
32,157,1
33,158,1
34,159,1
35,160,1
36,161,1
37,162,1
38,163,1
39,164,1
40,165,1
41,166,1
42,167,1
43,168,1
44,169,1
45,170,1
46,171,1
47,172,1
48,173,1
49,174,1
50,175,1
51,176,1
52,177,1
53,178,1
54,179,1
55,180,1
56,181,1
57,182,1
58,183,1
59,184,1
60,185,1
61,186,1
62,187,1
63,188,1
64,189,1
65,190,1
66,191,1
67,193,1
68,194,1
69,195,1
70,196,1
71,197,1
72,198,1
73,199,1
74,200,1
75,201,1
76,202,1
77,203,1
78,204,1
79,205,1
80,206,1
81,207,1
82,208,1
83,209,1
84,210,1
85,211,1
86,212,1
87,214,1
88,215,1
89,216,1
90,217,1
91,219,1
92,220,1
93,221,1
94,222,1
95,223,1
96,228,1
97,229,1
98,231,1
99,236,1
100,243,1
101,251,1
102,265,1
103,272,1
104,273,1
105,274,1
106,275,1
107,276,1
108,277,1
109,278,1
110,279,1
111,280,1
112,281,1
113,285,1
114,286,1
115,287,1
116,288,1
117,289,1
118,316,1
119,317,1
120,320,1
121,322,1
122,327,1
123,336,1
124,342,1
125,343,1
126,352,1
127,355,1
128,357,1
129,361,1
130,362,1
131,364,1
132,365,1
133,371,1
134,373,1
135,375,1
136,376,1
137,383,1
138,384,1
139,387,1
140,388,1
141,393,1
142,394,1
143,395,1
144,407,1
145,408,1
146,411,1
147,426,1
148,433,1
149,434,1
150,453,1
151,507,1
152,513,1
153,707,1
154,708,1
155,709,1
156,714,1
157,716,1
158,718,1
159,725,1
160,726,1
161,727,1
162,729,1
163,966,1
164,969,1
165,972,1
166,974,1
167,982,1
168,989,1
169,1065,1
170,1070,1
171,1071,1
172,1072,1
173,1073,1
174,1074,1
175,1075,1
176,1076,1
177,1082,1
178,1083,1
179,1085,1
180,1205,1
181,1211,1
182,1225,1
183,2090,1
184,2138,1
185,2145,1
186,2148,1
187,2181,1
188,2212,1
189,2279,1
190,2282,1
191,2291,1
192,2297,1
193,2316,1
194,2334,1
195,2338,1
196,2430,1
197,2432,1
198,2433,1
199,2434,1
200,2461,1
201,2462,1
202,2463,1
203,2464,1
204,2465,1
205,2466,1
206,2467,1
207,2468,1
208,2469,1
209,2470,1
210,2471,1
211,2472,1
212,2473,1
213,2474,1
214,2484,1
215,2485,1
216,2486,1
217,2487,1
218,2488,1
219,2489,1
220,2490,1
221,2491,1
222,2492,1
223,2493,1
224,2494,1
225,2495,1
226,2496,1
227,2497,1
228,2498,1
229,2499,1
230,2500,1
231,2501,1
232,2502,1
233,2503,1
234,2504,1
235,2505,1
236,2507,1
237,2516,1
238,2517,1
239,2518,1
240,2519,1
241,2525,1
242,2526,1
243,2527,1
244,2528,1
245,2529,1
246,2530,1
247,2531,1
248,2532,1
249,2533,1
250,2534,1
251,2535,1
252,2536,1
253,2537,1
254,2538,1
255,2539,1
256,2540,1
257,2541,1
258,2542,1
259,2543,1
260,2544,1
261,2545,1
262,2546,1
263,2547,1
264,2548,1
265,2549,1
266,2550,1
267,2551,1
268,2552,1
269,2553,1
270,2554,1
271,2555,1
272,2556,1
273,2557,1
274,2558,1
275,2559,1
276,2560,1
277,2561,1
278,2562,1
279,2563,1
280,2564,1
281,2565,1
282,2566,1
283,2567,1
284,2568,1
285,2569,1
286,2570,1
287,2571,1
288,2572,1
289,2573,1
290,2574,1
291,2575,1
292,2576,1
293,2577,1
294,2578,1
295,2579,1
296,2580,1
297,2581,1
298,2582,1
299,2583,1
300,2584,1
301,2585,1
302,2586,1
303,2587,1
304,2588,1
305,2589,1
306,2590,1
307,2591,1
308,2592,1
309,2593,1
310,2594,1
311,2595,1
312,2596,1
313,2597,1
314,2598,1
315,2599,1
316,2600,1
317,2601,1
318,2602,1
319,2603,1
320,2604,1
321,2605,1
322,2606,1
323,2607,1
324,2608,1
325,2609,1
326,2610,1
327,2611,1
328,2612,1
329,2613,1
330,2614,1
331,2615,1
332,2616,1
333,2617,1
334,2618,1
335,2619,1
336,2620,1
337,2621,1
338,2622,1
339,2623,1
340,2624,1
341,2625,1
342,2626,1
343,2627,1
344,2629,1
345,2630,1
346,2631,1
347,2632,1
348,2633,1
349,2634,1
350,2635,1
351,2636,1
352,2637,1
353,2638,1
354,2639,1
355,2640,1
356,2641,1
357,2642,1
358,2643,1
359,2644,1
360,2645,1
361,2646,1
362,2647,1
363,2648,1
364,2649,1
365,2650,1
366,2651,1
367,2655,1
368,2656,1
369,2657,1
370,2658,1
371,2659,1
372,2660,1
373,2661,1
374,2662,1
375,2664,1
376,2665,1
377,2666,1
378,2667,1
379,2668,1
380,2669,1
381,2670,1
382,2672,1
383,2673,1
384,2674,1
385,2675,1
386,2676,1
387,2677,1
388,2678,1
389,2679,1
390,2680,1
391,2681,1
392,2682,1
393,2683,1
394,2684,1
395,2685,1
396,2686,1
397,2687,1
398,2688,1
399,2689,1
400,2690,1
401,2691,1
402,2692,1
403,2693,1
404,2694,1
405,2695,1
406,2696,1
407,2697,1
408,2698,1
409,2699,1
410,2700,1
411,2701,1
412,2702,1
413,2703,1
414,2704,1
415,2705,1
416,2706,1
417,2707,1
418,2708,1
419,2709,1
420,2710,1
421,2711,1
422,2712,1
423,2713,1
424,2714,1
425,2715,1
426,2716,1
427,2717,1
428,2718,1
429,2719,1
430,2720,1
431,2721,1
432,2722,1
433,2723,1
434,2724,1
435,2728,1
436,2729,1
437,2730,1
438,2731,1
439,2732,1
440,2733,1
441,2734,1
442,2735,1
443,2736,1
444,2737,1
445,2738,1
446,2739,1
447,2740,1
448,2741,1
449,2742,1
450,2743,1
451,2744,1
452,2745,1
453,2746,1
454,2747,1
455,2748,1
456,2761,1
457,2765,1
458,2766,1
459,2767,1
460,2768,1
461,2769,1
462,2770,1
463,2771,1
464,2772,1
465,2773,1
466,2774,1
467,2775,1
468,2776,1
469,2778,1
470,2779,1
471,2780,1
472,2781,1
473,2782,1
474,2783,1
475,2784,1
476,2785,1
477,2786,1
478,2787,1
479,2788,1
480,2789,1
481,2790,1
482,2791,1
483,2792,1
484,2793,1
485,2794,1
486,2795,1
487,2796,1
488,2797,1
489,2798,1
490,2799,1
491,2804,1
492,2806,1
493,2807,1
494,2808,1
495,2809,1
496,2810,1
497,2811,1
498,2812,1
499,2813,1
500,2814,1
501,2815,1
502,2816,1
503,2817,1
504,2818,1
505,2819,1
506,2820,1
507,2821,1
508,2822,1
509,2823,1
510,2824,1
511,2825,1
512,2826,1
513,2827,1
514,2828,1
515,2829,1
516,2830,1
517,2831,1
518,2832,1
519,2833,1
520,2834,1
521,2835,1
522,2836,1
523,2837,1
524,2838,1
525,2839,1
526,2840,1
527,2841,1
528,2842,1
529,2843,1
530,2844,1
531,2845,1
532,2854,1
533,2855,1
534,2856,1
535,2857,1
536,2858,1
537,2859,1
538,2860,1
539,2861,1
540,2868,1
541,2869,1
542,2870,1
543,2871,1
544,2872,1
545,2873,1
546,2881,1
547,2882,1
548,2883,1
549,2884,1
550,2885,1
551,2886,1
552,2887,1
553,2888,1
554,2889,1
555,2890,1
556,2891,1
557,2892,1
558,2893,1
559,2894,1
560,2895,1
561,2896,1
562,2897,1
563,2898,1
564,2899,1
565,2900,1
566,2901,1
567,2902,1
568,2903,1
569,2904,1
570,2905,1
571,2906,1
572,2907,1
573,2908,1
574,2909,1
575,2910,1
576,2919,1
577,2955,1
578,2972,1
579,2974,1
580,2975,1
581,2977,1
582,2978,1
583,2994,1
584,2995,1
585,2996,1
586,2998,1
587,2999,1
588,3000,1
589,3001,1
590,3002,1
591,3014,1
592,3017,1
593,3047,1
594,3067,1
595,3069,1
596,3070,1
597,3071,1
598,3101,1
599,3102,1
600,3103,1
601,3327,1
602,3328,1
603,3337,1
604,3344,1
605,3595,1
606,3613,1
607,3638,1
608,3640,1
609,3641,1
610,3646,1
611,3652,1
612,3662,1
