tourpurp,isInbound,interval,trip,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,2,0.16206,0.07345,0.02476,0.64029,0.04806,0.0249,0.0189,0.00758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,3,0.23705,0.45714,0.03082,0.00189,0.22243,0.0164,0.017,0.01727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,4,0.27523,0.26971,0.11952,0.10341,0.15413,0.0322,0.0276,0.0182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,2,0,0.31344,0.23154,0.20648,0.09258,0.0941,0.0382,0.02028,0.00338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,3,0,0.31711,0.04095,0.42491,0.14594,0.0204,0.0164,0.01702,0.01727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,4,0,0.34489,0.15396,0.30587,0.05158,0.0648,0.0334,0.02906,0.01644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,2,0,0,0.13909,0.38762,0.23257,0.087,0.0819,0.03322,0.03153,0.00707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,3,0,0,0.40129,0.05039,0.41536,0.07,0.0254,0.0167,0.01732,0.00354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,4,0,0,0.23864,0.4332,0.13601,0.0553,0.0629,0.03066,0.02638,0.01691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,2,0,0,0,0.32501,0.23459,0.2318,0.0786,0.06858,0.02621,0.03345,0.00176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,3,0,0,0,0.19144,0.1979,0.1406,0.3089,0.06772,0.01681,0.02984,0.04679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,4,0,0,0,0.26077,0.51076,0.004,0.0416,0.07923,0.0348,0.03065,0.03819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,5,2,0,0,0,0,0.42059,0.3665,0.1105,0.03566,0.02489,0.02914,0.00359,0.00913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,5,3,0,0,0,0,0.19953,0.329,0.2493,0.11839,0.0041,0.06951,0.01883,0.01134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,5,4,0,0,0,0,0.48959,0.1653,0.2319,0.0253,0.02115,0.00847,0.04203,0.01626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,6,2,0,0,0,0,0,0.41135,0.3994,0.0879,0.04364,0.02531,0.01176,0.01193,0.00871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,6,3,0,0,0,0,0,0.43333,0.4477,0.05546,0.02489,0.03179,0.00497,0.00092,0.00094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,6,4,0,0,0,0,0,0.47829,0.2187,0.10486,0.02555,0.0133,0.10005,0.0531,0.00615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,7,2,0,0,0,0,0,0,0.52092,0.2533,0.10051,0.04537,0.02758,0.0283,0.01687,0.00715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,7,3,0,0,0,0,0,0,0.37822,0.46043,0.05764,0.02157,0.04334,0.00422,0.01387,0.02071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,7,4,0,0,0,0,0,0,0.0669,0.47388,0.29792,0.02753,0.10689,0.01032,0.01005,0.00651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,8,2,0,0,0,0,0,0,0,0.38605,0.26405,0.14653,0.05973,0.07327,0.02782,0.0214,0.02115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,8,3,0,0,0,0,0,0,0,0.44645,0.2952,0.11406,0.04507,0.00752,0.02557,0.01144,0.05469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,8,4,0,0,0,0,0,0,0,0.61044,0.21337,0.07135,0.06264,0.01682,0.00294,0.00618,0.01626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,9,2,0,0,0,0,0,0,0,0,0.41895,0.33539,0.15125,0.01468,0.03629,0.03221,0.00595,0.00528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,9,3,0,0,0,0,0,0,0,0,0.26246,0.34921,0.12878,0.09445,0.04875,0.037,0.04113,0.03822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,9,4,0,0,0,0,0,0,0,0,0.11662,0.25528,0.47512,0.06544,0.03736,0.00928,0.01223,0.02867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,10,2,0,0,0,0,0,0,0,0,0,0.39435,0.34314,0.08853,0.07701,0.04307,0.02672,0.01415,0.01303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,10,3,0,0,0,0,0,0,0,0,0,0.58435,0.28251,0.06374,0.00547,0.01589,0.02142,0.01314,0.01348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,10,4,0,0,0,0,0,0,0,0,0,0.15609,0.50247,0.11747,0.03268,0.00288,0.08175,0.02287,0.08379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,11,2,0,0,0,0,0,0,0,0,0,0,0.40169,0.25318,0.12359,0.0751,0.06161,0.03642,0.03619,0.01222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,11,3,0,0,0,0,0,0,0,0,0,0,0.50684,0.16562,0.03537,0.07925,0.08799,0.07881,0.04529,0.00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,11,4,0,0,0,0,0,0,0,0,0,0,0.31269,0.32542,0.18451,0.09261,0.03028,0.01993,0.00959,0.02497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0.26883,0.29962,0.1439,0.07231,0.1315,0.04049,0.04226,0.00109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0.17551,0.28069,0.26289,0.21944,0.02002,0.01172,0.02577,0.00396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
