PrimPurp,Direction,DepartRangeStart,DepartRangeEnd,Ptype,Work,University,School,Escort,Shop,Maintenance,Eating Out,Visiting,Discretionary
Work,Outbound,430,830,FT Worker,0.136,0,0,0.425,0.089,0.071,0.211,0.010,0.058
Work,Outbound,430,830,PT Worker,0.058,0,0,0.515,0.053,0.043,0.215,0.011,0.105
Work,Outbound,430,830,University Student,0.328,0,0,0.050,0.366,0.171,0.059,0.004,0.023
Work,Outbound,900,2400,FT Worker,0.138,0,0,0.161,0.263,0.140,0.192,0.023,0.083
Work,Outbound,900,2400,PT Worker,0.157,0,0,0.118,0.155,0.169,0.235,0.136,0.030
Work,Outbound,900,2400,University Student,0.000,0,0,0.076,0.112,0.008,0.662,0.083,0.058
Work,Outbound,430,2400,Driving-age Child,0.000,0,0,0.000,0.000,0.000,1.000,0.000,0.000
University,Outbound,430,2400,FT Worker,0.000,0,0,0.705,0.068,0.045,0.078,0.014,0.091
University,Outbound,430,2400,PT Worker,0.000,0,0,0.364,0.152,0.000,0.484,0.000,0.000
University,Outbound,430,2400,University Student,0.000,0,0,0.455,0.143,0.184,0.104,0.057,0.057
School,Outbound,430,2400,Driving-age Child,0.000,0,0,0.803,0.054,0.013,0.096,0.035,0.000
School,Outbound,430,2400,Pre-Driving Child,0.000,0,0,0.630,0.127,0.081,0.065,0.009,0.088
School,Outbound,430,2400,Preschool,0.000,0,0,0.757,0.100,0.015,0.050,0.031,0.047
Escort,Outbound,430,2400,FT Worker,0.000,0,0,0.621,0.127,0.118,0.075,0.023,0.035
Escort,Outbound,430,2400,PT Worker,0.000,0,0,0.565,0.051,0.245,0.119,0.015,0.004
Escort,Outbound,430,2400,University Student,0.000,0,0,0.238,0.246,0.132,0.147,0.215,0.022
Escort,Outbound,430,2400,Homemaker,0.000,0,0,0.626,0.128,0.133,0.066,0.025,0.023
Escort,Outbound,430,2400,Retired,0.000,0,0,0.547,0.205,0.029,0.079,0.052,0.088
Escort,Outbound,430,2400,Driving-age Child,0.000,0,0,0.000,0.000,1.000,0.000,0.000,0.000
Escort,Outbound,430,2400,Pre-Driving Child,0.000,0,0,0.835,0.010,0.064,0.067,0.000,0.023
Escort,Outbound,430,2400,Preschool,0.000,0,0,0.482,0.065,0.323,0.072,0.006,0.054
Shop,Outbound,430,2400,FT Worker,0.000,0,0,0.098,0.440,0.176,0.209,0.019,0.057
Shop,Outbound,430,2400,PT Worker,0.000,0,0,0.067,0.411,0.284,0.180,0.018,0.039
Shop,Outbound,430,2400,University Student,0.000,0,0,0.144,0.335,0.188,0.075,0.124,0.134
Shop,Outbound,430,2400,Homemaker,0.000,0,0,0.263,0.441,0.137,0.082,0.032,0.045
Shop,Outbound,430,2400,Retired,0.000,0,0,0.065,0.450,0.226,0.097,0.021,0.141
Shop,Outbound,430,2400,Driving-age Child,0.000,0,0,0.000,0.488,0.000,0.000,0.024,0.488
Shop,Outbound,430,2400,Pre-Driving Child,0.000,0,0,0.725,0.120,0.001,0.060,0.001,0.093
Shop,Outbound,430,2400,Preschool,0.000,0,0,0.356,0.222,0.165,0.089,0.019,0.149
Maintenance,Outbound,430,2400,FT Worker,0.000,0,0,0.153,0.109,0.533,0.104,0.062,0.039
Maintenance,Outbound,430,2400,PT Worker,0.000,0,0,0.317,0.187,0.389,0.045,0.015,0.046
Maintenance,Outbound,430,2400,University Student,0.000,0,0,0.038,0.205,0.416,0.014,0.039,0.287
Maintenance,Outbound,430,2400,Homemaker,0.000,0,0,0.104,0.320,0.404,0.069,0.071,0.031
Maintenance,Outbound,430,2400,Retired,0.000,0,0,0.074,0.237,0.440,0.155,0.070,0.025
Maintenance,Outbound,430,2400,Driving-age Child,0.000,0,0,0.243,0.145,0.612,0.000,0.000,0.000
Maintenance,Outbound,430,2400,Pre-Driving Child,0.000,0,0,0.764,0.000,0.085,0.105,0.046,0.000
Maintenance,Outbound,430,2400,Preschool,0.000,0,0,0.123,0.000,0.590,0.090,0.173,0.024
Eating Out,Outbound,430,2400,FT Worker,0.000,0,0,0.095,0.197,0.060,0.314,0.212,0.122
Eating Out,Outbound,430,2400,PT Worker,0.000,0,0,0.175,0.246,0.108,0.274,0.162,0.035
Eating Out,Outbound,430,2400,University Student,0.000,0,0,0.284,0.089,0.011,0.407,0.164,0.046
Eating Out,Outbound,430,2400,Homemaker,0.000,0,0,0.260,0.285,0.108,0.232,0.082,0.034
Eating Out,Outbound,430,2400,Retired,0.000,0,0,0.130,0.250,0.379,0.142,0.040,0.059
Eating Out,Outbound,430,2400,Driving-age Child,0.000,0,0,0.000,1.000,0.000,0.000,0.000,0.000
Eating Out,Outbound,430,2400,Pre-Driving Child,0.000,0,0,0.546,0.000,0.137,0.262,0.000,0.055
Eating Out,Outbound,430,2400,Preschool,0.000,0,0,0.359,0.181,0.282,0.070,0.060,0.048
Visiting,Outbound,430,2400,FT Worker,0.000,0,0,0.270,0.078,0.068,0.156,0.313,0.115
Visiting,Outbound,430,2400,PT Worker,0.000,0,0,0.148,0.107,0.012,0.280,0.412,0.041
Visiting,Outbound,430,2400,University Student,0.000,0,0,0.054,0.212,0.000,0.321,0.403,0.010
Visiting,Outbound,430,2400,Homemaker,0.000,0,0,0.241,0.221,0.042,0.098,0.191,0.207
Visiting,Outbound,430,2400,Retired,0.000,0,0,0.049,0.182,0.131,0.327,0.284,0.026
Visiting,Outbound,430,2400,Driving-age Child,0.000,0,0,0.613,0.000,0.000,0.000,0.387,0.000
Visiting,Outbound,430,2400,Pre-Driving Child,0.000,0,0,0.124,0.013,0.030,0.000,0.834,0.000
Visiting,Outbound,430,2400,Preschool,0.000,0,0,0.290,0.416,0.000,0.254,0.009,0.032
